World Top 50 Hottest Cities – April 2026,,,,,,,,
Rank,City,State,Avg °C,Max °C,Min °C,UV,Wind km/h,Humidity %
1,Banda,Uttar Pradesh,40.5,46.2,34.7,9.5,29.5,15
2,Amravati,Maharashtra,39.5,44.3,34.3,10.3,24.1,13
2,Kanpur,Uttar Pradesh,39.5,46.1,33.8,9.8,27.7,15
4,Yavatmal,Maharashtra,39.4,43.5,35,10.1,19.4,13
5,Akola,Maharashtra,39.3,44.3,33,10.7,26.3,13
6,Fatehpur,Uttar Pradesh,39.1,46.1,32.5,9.7,28.1,16
7,Etawah,Uttar Pradesh,38.8,46.1,31,9.6,59.8,16
8,Noida,Uttar Pradesh,38.7,44.1,33.6,9.6,23.8,13
9,Orchha,Madhya Pradesh,38.7,45.2,33,9.9,26.3,17
10,Jhansi,Uttar Pradesh,38.7,45.2,33,9.9,26.3,17
11,Nagpur,Maharashtra,38.6,44,32.9,9.4,15.5,15
12,Nanded,Maharashtra,38.6,43.6,33.7,10.5,19.1,15
13,Faridabad,Haryana,38.6,44.2,33.4,9.6,23.8,14
14,Parbhani,Maharashtra,38.5,43,33.4,10.7,19.8,13
15,New Delhi,Delhi,38.5,44,33.7,9.6,23,14
16,Chandrapur,Maharashtra,38.5,45.3,31.4,9.3,19.8,20
17,Burhanpur,Madhya Pradesh,38.5,44.2,31.9,10.4,28.4,13
18,Bhusawal,Maharashtra,38.4,44.6,31.2,10.4,27.4,14
19,Gurgaon,Haryana,38.3,44.1,33.4,9.6,23.8,14
20,Jalgaon,Maharashtra,38.2,44.3,31.1,10.3,24.1,16
21,Agra,Uttar Pradesh,38.2,45.5,32.4,9.5,48.6,17
22,Kota,Rajasthan,38.2,44.2,32.6,10,24.5,15
23,Firozabad,Uttar Pradesh,38.2,45.7,32.5,9.5,40,17
24,Palwal,Haryana,38.1,44.9,31.8,9.5,27,16
25,Adilabad,Telangana,38.1,44.2,32.5,9.8,21.6,17
26,Greater Noida,Uttar Pradesh,38.1,44.6,31.8,9.6,24.1,13
27,Ghaziabad,Uttar Pradesh,38.1,44.3,32.3,9.6,24.1,13
28,Bhiwadi,Rajasthan,38.1,44.3,32.8,9.6,26.6,15
29,Bikaner,Rajasthan,38,44.4,32.2,10,30.6,17
30,Prayagraj,Uttar Pradesh,38,45.7,29.1,9.6,24.5,21
31,Gwalior,Madhya Pradesh,38,45.6,33.4,9.9,41.8,18
32,Khurja,Uttar Pradesh,37.9,44.8,31.2,9.5,29.5,14
33,Khajuraho,Madhya Pradesh,37.9,44.3,32.7,9.6,27.4,17
34,Vrindavan,Uttar Pradesh,37.8,45.4,31.5,9.3,35.3,18
35,Mathura,Uttar Pradesh,37.8,45.4,31.8,9.3,43.2,18
36,Phalodi,Rajasthan,37.8,44.5,30.8,10.4,28.1,16
37,Hathras,Uttar Pradesh,37.8,45.4,31.4,9.5,31.7,17
38,Satna,Madhya Pradesh,37.8,44.7,33.4,9.6,28.1,17
39,Tonk,Rajasthan,37.8,44.4,32.1,10.3,27.4,16
40,Aligarh,Uttar Pradesh,37.8,45.3,31,9.5,27.7,16
41,Bulandshahr,Uttar Pradesh,37.8,44.7,30.9,9.5,27.7,14
42,Maihar,Madhya Pradesh,37.8,44.7,33.4,9.6,28.1,17
43,Barehra,Uttar Pradesh,37.7,45.4,31,9.6,29.9,16
44,Bahadurgarh,Haryana,37.7,44.5,31.8,9.7,30.2,15
45,Raipur,Chhattisgarh,37.5,44,30.9,7.7,28.4,18
46,Lucknow,Uttar Pradesh,37.5,45.2,29.6,9.7,20.9,18
47,Budaun,Uttar Pradesh,37.5,45.6,31.5,9.6,29.2,14
48,Solapur,Maharashtra,37.5,41.9,31.7,10.3,28.1,19
49,Sambhal,Uttar Pradesh,37.5,45.5,30.5,9.5,29.5,13
50,Jaisalmer,Rajasthan,37.5,44.1,30.5,10.1,35.6,18
