Date,Daily maximum UTCI,Daily minimum UTCI,Daily maximum T2M,Daily minimum T2M
2000-01-01,29.2268,19.3913,27.1874,22.9951
2000-01-02,30.1434,18.5462,27.0115,22.8498
2000-01-03,29.0823,18.3723,26.2248,22.3887
2000-01-04,29.9385,17.8125,26.6476,22.2770
2000-01-05,29.2421,20.4583,26.7016,23.8634
2000-01-06,29.4488,19.6836,26.7240,23.8121
2000-01-07,30.0857,19.4977,27.0097,23.7313
2000-01-08,29.8676,19.9116,26.8801,23.7581
2000-01-09,30.8472,20.7841,26.8447,23.7905
2000-01-10,30.6745,21.2733,27.0584,23.8526
2000-01-11,29.4263,21.2571,26.7482,23.6853
2000-01-12,32.9234,19.4628,27.0989,22.8326
2000-01-13,34.1382,18.8387,27.5520,22.7523
2000-01-14,35.6594,19.1072,27.1455,22.9535
2000-01-15,36.1065,19.5421,27.8523,22.8472
2000-01-16,34.6532,20.9789,27.9666,22.6026
2000-01-17,32.7009,18.5934,27.5519,22.3705
2000-01-18,32.0152,19.2130,27.4974,22.6300
2000-01-19,33.9624,18.7757,28.0063,22.3120
2000-01-20,35.9000,15.5565,27.6783,21.1027
2000-01-21,34.7622,16.6541,27.2780,20.6629
2000-01-22,33.4251,13.6295,26.6999,19.9844
2000-01-23,33.1661,15.2468,26.8828,20.2511
2000-01-24,34.5530,17.2186,27.4773,21.7158
2000-01-25,32.4956,18.1176,27.2828,22.1237
2000-01-26,32.6661,19.0508,27.6946,22.5657
2000-01-27,30.7841,19.4991,27.4187,22.7977
2000-01-28,32.1645,20.0379,27.9654,23.0066
2000-01-29,33.3694,17.9128,28.0060,22.2054
2000-01-30,34.2985,16.9986,28.0511,21.8158
2000-01-31,33.5842,16.0047,27.5606,22.4242
2000-02-01,32.7919,14.4315,27.1823,21.7539
2000-02-02,35.4360,16.6221,28.2687,21.3715
2000-02-03,34.7773,22.8017,28.0055,24.2232
2000-02-04,34.4977,22.9052,27.8345,24.0248
2000-02-05,35.1693,21.3929,28.4744,23.8782
2000-02-06,34.1593,23.1239,29.0889,24.4221
2000-02-07,36.3299,24.0119,29.5465,25.1153
2000-02-08,34.6307,23.3913,28.1081,24.7051
2000-02-09,34.2468,23.4559,28.5246,24.6302
2000-02-10,34.9905,22.7563,28.9718,24.0731
2000-02-11,34.4325,22.7379,28.4448,23.9038
2000-02-12,35.4213,19.6629,28.9907,23.0313
2000-02-13,35.2330,18.7478,28.5728,22.9649
2000-02-14,34.3801,18.7845,28.3230,23.0772
2000-02-15,32.9309,22.3355,29.0330,24.1222
2000-02-16,34.8389,20.9639,29.4718,24.0767
2000-02-17,36.3840,19.7020,28.9414,23.4324
2000-02-18,37.7055,20.9038,30.2458,23.6536
2000-02-19,35.9073,21.2508,29.3347,24.2921
2000-02-20,34.6657,22.4618,29.6899,24.6181
2000-02-21,36.2648,23.6509,28.8460,25.1240
2000-02-22,36.1475,24.6638,29.4145,25.2012
2000-02-23,34.8179,25.0169,27.7219,24.5070
2000-02-24,33.2354,24.7538,26.1123,23.8767
2000-02-25,32.7679,24.8318,27.4260,23.9579
2000-02-26,33.7662,24.6211,26.6441,24.0510
2000-02-27,32.6645,24.0899,27.5648,24.1503
2000-02-28,33.0329,22.9497,28.4033,24.9032
2000-02-29,32.1206,18.4404,29.1256,23.2541
2000-03-01,33.5764,16.2035,29.1976,21.3818
2000-03-02,34.9479,15.4643,28.9485,20.5091
2000-03-03,36.2536,15.7112,29.5920,21.5340
2000-03-04,35.7953,15.4436,30.4478,21.2966
2000-03-05,35.9522,17.4272,29.2422,22.9675
2000-03-06,35.2692,19.8033,28.8321,23.0509
2000-03-07,37.3051,21.7857,29.7713,24.1070
2000-03-08,37.5495,24.0684,29.9951,25.1894
2000-03-09,38.8888,25.3094,31.2743,25.4950
2000-03-10,37.5300,23.0490,30.4695,25.2638
2000-03-11,37.2995,23.1214,31.2152,25.1870
2000-03-12,36.3723,22.7408,30.9057,25.2302
2000-03-13,38.7704,23.4422,32.1800,25.7368
2000-03-14,38.0668,24.1424,31.4011,25.5738
2000-03-15,37.8370,22.9469,30.8470,25.2758
2000-03-16,38.1543,22.1118,30.8534,24.7269
2000-03-17,38.3831,23.4443,31.1010,25.0372
2000-03-18,37.7347,23.0863,31.1024,25.0699
2000-03-19,37.9687,22.9722,31.8511,24.6494
2000-03-20,38.0876,21.4654,31.1802,24.2497
2000-03-21,36.6630,22.5329,29.9750,24.2995
2000-03-22,35.6716,23.3354,29.8981,24.8642
2000-03-23,37.6731,23.2528,30.7617,25.5146
2000-03-24,37.6964,23.2049,30.5558,24.3969
2000-03-25,37.8469,22.8751,30.5100,24.6145
2000-03-26,36.2016,24.7866,30.2608,25.3435
2000-03-27,36.8109,25.1579,30.4817,25.4153
2000-03-28,36.1976,25.1098,29.9490,25.6961
2000-03-29,36.1184,23.7506,30.7040,24.9373
2000-03-30,37.5325,20.7460,31.8185,23.8128
2000-03-31,39.1455,20.6306,31.7703,23.6490
2000-04-01,35.3775,25.8694,28.7313,25.9568
2000-04-02,37.8654,26.1025,30.9806,26.6133
2000-04-03,38.6335,26.9421,30.8442,26.9297
2000-04-04,39.9652,27.2559,31.9537,26.7343
2000-04-05,40.1018,26.4875,31.9354,26.9518
2000-04-06,39.2659,26.7167,32.0869,26.8443
2000-04-07,39.3818,27.0370,31.8483,27.2197
2000-04-08,40.6216,26.6029,32.7025,27.0217
2000-04-09,40.6987,26.2238,33.1484,26.9287
2000-04-10,40.9912,26.8266,33.1684,27.1305
2000-04-11,39.9230,26.1374,33.0051,27.6660
2000-04-12,41.3803,26.8811,33.6073,28.1677
2000-04-13,41.8654,27.2796,33.4901,28.1421
2000-04-14,44.3676,26.9355,34.2209,28.0807
2000-04-15,43.2972,27.5297,33.5450,28.1102
2000-04-16,40.6405,27.5723,32.2930,27.9428
2000-04-17,39.1384,27.4829,32.1739,27.6224
2000-04-18,39.2784,25.3609,31.7274,26.2962
2000-04-19,39.5194,25.1724,31.5414,26.1405
2000-04-20,39.8861,26.6531,32.3767,26.5804
