date,day_t2m,day_utci,night_t2m,night_utci
2009-01-01,28.25,31.55,20.30,13.05
2009-01-02,28.33,33.34,20.98,14.01
2009-01-03,28.87,34.32,21.03,13.96
2009-01-04,26.99,32.56,20.59,15.24
2009-01-05,26.33,32.36,21.24,15.20
2009-01-06,25.60,30.51,19.11,11.27
2009-01-07,25.89,30.30,20.30,12.96
2009-01-08,25.73,30.25,20.83,16.23
2009-01-09,26.03,31.84,21.12,15.93
2009-01-10,26.66,30.73,20.66,16.32
2009-01-11,26.92,32.38,21.27,17.34
2009-01-12,27.81,35.36,22.77,19.82
2009-01-13,29.49,36.30,23.69,21.75
2009-01-14,30.77,36.44,25.38,21.63
2009-01-15,29.29,34.10,24.40,20.28
2009-01-16,30.34,35.86,25.17,21.82
2009-01-17,28.85,34.65,24.51,21.05
2009-01-18,28.44,31.58,23.14,18.28
2009-01-19,28.68,33.99,24.46,19.13
2009-01-20,29.33,34.53,24.94,20.36
2009-01-21,28.27,32.58,23.82,19.47
2009-01-22,30.89,35.24,24.82,18.64
2009-01-23,30.84,35.19,23.81,17.05
2009-01-24,29.87,34.46,27.56,22.01
2009-01-25,27.04,31.41,21.65,16.32
2009-01-26,26.45,30.45,20.36,12.46
2009-01-27,27.59,32.46,21.10,13.96
2009-01-28,28.12,32.81,20.83,11.96
2009-01-29,28.79,31.68,21.63,13.16
2009-01-30,29.13,31.80,22.59,13.68
2009-01-31,29.44,32.59,22.32,13.66
2009-02-01,30.33,34.76,22.58,15.88
2009-02-02,30.31,34.76,21.74,14.29
2009-02-03,29.68,32.72,22.98,16.90
2009-02-04,29.29,32.98,23.75,16.64
2009-02-05,28.76,32.84,23.94,15.25
2009-02-06,28.15,33.22,22.06,13.94
2009-02-07,29.73,33.69,22.65,14.41
2009-02-08,30.41,34.99,23.47,14.50
2009-02-09,29.68,32.74,23.20,15.82
2009-02-10,27.78,29.54,22.64,15.79
2009-02-11,27.48,31.30,21.86,13.45
2009-02-12,28.07,33.47,22.02,13.78
2009-02-13,28.80,33.68,24.65,18.92
2009-02-14,28.84,34.47,25.12,21.06
2009-02-15,30.14,33.71,24.26,16.47
2009-02-16,30.89,35.52,23.98,16.63
2009-02-17,31.60,35.68,24.56,16.93
2009-02-18,31.47,35.90,25.34,17.43
2009-02-19,32.93,36.16,25.25,18.21
2009-02-20,33.42,37.45,26.46,19.01
2009-02-21,34.27,38.98,27.08,20.94
2009-02-22,35.01,38.75,27.41,19.28
2009-02-23,33.15,36.58,29.04,23.53
2009-02-24,33.43,36.28,27.67,21.15
2009-02-25,34.59,38.94,28.34,23.72
2009-02-26,35.45,38.95,31.79,24.23
2009-02-27,35.28,38.63,27.91,20.98
2009-02-28,35.98,39.39,29.61,26.40
2009-03-01,36.26,40.50,31.71,27.85
2009-03-02,36.95,39.21,30.49,25.72
2009-03-03,36.03,39.55,30.34,25.68
2009-03-04,34.62,38.17,28.09,22.26
2009-03-05,33.85,37.27,27.59,20.57
2009-03-06,34.33,36.89,28.97,20.60
2009-03-07,31.28,35.70,25.37,20.83
2009-03-08,33.02,37.12,29.96,24.81
2009-03-09,34.44,37.63,27.62,19.30
2009-03-10,35.90,39.36,28.29,20.38
2009-03-11,36.32,39.83,28.21,20.48
2009-03-12,36.21,39.47,27.83,20.12
2009-03-13,36.56,39.80,28.95,24.11
2009-03-14,36.50,40.20,30.29,22.05
2009-03-15,36.47,39.69,29.75,21.15
2009-03-16,35.77,39.36,31.12,22.36
2009-03-17,35.46,38.88,27.88,20.38
2009-03-18,35.04,37.42,28.32,19.76
2009-03-19,35.58,39.43,32.07,26.98
2009-03-20,36.26,39.71,29.29,25.41
2009-03-21,34.92,40.31,31.82,25.46
2009-03-22,34.95,39.69,31.28,26.68
2009-03-23,36.29,40.24,30.56,23.34
2009-03-24,36.64,40.69,30.88,23.99
2009-03-25,35.31,39.16,30.53,25.53
2009-03-26,35.73,40.25,31.97,25.51
2009-03-27,36.02,39.76,32.10,26.90
2009-03-28,36.53,39.51,32.71,28.05
2009-03-29,36.55,39.53,30.51,23.15
2009-03-30,37.89,42.48,32.93,27.15
2009-03-31,38.64,42.85,31.80,26.77
2009-04-01,39.46,43.27,33.51,26.49
2009-04-02,40.09,43.92,32.93,26.91
2009-04-03,38.43,42.17,32.07,25.86
2009-04-04,38.52,42.14,32.19,25.36
2009-04-05,37.64,40.97,32.60,29.59
2009-04-06,37.71,40.46,33.20,27.90
2009-04-07,36.74,40.19,30.69,25.28
2009-04-08,34.15,37.09,30.09,24.52
2009-04-09,34.97,39.39,29.32,22.38
2009-04-10,37.47,41.26,31.11,24.96
2009-04-11,38.68,42.09,33.15,29.73
2009-04-12,39.97,42.80,32.19,26.39
2009-04-13,40.24,42.82,32.10,27.12
2009-04-14,38.61,42.09,32.60,26.40
2009-04-15,36.68,40.19,32.28,29.17
2009-04-16,38.30,41.75,31.88,25.27
2009-04-17,39.50,42.82,33.65,27.59
2009-04-18,40.50,43.67,34.48,25.92
2009-04-19,41.58,44.71,35.93,32.79
2009-04-20,40.71,44.20,34.77,28.88
2009-04-21,39.44,43.10,33.72,28.11
2009-04-22,39.14,42.32,33.11,26.40
2009-04-23,39.68,42.86,36.08,30.33
2009-04-24,39.49,41.97,32.11,24.59
2009-04-25,39.56,42.90,33.27,27.08
2009-04-26,41.09,44.35,33.80,29.29
2009-04-27,41.94,45.15,37.10,33.20
2009-04-28,41.33,45.13,37.75,33.32
2009-04-29,41.28,45.21,34.50,27.70
2009-04-30,40.59,44.57,35.10,29.51
2009-05-01,40.84,44.64,35.23,30.52
2009-05-02,40.74,44.73,35.75,30.90
2009-05-03,40.73,44.60,36.27,31.08
2009-05-04,39.86,44.11,34.87,30.64
2009-05-05,38.31,42.60,33.83,30.32
2009-05-06,37.93,43.26,34.49,28.88
2009-05-07,39.35,43.56,34.45,31.63
2009-05-08,39.81,44.06,36.72,32.92
2009-05-09,40.08,43.07,33.88,27.88
2009-05-10,40.28,43.56,36.98,31.02
2009-05-11,39.78,43.77,35.36,32.87
2009-05-12,39.57,44.81,35.80,34.12
2009-05-13,41.17,45.92,35.20,32.35
2009-05-14,40.19,45.61,33.60,31.26
2009-05-15,39.38,44.74,33.10,31.25
2009-05-16,39.21,44.33,33.74,31.53
2009-05-17,38.52,44.37,33.60,32.49
2009-05-18,39.18,45.02,34.51,32.39
2009-05-19,39.72,44.73,34.75,32.06
2009-05-20,39.65,44.97,35.30,32.80
2009-05-21,40.82,45.09,37.59,36.92
2009-05-22,42.34,46.49,36.38,34.23
2009-05-23,41.61,45.10,35.04,33.44
2009-05-24,40.41,44.96,35.29,32.96
2009-05-25,40.86,44.44,34.43,32.24
2009-05-26,40.51,44.52,34.48,32.16
2009-05-27,38.81,43.70,33.49,31.28
2009-05-28,39.85,44.25,34.68,33.01
2009-05-29,39.71,44.53,34.57,33.52
2009-05-30,38.56,43.19,33.77,32.20
2009-05-31,38.34,43.42,34.23,31.13
2009-06-01,39.13,42.69,34.91,32.75
2009-06-02,38.73,42.66,35.63,34.38
2009-06-03,39.17,42.62,35.99,34.89
2009-06-04,39.29,43.32,36.14,35.18
2009-06-05,39.50,43.47,36.04,34.68
2009-06-06,40.46,44.43,36.90,34.80
2009-06-07,40.74,44.66,35.86,32.43
2009-06-08,40.25,44.31,35.20,32.77
2009-06-09,39.65,44.30,35.16,33.14
2009-06-10,39.74,44.03,34.36,31.85
2009-06-11,39.89,43.98,34.33,32.40
2009-06-12,39.57,44.32,33.83,32.63
2009-06-13,39.14,43.75,34.66,32.09
2009-06-14,38.53,43.10,33.20,31.53
2009-06-15,39.02,43.58,34.10,32.46
2009-06-16,38.78,44.57,33.85,32.79
2009-06-17,38.88,44.03,34.81,33.67
2009-06-18,39.11,45.70,35.81,35.83
2009-06-19,39.72,46.08,37.20,35.60
2009-06-20,39.34,45.39,35.75,34.38
2009-06-21,39.08,43.25,33.35,32.27
2009-06-22,37.15,42.39,33.67,35.14
2009-06-23,36.10,42.11,31.64,31.67
2009-06-24,33.60,37.33,30.70,30.06
2009-06-25,35.69,39.25,32.74,30.24
2009-06-26,36.62,39.30,34.90,32.59
2009-06-27,37.97,41.78,32.79,31.34
2009-06-28,36.45,41.37,31.19,31.06
2009-06-29,36.28,39.43,31.85,29.82
2009-06-30,35.90,38.90,32.63,32.05
2009-07-01,37.01,39.07,32.73,31.44
2009-07-02,37.12,39.96,32.95,32.12
2009-07-03,35.11,42.53,30.64,32.81
2009-07-04,36.80,42.91,33.34,32.56
2009-07-05,39.63,45.78,33.82,32.71
2009-07-06,40.27,44.78,34.57,33.53
2009-07-07,40.74,45.74,35.62,35.74
2009-07-08,38.55,43.02,34.76,34.49
2009-07-09,35.07,37.22,32.22,30.93
2009-07-10,29.92,37.95,27.52,30.66
2009-07-11,34.01,40.69,29.43,29.06
2009-07-12,34.65,38.08,30.11,28.88
2009-07-13,33.17,36.59,30.37,30.33
2009-07-14,31.52,38.33,28.66,30.55
2009-07-15,31.47,34.27,27.17,30.50
2009-07-16,30.39,34.78,28.37,27.15
2009-07-17,29.95,33.56,28.01,28.11
2009-07-18,29.67,29.11,27.31,27.81
2009-07-19,32.18,35.86,30.07,29.99
2009-07-20,31.75,35.17,28.35,29.44
2009-07-21,29.92,34.59,28.65,30.40
2009-07-22,29.97,32.74,27.39,29.00
2009-07-23,27.59,29.07,26.57,25.18
2009-07-24,27.73,27.32,27.24,25.23
2009-07-25,28.85,30.89,27.26,26.47
2009-07-26,29.44,32.38,29.07,28.47
2009-07-27,32.03,34.40,29.87,28.18
2009-07-28,32.22,34.59,30.87,28.75
2009-07-29,31.77,33.48,30.11,28.02
2009-07-30,32.30,34.77,30.72,27.49
2009-07-31,32.09,34.84,30.29,29.45
2009-08-01,32.16,35.06,30.76,29.92
2009-08-02,32.42,34.83,30.55,30.73
2009-08-03,33.27,35.95,30.97,29.89
2009-08-04,32.29,35.00,30.54,29.22
2009-08-05,32.80,34.38,30.79,27.97
2009-08-06,32.50,34.94,30.94,28.53
2009-08-07,32.86,35.48,30.85,30.21
2009-08-08,33.24,35.68,30.83,30.43
2009-08-09,32.71,35.16,30.60,29.92
2009-08-10,33.23,36.34,32.26,29.93
2009-08-11,33.74,37.70,31.10,29.52
2009-08-12,32.73,37.96,29.95,28.62
2009-08-13,33.34,36.46,30.33,30.73
2009-08-14,32.89,35.16,30.42,30.04
2009-08-15,32.04,35.22,29.37,29.74
2009-08-16,31.84,33.85,29.02,29.11
2009-08-17,33.27,36.68,30.75,30.18
2009-08-18,34.48,38.77,31.21,31.06
2009-08-19,34.86,39.37,32.16,32.33
2009-08-20,35.54,39.33,32.54,31.25
2009-08-21,34.07,37.75,31.79,31.27
2009-08-22,33.77,38.06,31.00,30.93
2009-08-23,35.06,39.61,32.49,30.11
2009-08-24,35.88,41.04,32.64,32.44
2009-08-25,34.38,39.11,31.16,30.70
2009-08-26,32.97,36.70,30.49,30.00
2009-08-27,31.04,36.12,27.76,29.33
2009-08-28,28.25,30.90,26.77,28.98
2009-08-29,29.62,35.43,25.88,27.32
2009-08-30,28.41,34.77,26.70,26.67
2009-08-31,31.78,34.89,29.28,28.61
2009-09-01,33.30,39.46,30.56,30.63
2009-09-02,33.78,39.23,30.00,29.09
2009-09-03,31.94,38.22,29.50,31.28
2009-09-04,32.91,36.27,29.95,30.61
2009-09-05,32.97,38.13,29.51,29.92
2009-09-06,32.48,38.10,29.65,29.38
2009-09-07,32.71,38.75,30.12,30.24
2009-09-08,33.08,37.81,30.77,30.39
2009-09-09,32.91,37.52,31.15,29.17
2009-09-10,33.08,35.65,30.11,28.60
2009-09-11,32.93,37.69,31.41,29.82
2009-09-12,33.26,39.11,29.75,29.23
2009-09-13,34.11,39.03,30.87,29.61
2009-09-14,34.00,38.84,30.75,30.07
2009-09-15,33.19,37.93,29.79,28.65
2009-09-16,33.60,39.03,30.19,28.77
2009-09-17,33.87,40.25,30.66,29.47
2009-09-18,34.29,40.01,31.73,30.32
2009-09-19,34.50,39.08,29.77,27.08
2009-09-20,34.32,39.55,30.77,29.15
2009-09-21,34.50,40.40,29.95,28.45
2009-09-22,35.18,40.85,31.82,28.97
2009-09-23,35.97,41.38,31.29,29.68
2009-09-24,36.12,41.82,32.14,31.12
2009-09-25,35.40,41.05,30.84,30.30
2009-09-26,34.61,40.00,30.83,29.30
2009-09-27,34.24,40.34,30.37,28.85
2009-09-28,35.13,39.72,31.67,30.05
2009-09-29,35.96,39.97,32.81,30.26
2009-09-30,37.42,41.34,32.97,30.56
2009-10-01,37.63,41.64,32.35,29.52
2009-10-02,37.67,42.99,32.87,31.61
2009-10-03,36.50,42.45,31.66,31.45
2009-10-04,34.61,42.89,30.28,32.13
2009-10-05,33.78,42.06,32.04,31.96
