date,day_t2m,day_utci,night_t2m,night_utci
2013-01-01,21.17,28.87,14.07,7.18
2013-01-02,19.22,28.34,13.01,3.85
2013-01-03,19.26,28.33,11.92,4.84
2013-01-04,19.71,28.52,13.42,5.25
2013-01-05,19.14,28.07,13.04,2.82
2013-01-06,18.18,27.55,12.14,4.09
2013-01-07,18.65,26.93,11.91,3.17
2013-01-08,20.90,28.74,13.34,4.83
2013-01-09,23.78,30.15,16.30,7.56
2013-01-10,24.36,28.41,16.30,9.60
2013-01-11,26.42,30.45,18.17,11.18
2013-01-12,28.96,30.59,20.91,13.40
2013-01-13,25.39,28.44,17.58,7.70
2013-01-14,23.23,30.35,17.19,9.70
2013-01-15,23.88,30.52,18.74,10.90
2013-01-16,24.08,30.48,18.99,13.87
2013-01-17,22.85,29.27,17.01,10.68
2013-01-18,16.36,15.85,13.48,4.64
2013-01-19,19.46,27.84,14.44,4.61
2013-01-20,19.16,27.06,14.24,2.63
2013-01-21,20.50,27.64,15.09,4.14
2013-01-22,21.12,27.62,15.36,4.82
2013-01-23,22.27,28.45,16.46,5.55
2013-01-24,22.34,27.06,15.59,6.15
2013-01-25,22.31,29.35,15.93,5.97
2013-01-26,22.97,28.99,15.62,7.11
2013-01-27,24.38,31.34,17.30,8.70
2013-01-28,25.48,31.64,17.30,8.67
2013-01-29,26.56,32.38,18.21,9.63
2013-01-30,24.98,28.24,19.24,9.55
2013-01-31,24.70,29.41,19.66,12.03
2013-02-01,25.75,30.16,21.37,14.25
2013-02-02,26.30,30.85,20.79,12.79
2013-02-03,25.39,27.48,21.95,12.44
2013-02-04,27.84,29.43,21.01,14.68
2013-02-05,22.70,22.20,18.64,9.55
2013-02-06,21.87,26.24,17.03,5.47
2013-02-07,21.10,27.27,16.34,5.81
2013-02-08,22.10,28.51,16.92,6.37
2013-02-09,22.97,28.88,17.34,8.64
2013-02-10,24.81,30.84,19.62,9.71
2013-02-11,25.52,30.97,20.45,12.85
2013-02-12,26.36,31.45,22.30,15.16
2013-02-13,26.51,30.96,20.37,15.36
2013-02-14,28.35,32.00,22.55,14.85
2013-02-15,26.35,28.77,20.41,14.24
2013-02-16,19.52,20.33,16.31,6.09
2013-02-17,22.17,25.15,17.47,10.04
2013-02-18,23.84,31.19,20.58,12.77
2013-02-19,26.18,32.26,20.09,11.87
2013-02-20,26.05,32.55,21.96,14.25
2013-02-21,28.76,31.38,23.87,15.73
2013-02-22,30.67,33.05,23.79,16.12
