date,day_t2m,day_utci,night_t2m,night_utci
1989-01-01,25.49,29.23,20.33,13.34
1989-01-02,27.19,30.67,22.64,18.23
1989-01-03,27.94,32.96,25.25,17.44
1989-01-04,27.01,31.96,23.32,18.37
1989-01-05,27.52,31.30,22.95,16.24
1989-01-06,27.71,31.09,20.38,13.92
1989-01-07,26.23,32.55,22.70,13.89
1989-01-08,26.97,32.87,20.19,14.65
1989-01-09,27.34,31.43,23.84,14.10
1989-01-10,27.74,31.91,19.89,13.22
1989-01-11,27.16,32.64,21.14,13.90
1989-01-12,27.27,32.89,21.17,14.28
1989-01-13,25.29,29.06,22.69,14.42
1989-01-14,24.53,27.53,20.94,17.16
1989-01-15,26.60,30.79,22.89,14.11
1989-01-16,27.48,29.93,22.48,15.36
1989-01-17,26.65,31.06,23.33,16.74
1989-01-18,28.96,32.56,21.85,16.35
1989-01-19,27.63,33.33,20.65,14.22
1989-01-20,28.32,32.64,21.53,14.04
1989-01-21,27.62,32.81,19.84,13.10
1989-01-22,28.43,32.31,21.86,16.06
1989-01-23,27.23,34.51,22.59,18.15
1989-01-24,27.76,34.19,23.22,20.13
1989-01-25,28.26,34.61,24.49,20.79
1989-01-26,28.03,32.40,23.64,18.31
1989-01-27,27.72,30.69,23.28,15.07
1989-01-28,28.46,30.67,24.18,15.17
1989-01-29,27.60,30.14,24.17,13.18
1989-01-30,27.98,29.65,23.97,13.55
1989-01-31,27.89,29.31,20.91,13.00
1989-02-01,28.58,30.85,21.06,12.51
1989-02-02,28.82,30.47,21.63,12.99
1989-02-03,29.60,30.97,21.81,13.81
1989-02-04,29.75,32.86,24.77,14.49
1989-02-05,30.16,33.07,22.16,14.14
1989-02-06,30.58,32.96,23.55,14.42
1989-02-07,29.87,32.52,23.18,14.15
1989-02-08,30.33,32.60,24.18,13.77
1989-02-09,30.13,33.24,23.05,14.04
1989-02-10,30.26,33.18,23.12,15.77
1989-02-11,30.29,34.29,21.68,14.56
1989-02-12,31.05,34.49,23.14,16.17
1989-02-13,30.51,34.70,23.67,16.44
1989-02-14,30.56,34.39,24.50,17.14
1989-02-15,32.02,34.47,25.71,18.45
1989-02-16,31.30,34.94,26.77,18.76
1989-02-17,31.65,35.88,24.70,18.01
1989-02-18,31.59,36.33,26.68,20.66
1989-02-19,32.06,36.81,26.77,19.41
1989-02-20,30.86,35.11,24.96,19.12
1989-02-21,31.29,36.00,25.62,18.23
1989-02-22,31.88,37.20,26.26,20.01
1989-02-23,30.58,35.13,26.61,19.84
1989-02-24,30.22,33.13,26.06,18.53
1989-02-25,28.26,32.87,24.51,18.27
1989-02-26,30.58,32.14,24.22,15.22
1989-02-27,30.41,31.72,24.13,16.44
1989-02-28,30.92,33.59,28.75,17.68
1989-03-01,32.50,35.41,25.45,18.30
1989-03-02,32.21,35.40,26.53,19.07
1989-03-03,32.16,34.56,25.60,18.27
1989-03-04,31.88,34.85,25.74,18.52
1989-03-05,32.03,33.95,25.67,17.43
1989-03-06,30.92,32.65,24.48,16.84
1989-03-07,30.00,33.44,25.38,18.95
1989-03-08,30.42,35.18,25.88,20.83
1989-03-09,31.04,35.48,26.99,23.04
1989-03-10,30.10,32.87,23.43,21.60
1989-03-11,29.97,32.42,27.48,22.86
1989-03-12,29.68,32.45,25.74,21.39
1989-03-13,31.15,34.89,25.95,20.18
1989-03-14,31.02,35.04,26.46,20.97
1989-03-15,31.37,36.16,25.31,21.57
1989-03-16,30.91,36.27,27.34,22.38
1989-03-17,32.56,36.50,27.47,22.24
1989-03-18,32.67,36.23,27.20,20.38
1989-03-19,33.01,37.03,27.90,22.45
1989-03-20,33.43,38.17,29.30,24.10
1989-03-21,33.09,36.79,30.17,26.49
1989-03-22,34.19,38.04,29.32,26.78
1989-03-23,34.33,38.22,28.67,24.56
1989-03-24,33.03,37.38,31.58,25.30
1989-03-25,33.42,35.80,29.92,23.05
1989-03-26,33.03,35.74,27.45,25.44
1989-03-27,32.54,37.15,28.77,24.34
1989-03-28,28.88,34.38,25.32,22.14
1989-03-29,30.48,33.62,26.25,22.11
1989-03-30,32.96,35.39,26.94,23.01
1989-03-31,32.85,36.96,30.17,25.36
1989-04-01,34.14,36.90,31.26,25.21
1989-04-02,33.34,39.00,30.27,26.81
1989-04-03,32.18,37.48,30.33,25.87
1989-04-04,33.17,38.60,25.27,26.14
1989-04-05,33.04,36.94,28.30,24.73
1989-04-06,35.13,37.72,28.73,24.59
1989-04-07,35.45,37.22,29.09,24.72
1989-04-08,34.86,36.79,27.97,23.42
1989-04-09,34.50,37.92,26.91,24.19
1989-04-10,34.60,38.73,31.12,26.02
1989-04-11,33.87,39.16,30.23,26.24
1989-04-12,34.06,37.80,29.83,26.22
1989-04-13,34.49,38.31,30.18,26.58
1989-04-14,34.95,39.00,29.97,26.85
1989-04-15,35.25,38.51,32.39,27.02
1989-04-16,34.88,38.36,30.28,27.09
1989-04-17,35.63,38.75,30.88,25.67
1989-04-18,34.39,38.03,31.23,24.01
1989-04-19,31.55,36.93,27.72,24.78
1989-04-20,30.05,35.15,26.46,24.01
1989-04-21,31.72,37.69,28.74,24.95
1989-04-22,33.71,37.48,28.91,24.63
1989-04-23,32.06,36.78,27.36,27.87
1989-04-24,34.59,37.10,29.14,27.42
1989-04-25,33.00,38.99,30.51,28.16
1989-04-26,34.58,38.42,25.05,26.21
1989-04-27,33.96,38.04,25.04,25.17
1989-04-28,32.52,36.16,26.23,24.83
1989-04-29,34.70,36.72,29.98,25.01
1989-04-30,35.19,37.76,28.96,27.42
1989-05-01,34.31,38.47,29.77,25.23
1989-05-02,33.25,38.63,26.31,27.78
1989-05-03,33.39,37.94,29.25,29.55
1989-05-04,34.08,38.23,28.71,28.44
1989-05-05,33.94,37.25,28.87,28.08
1989-05-06,33.96,36.88,29.60,25.64
1989-05-07,32.87,35.93,29.73,28.93
1989-05-08,34.77,37.93,29.36,25.96
1989-05-09,31.82,38.44,25.44,29.02
1989-05-10,34.43,38.31,30.23,28.45
1989-05-11,33.70,38.18,25.90,26.00
1989-05-12,33.45,38.52,26.75,26.51
1989-05-13,33.52,39.80,28.65,26.65
1989-05-14,34.61,38.54,25.54,25.52
1989-05-15,33.98,38.00,29.77,25.47
1989-05-16,34.32,39.77,24.57,24.49
1989-05-17,33.86,39.09,24.77,23.71
1989-05-18,31.78,37.09,24.22,23.99
1989-05-19,32.00,38.30,26.76,22.51
1989-05-20,32.73,37.24,26.44,23.07
1989-05-21,31.15,35.35,25.83,23.39
1989-05-22,30.88,35.69,25.34,23.29
1989-05-23,32.08,35.45,26.67,22.44
1989-05-24,31.22,33.81,27.63,20.57
1989-05-25,31.45,33.74,27.19,20.62
1989-05-26,31.28,33.26,28.94,19.60
1989-05-27,32.03,34.35,27.19,22.16
1989-05-28,33.45,36.05,30.39,23.04
1989-05-29,32.84,37.01,30.35,23.44
1989-05-30,32.72,37.14,29.63,25.37
1989-05-31,32.12,37.33,24.18,25.97
1989-06-01,32.71,38.23,28.37,24.62
1989-06-02,29.83,32.09,27.20,23.09
1989-06-03,31.33,35.58,27.13,24.35
1989-06-04,30.26,34.24,25.69,25.88
1989-06-05,30.26,34.75,24.84,21.01
1989-06-06,27.49,28.05,22.24,18.77
1989-06-07,26.60,26.70,24.07,17.28
1989-06-08,27.87,27.49,23.72,18.07
1989-06-09,26.43,24.92,21.80,17.57
1989-06-10,26.34,30.78,23.09,17.34
1989-06-11,24.18,25.92,22.80,17.74
1989-06-12,27.08,28.38,23.08,19.50
1989-06-13,27.89,27.83,23.89,19.14
1989-06-14,28.52,29.53,25.15,18.09
1989-06-15,27.59,28.38,23.39,19.21
1989-06-16,28.02,28.77,23.49,18.38
1989-06-17,28.97,29.84,22.70,18.44
1989-06-18,27.29,30.79,22.61,19.61
1989-06-19,29.25,30.07,23.81,19.72
1989-06-20,28.61,30.37,23.90,18.86
1989-06-21,28.32,30.15,24.99,18.15
1989-06-22,27.41,29.19,23.65,17.94
1989-06-23,28.54,30.07,24.38,18.67
1989-06-24,27.90,29.67,25.54,19.88
1989-06-25,29.21,32.12,23.68,19.74
1989-06-26,28.35,30.16,23.18,17.86
1989-06-27,27.57,27.62,23.31,17.41
1989-06-28,25.97,27.04,24.08,16.01
1989-06-29,27.29,26.29,22.86,17.30
1989-06-30,28.78,28.35,24.70,20.78
1989-07-01,28.61,30.01,23.46,19.58
1989-07-02,28.69,33.64,23.60,21.76
1989-07-03,28.12,31.85,23.55,19.72
1989-07-04,29.89,32.59,26.13,22.04
1989-07-05,29.16,32.97,27.33,22.31
1989-07-06,28.07,32.83,24.41,20.66
1989-07-07,27.03,33.03,22.81,21.87
1989-07-08,28.45,33.83,22.46,21.26
1989-07-09,27.54,34.57,23.22,22.12
1989-07-10,29.01,33.59,25.37,21.32
1989-07-11,28.61,34.03,23.03,21.68
1989-07-12,27.40,30.20,24.48,20.56
1989-07-13,27.33,31.87,22.97,18.61
1989-07-14,26.82,27.19,23.36,18.07
1989-07-15,22.57,22.40,21.90,17.07
1989-07-16,21.58,21.50,21.10,15.99
1989-07-17,25.47,24.78,22.08,17.41
1989-07-18,26.79,25.99,23.51,18.39
1989-07-19,27.80,26.38,23.98,17.80
1989-07-20,27.11,27.21,23.67,17.75
1989-07-21,25.00,26.03,21.06,15.23
1989-07-22,22.82,22.43,20.86,12.19
1989-07-23,22.46,19.88,21.79,13.71
1989-07-24,25.83,24.43,22.67,18.09
1989-07-25,26.52,25.64,22.93,18.36
1989-07-26,24.83,25.60,23.48,17.97
1989-07-27,25.38,25.98,22.16,17.92
1989-07-28,26.70,30.41,23.00,20.26
1989-07-29,28.71,31.25,22.95,21.50
1989-07-30,28.14,30.83,24.73,21.28
1989-07-31,27.98,29.02,24.49,20.28
1989-08-01,27.32,28.08,24.29,18.40
1989-08-02,27.91,27.09,23.60,18.81
1989-08-03,27.22,26.23,22.81,18.03
1989-08-04,26.99,28.89,21.80,17.23
1989-08-05,26.95,26.83,23.01,16.94
1989-08-06,26.50,26.89,22.79,18.51
1989-08-07,28.07,27.75,23.79,18.36
1989-08-08,27.63,28.93,24.95,19.24
1989-08-09,28.24,29.15,23.47,20.00
1989-08-10,27.96,29.91,23.93,19.60
1989-08-11,25.25,28.09,22.45,17.46
1989-08-12,26.40,27.68,23.02,17.12
1989-08-13,27.29,26.73,22.77,17.94
1989-08-14,26.25,27.07,22.97,18.05
1989-08-15,23.41,24.85,21.29,15.52
1989-08-16,24.49,23.28,20.91,14.67
1989-08-17,23.00,22.99,21.89,17.23
1989-08-18,25.43,26.81,22.12,17.94
1989-08-19,26.75,27.26,23.30,19.02
1989-08-20,26.98,27.66,23.72,19.67
1989-08-21,28.68,28.86,26.36,20.80
1989-08-22,26.23,28.51,22.74,18.00
1989-08-23,26.82,27.71,24.39,16.49
1989-08-24,25.83,23.70,21.95,17.64
1989-08-25,26.38,23.54,24.06,18.15
1989-08-26,25.66,27.61,22.94,19.39
1989-08-27,27.31,30.08,22.71,18.95
1989-08-28,27.77,29.33,23.29,19.02
1989-08-29,27.24,28.65,23.13,19.28
1989-08-30,26.33,29.05,21.98,18.18
1989-08-31,27.07,29.12,24.68,20.51
1989-09-01,27.66,30.89,23.66,21.83
1989-09-02,28.03,33.99,26.88,24.69
1989-09-03,27.17,35.57,22.18,23.85
1989-09-04,27.49,33.80,21.78,21.53
1989-09-05,27.57,32.12,22.99,21.91
1989-09-06,27.62,31.69,24.16,20.10
1989-09-07,26.67,31.74,22.39,17.84
1989-09-08,27.47,29.12,23.41,19.23
1989-09-09,26.81,29.15,23.56,20.17
1989-09-10,26.68,28.60,23.58,19.31
1989-09-11,26.82,29.13,22.81,19.93
1989-09-12,26.22,26.66,23.05,18.61
