date,day_t2m,day_utci,night_t2m,night_utci
1954-01-01,28.66,34.27,25.53,23.87
1954-01-02,28.20,31.63,25.28,23.19
1954-01-03,27.59,32.11,25.45,24.00
1954-01-04,26.87,30.66,24.55,23.80
1954-01-05,26.57,28.01,25.33,24.95
1954-01-06,27.32,32.00,26.02,24.22
1954-01-07,28.00,32.53,25.98,24.46
1954-01-08,27.45,31.18,26.33,27.48
1954-01-09,26.58,31.91,25.74,28.24
1954-01-10,26.89,32.52,26.15,25.74
1954-01-11,27.07,34.55,25.30,25.37
1954-01-12,26.76,30.63,25.49,24.83
1954-01-13,26.85,30.00,25.86,25.34
1954-01-14,26.60,31.03,24.54,22.41
1954-01-15,26.63,31.06,24.60,21.89
1954-01-16,27.00,32.45,24.74,20.62
1954-01-17,26.82,32.86,24.47,20.81
1954-01-18,26.56,32.10,24.52,19.07
1954-01-19,26.89,34.91,24.60,18.84
1954-01-20,27.24,34.56,24.00,19.06
1954-01-21,28.88,35.48,25.67,24.80
1954-01-22,28.89,36.22,25.42,23.23
1954-01-23,27.97,34.81,25.17,24.84
1954-01-24,27.75,33.78,25.65,24.31
1954-01-25,27.69,34.58,25.66,25.04
1954-01-26,26.48,31.97,25.08,25.77
1954-01-27,27.75,33.24,25.08,22.71
1954-01-28,27.17,31.34,25.14,23.16
1954-01-29,27.53,32.69,24.96,21.98
1954-01-30,28.32,36.53,25.73,25.16
1954-01-31,28.08,33.10,26.13,25.93
1954-02-01,27.51,32.24,25.98,27.12
1954-02-02,28.34,34.13,26.25,26.62
1954-02-03,28.40,32.98,26.08,26.39
1954-02-04,28.36,34.65,25.95,23.34
1954-02-05,28.27,34.05,26.10,24.01
1954-02-06,28.85,35.50,27.04,25.43
1954-02-07,28.81,34.11,26.85,26.04
1954-02-08,29.23,34.34,26.51,26.52
1954-02-09,28.71,35.02,26.23,24.31
1954-02-10,28.75,34.24,26.10,26.01
1954-02-11,29.43,35.77,26.36,22.32
1954-02-12,30.94,38.96,26.82,22.11
1954-02-13,32.37,40.17,28.19,22.81
1954-02-14,32.74,39.36,27.57,22.48
1954-02-15,32.61,39.44,27.63,25.25
