date,day_t2m,day_utci,night_t2m,night_utci
1950-01-01,17.96,22.56,12.47,14.03
1950-01-02,18.29,22.40,12.72,11.60
1950-01-03,17.97,20.15,12.43,9.71
1950-01-04,17.77,22.26,12.71,10.35
1950-01-05,20.60,24.32,12.54,12.02
1950-01-06,21.68,25.23,12.61,13.29
1950-01-07,21.60,25.23,13.38,12.36
1950-01-08,21.13,24.50,12.70,12.30
1950-01-09,21.60,24.67,13.13,13.51
1950-01-10,21.49,24.85,12.56,12.74
1950-01-11,22.36,25.13,12.83,13.97
1950-01-12,22.55,25.62,13.63,13.57
1950-01-13,22.08,24.94,12.87,12.60
1950-01-14,21.98,25.05,13.23,12.85
1950-01-15,20.77,23.78,14.07,12.95
1950-01-16,20.09,23.50,12.70,13.03
1950-01-17,20.93,23.89,12.87,12.72
1950-01-18,20.36,24.00,13.20,15.52
1950-01-19,20.32,24.76,14.69,15.41
1950-01-20,21.93,25.65,15.01,12.38
1950-01-21,21.97,25.59,16.40,13.74
1950-01-22,22.53,25.79,17.55,16.41
1950-01-23,20.14,23.16,15.06,16.99
1950-01-24,20.53,23.50,14.09,14.25
1950-01-25,21.57,23.76,14.45,12.37
1950-01-26,21.94,24.98,15.32,14.43
1950-01-27,20.45,24.13,15.71,15.99
1950-01-28,20.44,23.86,14.87,15.50
1950-01-29,18.95,22.07,13.99,15.87
1950-01-30,20.62,23.73,15.72,15.15
1950-01-31,21.15,24.92,15.49,17.75
1950-02-01,21.72,25.33,16.43,13.71
1950-02-02,16.22,18.68,13.74,15.53
1950-02-03,19.41,24.22,14.83,14.57
1950-02-04,18.54,21.43,13.87,15.03
1950-02-05,21.09,24.57,16.41,13.39
1950-02-06,18.53,21.96,13.32,15.15
1950-02-07,16.66,20.33,13.57,13.45
1950-02-08,16.98,21.31,13.73,12.56
1950-02-09,19.31,25.18,13.63,15.75
1950-02-10,19.89,24.20,14.63,12.60
1950-02-11,18.45,22.70,10.87,13.05
1950-02-12,16.78,21.00,11.78,12.63
1950-02-13,15.41,18.63,11.13,12.75
1950-02-14,16.67,20.86,11.34,11.68
1950-02-15,17.74,22.42,12.09,12.98
1950-02-16,17.69,20.88,12.83,12.08
1950-02-17,19.31,24.06,13.64,10.87
1950-02-18,18.32,21.03,14.66,15.71
1950-02-19,20.72,25.68,15.83,16.22
1950-02-20,22.24,25.15,17.27,15.00
1950-02-21,18.81,23.41,15.67,14.31
1950-02-22,21.90,26.23,15.97,13.99
1950-02-23,20.89,24.60,16.00,17.88
1950-02-24,20.58,24.17,16.30,17.45
1950-02-25,20.53,22.55,16.18,17.79
1950-02-26,21.69,24.78,15.61,15.76
1950-02-27,22.55,26.09,16.93,18.94
1950-02-28,23.84,26.25,17.10,20.30
1950-03-01,24.00,26.20,16.86,18.53
1950-03-02,24.29,26.32,17.47,14.13
1950-03-03,17.53,21.41,16.37,16.23
1950-03-04,19.24,23.41,15.93,17.41
1950-03-05,23.87,27.72,18.59,20.98
1950-03-06,23.77,28.06,18.64,17.82
1950-03-07,24.11,28.09,17.80,17.84
1950-03-08,23.10,25.91,17.83,22.48
1950-03-09,22.79,26.95,18.89,19.20
1950-03-10,22.78,26.08,18.54,17.52
1950-03-11,19.94,23.92,17.28,19.87
1950-03-12,21.42,26.71,16.70,20.14
1950-03-13,21.67,26.15,16.90,22.79
1950-03-14,22.37,26.61,17.67,20.04
1950-03-15,21.70,26.97,18.01,21.74
1950-03-16,24.60,28.00,19.39,21.96
1950-03-17,25.53,28.95,19.30,23.75
1950-03-18,25.58,27.86,20.24,23.41
1950-03-19,25.19,27.17,19.66,22.69
1950-03-20,24.85,27.96,18.32,19.06
1950-03-21,25.29,26.56,19.49,23.23
1950-03-22,23.71,26.95,18.66,21.10
1950-03-23,21.72,27.76,18.64,16.10
1950-03-24,23.39,27.18,16.97,19.54
1950-03-25,22.28,26.32,18.26,22.27
1950-03-26,23.72,26.50,17.90,22.37
1950-03-27,24.40,26.38,17.98,22.82
1950-03-28,23.76,25.95,18.15,22.65
1950-03-29,23.76,25.78,18.77,22.18
1950-03-30,23.45,25.36,19.11,22.76
1950-03-31,24.96,27.34,19.47,23.32
1950-04-01,26.54,27.60,20.89,23.63
1950-04-02,28.94,29.68,22.74,26.73
1950-04-03,29.01,30.39,23.37,26.83
1950-04-04,29.73,30.67,23.24,27.39
1950-04-05,29.79,30.81,25.30,27.22
1950-04-06,29.84,30.66,22.69,26.68
1950-04-07,29.79,30.22,23.02,26.98
1950-04-08,30.06,30.21,23.59,27.17
1950-04-09,31.45,30.64,23.65,27.33
1950-04-10,31.49,30.81,24.52,27.85
1950-04-11,31.52,31.43,24.45,27.41
1950-04-12,30.66,31.52,22.59,20.79
1950-04-13,23.92,27.89,20.62,24.46
1950-04-14,26.04,28.15,20.80,24.28
1950-04-15,21.78,26.95,19.87,22.03
1950-04-16,24.84,28.12,20.80,23.29
1950-04-17,24.46,28.40,21.18,24.84
1950-04-18,27.11,30.02,24.07,28.65
1950-04-19,29.35,32.10,23.98,28.78
1950-04-20,31.48,31.58,24.65,28.62
1950-04-21,30.99,31.88,25.35,29.70
1950-04-22,32.21,32.94,25.60,29.89
1950-04-23,33.74,33.21,25.33,29.55
1950-04-24,31.70,32.06,25.75,29.12
1950-04-25,31.81,32.11,26.39,29.36
1950-04-26,31.79,32.51,26.96,29.85
1950-04-27,31.11,32.04,26.13,29.28
1950-04-28,30.62,31.75,22.90,27.79
1950-04-29,27.90,31.37,22.51,24.84
1950-04-30,28.37,31.80,23.46,28.25
1950-05-01,27.59,32.09,23.67,29.86
1950-05-02,27.28,30.38,24.04,27.10
1950-05-03,29.73,32.79,24.59,26.14
1950-05-04,28.29,31.78,22.91,26.19
1950-05-05,26.84,30.99,22.55,22.14
1950-05-06,26.03,30.71,23.04,27.32
1950-05-07,27.21,31.51,23.36,25.08
1950-05-08,28.38,33.08,24.30,30.06
1950-05-09,28.05,32.22,24.04,29.63
1950-05-10,28.01,32.48,24.23,29.45
1950-05-11,28.15,33.22,25.10,27.20
1950-05-12,28.31,32.13,24.47,29.42
1950-05-13,28.78,32.75,24.81,25.94
1950-05-14,28.86,33.39,24.38,29.20
1950-05-15,29.08,32.95,24.34,29.12
1950-05-16,29.23,32.92,24.86,29.11
1950-05-17,28.83,32.51,23.63,28.03
1950-05-18,27.67,31.70,24.24,30.05
1950-05-19,28.67,32.26,25.36,30.14
1950-05-20,29.54,33.71,24.73,29.22
1950-05-21,29.24,33.20,23.96,27.66
1950-05-22,27.91,32.01,24.21,28.16
