date,day_t2m,day_utci,night_t2m,night_utci
2003-01-01,16.06,23.75,12.78,7.72
2003-01-02,15.80,25.65,13.43,13.27
2003-01-03,15.03,18.22,12.62,7.68
2003-01-04,15.08,20.03,11.27,5.10
2003-01-05,16.51,23.05,10.28,6.48
2003-01-06,16.13,26.25,10.89,5.79
2003-01-07,14.23,21.57,9.47,3.02
2003-01-08,15.16,20.17,9.85,3.90
2003-01-09,15.25,23.48,8.06,3.82
2003-01-10,14.97,18.78,9.69,3.26
2003-01-11,15.94,20.79,8.17,1.87
2003-01-12,16.12,23.81,10.34,2.78
2003-01-13,17.18,20.76,10.30,3.33
2003-01-14,17.26,21.20,10.20,3.01
2003-01-15,16.49,25.84,8.56,1.60
2003-01-16,16.86,23.82,9.73,2.62
2003-01-17,16.10,25.77,9.86,7.88
2003-01-18,13.73,25.07,8.44,6.84
2003-01-19,15.28,23.64,9.68,5.47
2003-01-20,14.69,23.10,8.07,1.15
2003-01-21,16.27,21.76,9.79,2.13
2003-01-22,20.94,22.47,12.60,4.42
2003-01-23,22.48,24.71,13.91,5.90
2003-01-24,22.40,26.28,14.93,4.65
2003-01-25,22.31,28.35,14.52,8.65
2003-01-26,24.41,28.85,19.93,10.50
2003-01-27,21.55,27.15,16.27,12.15
2003-01-28,20.07,25.17,15.90,12.98
2003-01-29,20.20,25.22,17.34,12.79
2003-01-30,19.70,27.79,16.30,7.59
2003-01-31,13.69,14.99,13.58,13.01
2003-02-01,18.38,25.57,15.65,9.44
2003-02-02,17.70,24.53,13.34,7.93
2003-02-03,18.85,26.46,13.60,6.62
2003-02-04,20.37,25.61,17.23,5.57
2003-02-05,21.68,24.71,16.77,5.76
2003-02-06,22.36,27.75,17.52,11.98
2003-02-07,22.83,29.15,16.94,11.37
2003-02-08,22.56,28.99,17.59,12.31
2003-02-09,22.33,27.90,15.07,7.50
2003-02-10,21.33,28.28,13.74,6.77
2003-02-11,21.23,26.98,14.64,8.28
2003-02-12,21.32,24.83,15.90,9.11
2003-02-13,23.47,22.85,16.11,8.23
2003-02-14,24.62,25.55,16.22,9.65
2003-02-15,26.16,29.81,17.20,11.52
2003-02-16,23.42,26.00,19.08,13.62
2003-02-17,22.75,20.82,18.34,9.81
2003-02-18,20.30,20.43,17.46,9.05
