date,day_t2m,day_utci,night_t2m,night_utci
1972-01-01,24.78,29.65,19.56,20.91
1972-01-02,23.12,27.72,17.67,17.89
1972-01-03,21.66,27.15,18.97,19.62
1972-01-04,22.42,29.87,18.26,19.06
1972-01-05,23.66,28.51,18.17,19.83
1972-01-06,22.74,27.92,18.31,18.64
1972-01-07,22.43,25.48,17.88,20.14
1972-01-08,22.34,29.14,18.14,19.82
1972-01-09,23.63,29.22,17.75,20.02
1972-01-10,21.62,29.31,18.30,19.79
1972-01-11,22.42,28.16,18.14,18.64
1972-01-12,22.70,27.79,19.13,19.46
1972-01-13,23.95,29.01,19.34,19.52
1972-01-14,24.39,30.68,18.46,20.84
1972-01-15,23.74,30.89,17.43,17.91
1972-01-16,22.24,26.71,17.20,20.79
1972-01-17,22.58,27.79,17.33,18.86
1972-01-18,23.52,30.02,15.17,16.83
1972-01-19,24.59,26.59,16.90,16.67
1972-01-20,25.28,27.94,17.43,17.78
1972-01-21,25.27,29.48,18.63,19.80
1972-01-22,24.41,31.61,19.66,19.75
1972-01-23,23.09,28.89,18.00,17.93
1972-01-24,24.45,27.41,20.30,18.59
1972-01-25,24.74,28.64,19.43,20.71
1972-01-26,25.18,31.45,18.20,18.31
1972-01-27,24.92,30.92,21.39,17.86
1972-01-28,23.64,30.28,19.98,17.96
1972-01-29,21.29,27.39,20.38,22.76
1972-01-30,22.91,28.22,18.59,16.30
1972-01-31,22.68,27.57,19.02,19.71
1972-02-01,22.95,28.58,20.89,17.40
1972-02-02,21.87,26.40,19.45,21.84
1972-02-03,25.76,26.02,19.99,15.38
1972-02-04,22.87,21.58,19.02,16.91
1972-02-05,21.93,22.44,17.70,14.42
1972-02-06,21.97,20.75,20.25,13.98
1972-02-07,20.20,21.35,17.71,17.12
1972-02-08,19.41,25.08,16.72,15.47
1972-02-09,19.40,23.42,16.30,16.83
1972-02-10,21.16,27.38,16.12,19.08
1972-02-11,22.64,27.74,19.21,19.06
1972-02-12,23.32,27.51,18.22,18.69
1972-02-13,19.64,24.46,15.62,19.09
1972-02-14,19.83,23.53,17.50,16.79
1972-02-15,20.97,25.75,17.14,18.44
1972-02-16,22.76,27.67,17.86,18.75
1972-02-17,24.69,30.20,16.78,16.68
1972-02-18,24.16,26.96,17.75,21.61
1972-02-19,23.78,29.61,19.39,20.60
1972-02-20,24.81,30.49,17.54,22.72
1972-02-21,26.41,31.21,22.70,23.71
1972-02-22,27.24,32.15,21.38,23.93
1972-02-23,27.32,32.51,21.26,19.82
1972-02-24,26.81,30.58,21.37,19.27
1972-02-25,26.28,32.92,21.55,21.54
1972-02-26,27.90,32.30,23.26,21.11
1972-02-27,28.21,31.37,23.07,23.18
1972-02-28,27.00,32.66,21.55,24.86
1972-02-29,26.72,32.62,21.08,24.06
1972-03-01,27.64,32.94,22.25,22.44
1972-03-02,28.45,32.81,21.96,24.81
1972-03-03,29.05,33.66,21.15,22.69
1972-03-04,29.82,34.69,23.67,26.03
1972-03-05,30.36,34.45,26.53,20.89
