date,day_t2m,day_utci,night_t2m,night_utci
1958-01-01,22.56,28.62,19.63,18.13
1958-01-02,24.31,28.34,19.84,17.18
1958-01-03,23.46,28.39,19.29,18.63
1958-01-04,22.64,28.13,20.98,18.71
1958-01-05,22.88,27.94,21.35,14.69
1958-01-06,23.46,28.72,22.21,16.15
1958-01-07,23.29,26.71,23.74,14.08
1958-01-08,22.37,26.60,22.26,13.54
1958-01-09,23.24,27.82,23.44,14.85
1958-01-10,23.10,25.91,22.05,13.81
1958-01-11,22.55,27.92,21.06,14.22
1958-01-12,23.90,28.46,19.69,15.46
1958-01-13,24.61,29.30,22.17,16.13
1958-01-14,24.38,30.61,23.27,18.04
1958-01-15,24.42,30.09,21.58,18.69
1958-01-16,24.61,29.67,22.15,18.14
1958-01-17,24.50,27.97,23.75,17.07
1958-01-18,23.63,26.64,20.90,12.21
1958-01-19,23.10,27.20,19.97,15.44
1958-01-20,23.73,28.47,22.34,15.42
1958-01-21,22.97,28.17,21.68,17.29
1958-01-22,23.21,28.14,21.87,17.81
1958-01-23,23.45,27.22,20.54,14.21
1958-01-24,23.73,28.03,20.31,17.42
1958-01-25,25.14,28.90,20.70,17.98
1958-01-26,23.20,29.37,21.59,19.30
1958-01-27,24.01,28.38,21.04,16.60
1958-01-28,25.08,30.23,22.21,18.51
1958-01-29,24.51,30.58,22.59,18.44
1958-01-30,25.65,29.41,22.96,19.00
1958-01-31,23.14,27.72,20.02,18.01
1958-02-01,24.13,27.98,20.63,18.40
1958-02-02,23.26,26.97,21.73,18.79
1958-02-03,24.17,28.78,25.02,18.95
1958-02-04,24.62,29.19,23.60,19.56
1958-02-05,24.54,28.90,22.19,19.10
1958-02-06,25.48,30.24,22.95,19.32
1958-02-07,26.80,29.71,23.29,19.97
1958-02-08,27.10,30.15,25.70,19.82
1958-02-09,25.94,29.98,23.88,19.90
1958-02-10,26.75,30.41,23.87,20.47
1958-02-11,26.53,29.29,23.77,19.65
1958-02-12,25.95,28.32,23.46,16.36
1958-02-13,25.55,26.76,23.73,15.67
1958-02-14,26.15,27.89,25.35,15.59
1958-02-15,26.57,28.02,25.64,15.98
1958-02-16,27.25,29.07,24.75,16.71
1958-02-17,26.93,29.14,24.61,19.10
1958-02-18,26.28,30.90,23.27,18.37
1958-02-19,28.06,31.78,26.91,20.85
1958-02-20,27.80,31.69,25.25,20.91
1958-02-21,28.28,32.31,26.29,20.75
1958-02-22,28.46,32.18,26.85,19.99
1958-02-23,26.62,30.55,25.90,20.95
1958-02-24,27.83,31.45,24.31,19.43
1958-02-25,28.42,31.11,24.74,19.79
1958-02-26,27.48,30.70,24.04,20.45
1958-02-27,28.02,30.14,24.51,19.03
1958-02-28,28.74,31.05,26.43,20.91
1958-03-01,26.31,30.52,23.49,21.51
1958-03-02,25.94,29.95,23.06,20.51
1958-03-03,27.23,30.01,23.76,19.95
1958-03-04,27.81,29.06,24.29,19.29
1958-03-05,27.01,27.58,21.19,16.63
1958-03-06,27.12,29.30,23.70,18.27
1958-03-07,27.45,28.41,24.32,19.41
1958-03-08,28.70,29.69,27.70,19.56
1958-03-09,29.59,29.97,27.97,18.90
1958-03-10,29.61,30.90,28.59,20.29
1958-03-11,29.51,31.13,26.81,21.42
1958-03-12,27.66,30.57,25.01,21.88
1958-03-13,26.62,30.08,22.66,19.66
1958-03-14,26.16,30.28,20.81,22.02
1958-03-15,25.84,29.84,19.83,21.05
1958-03-16,26.70,28.85,24.28,22.28
1958-03-17,28.79,29.13,23.99,22.10
1958-03-18,28.65,30.13,24.51,22.05
1958-03-19,27.25,29.49,25.94,22.00
1958-03-20,29.50,30.02,27.26,21.69
1958-03-21,29.81,30.33,25.63,21.22
1958-03-22,27.53,30.30,23.08,21.36
1958-03-23,28.74,31.23,24.07,21.89
1958-03-24,27.13,30.18,23.55,22.51
1958-03-25,28.48,30.76,22.46,23.57
1958-03-26,30.15,30.86,27.17,22.68
1958-03-27,30.57,30.99,24.05,23.01
1958-03-28,29.97,31.81,25.96,24.07
1958-03-29,29.52,30.62,26.75,24.18
1958-03-30,28.94,31.19,25.52,24.50
1958-03-31,29.93,31.00,26.96,23.44
1958-04-01,29.57,31.24,26.88,22.49
1958-04-02,30.28,31.80,26.15,23.55
1958-04-03,30.25,32.95,27.24,24.26
1958-04-04,29.65,31.31,24.29,22.82
1958-04-05,27.98,32.18,23.58,23.91
1958-04-06,27.10,31.13,24.24,24.36
1958-04-07,29.90,31.40,28.70,23.68
1958-04-08,30.87,32.31,26.91,25.25
1958-04-09,31.33,33.25,28.23,24.79
1958-04-10,31.57,32.77,28.34,23.24
1958-04-11,30.60,32.19,26.27,25.15
1958-04-12,28.52,31.90,21.76,23.02
1958-04-13,27.98,31.87,21.58,25.36
1958-04-14,27.37,31.60,21.72,22.65
1958-04-15,27.83,29.90,23.42,23.62
1958-04-16,29.51,31.74,27.62,24.24
1958-04-17,30.37,32.05,27.98,24.87
1958-04-18,30.36,31.90,27.44,24.89
1958-04-19,30.02,32.22,25.63,25.33
1958-04-20,26.82,30.10,21.90,23.33
1958-04-21,28.27,31.45,23.57,26.33
1958-04-22,27.90,30.68,26.07,26.43
1958-04-23,29.41,30.97,25.18,24.37
1958-04-24,30.35,32.45,28.64,23.83
1958-04-25,28.58,30.98,27.23,24.60
1958-04-26,28.87,31.46,21.86,24.16
1958-04-27,27.36,32.02,22.46,21.86
1958-04-28,26.56,31.05,22.43,25.81
1958-04-29,28.01,30.14,24.30,24.73
1958-04-30,28.99,30.82,22.64,23.50
1958-05-01,27.19,31.20,21.79,23.51
1958-05-02,27.77,32.18,22.37,24.45
1958-05-03,27.92,32.39,23.24,26.17
1958-05-04,27.96,32.74,21.53,23.72
1958-05-05,25.70,32.39,20.81,20.73
1958-05-06,25.10,30.12,22.15,22.94
1958-05-07,28.40,31.71,25.10,23.70
1958-05-08,30.34,33.02,26.43,22.12
1958-05-09,29.07,32.79,26.51,22.91
1958-05-10,28.68,33.11,23.87,22.17
1958-05-11,26.73,32.66,24.37,24.33
1958-05-12,25.10,30.88,23.68,22.95
1958-05-13,26.32,32.52,23.09,21.43
