date,day_t2m,day_utci,night_t2m,night_utci
1970-01-01,30.97,35.08,28.83,18.83
1970-01-02,30.16,33.99,28.99,19.39
1970-01-03,31.32,33.01,25.08,19.68
1970-01-04,29.43,33.01,23.84,18.08
1970-01-05,28.30,31.78,24.83,18.31
1970-01-06,28.20,31.92,25.01,16.45
1970-01-07,28.40,31.93,25.46,16.82
1970-01-08,28.72,32.00,24.86,19.21
1970-01-09,29.92,33.51,27.67,20.32
1970-01-10,28.79,31.61,26.54,18.97
1970-01-11,28.24,32.23,24.78,17.46
1970-01-12,31.43,32.96,27.96,18.91
1970-01-13,29.16,32.10,24.98,17.68
1970-01-14,29.07,32.10,27.40,17.63
1970-01-15,29.39,31.98,26.93,17.66
1970-01-16,29.26,31.51,25.63,15.94
1970-01-17,29.12,31.89,24.44,17.86
1970-01-18,29.22,32.44,26.55,19.93
1970-01-19,27.72,31.37,26.02,19.89
1970-01-20,26.71,31.23,25.41,16.51
1970-01-21,25.93,28.91,25.50,11.70
1970-01-22,28.15,31.25,26.37,15.51
1970-01-23,28.84,30.95,24.20,18.88
1970-01-24,26.56,29.90,25.32,20.68
1970-01-25,26.02,28.77,24.67,19.91
1970-01-26,26.51,30.45,26.91,17.79
1970-01-27,27.58,29.83,26.39,14.10
1970-01-28,30.07,33.16,28.89,19.65
1970-01-29,28.31,32.07,25.89,21.16
1970-01-30,27.00,31.23,25.88,17.10
1970-01-31,28.04,28.21,25.71,14.66
1970-02-01,28.07,30.54,25.55,15.16
1970-02-02,28.66,29.10,27.55,15.23
1970-02-03,30.30,32.52,28.80,19.00
1970-02-04,31.10,31.31,28.71,17.10
1970-02-05,31.20,32.20,27.92,17.10
1970-02-06,30.65,31.80,26.15,18.30
1970-02-07,31.05,34.25,29.47,18.88
1970-02-08,32.12,33.31,27.65,19.69
1970-02-09,31.79,33.31,28.40,20.51
1970-02-10,32.10,33.44,28.22,18.83
1970-02-11,32.13,33.57,27.46,19.40
1970-02-12,30.62,32.82,26.91,18.98
1970-02-13,31.42,33.53,28.49,19.92
1970-02-14,31.68,31.94,27.66,20.08
1970-02-15,31.02,32.27,28.19,19.85
1970-02-16,31.26,32.46,27.00,19.70
1970-02-17,31.08,33.04,25.92,22.20
1970-02-18,28.31,32.03,26.51,21.33
1970-02-19,27.90,31.22,28.14,18.58
1970-02-20,30.20,32.57,28.09,18.27
1970-02-21,29.24,32.06,27.11,20.29
1970-02-22,28.75,31.05,27.42,21.27
1970-02-23,28.43,32.56,27.24,21.05
1970-02-24,28.96,32.53,26.38,19.79
1970-02-25,30.36,32.00,26.42,21.68
1970-02-26,29.51,31.99,28.19,23.29
1970-02-27,29.65,32.17,28.07,22.10
1970-02-28,28.85,32.50,27.25,20.20
1970-03-01,32.80,33.92,28.45,22.14
1970-03-02,30.57,33.50,28.16,22.63
1970-03-03,31.15,33.62,28.19,20.18
1970-03-04,30.89,31.74,27.22,20.58
1970-03-05,29.59,31.65,25.75,21.52
1970-03-06,28.67,31.93,27.49,21.52
1970-03-07,29.60,32.87,27.36,21.24
1970-03-08,30.50,32.31,27.44,21.49
1970-03-09,30.67,33.08,27.95,22.37
1970-03-10,30.35,31.49,25.99,21.16
1970-03-11,30.16,33.42,27.44,21.97
1970-03-12,28.86,32.05,27.94,20.55
1970-03-13,30.87,32.26,28.37,22.57
1970-03-14,33.19,34.12,28.13,22.51
1970-03-15,33.92,33.49,28.91,23.56
1970-03-16,34.24,35.28,28.91,22.18
1970-03-17,34.61,33.84,29.99,23.64
1970-03-18,32.62,34.45,28.71,23.14
1970-03-19,33.39,33.09,30.07,21.27
1970-03-20,36.05,34.72,32.25,21.54
1970-03-21,36.48,35.71,31.38,23.29
1970-03-22,34.87,34.28,31.40,23.14
1970-03-23,33.39,34.92,30.12,24.12
1970-03-24,33.95,34.67,31.07,24.56
1970-03-25,35.74,35.62,32.11,25.35
1970-03-26,36.97,36.05,32.65,26.50
1970-03-27,35.95,37.34,31.39,28.03
1970-03-28,36.50,37.17,31.50,26.17
1970-03-29,34.88,35.48,28.67,26.31
1970-03-30,33.54,35.39,28.30,27.44
1970-03-31,32.57,33.92,29.22,26.55
1970-04-01,31.84,34.45,30.04,25.47
1970-04-02,31.78,35.23,28.82,26.76
1970-04-03,32.87,34.13,29.94,27.85
1970-04-04,31.66,34.00,29.82,29.94
1970-04-05,32.56,34.65,29.27,27.27
1970-04-06,34.35,35.36,28.98,28.21
1970-04-07,35.23,36.84,30.62,25.85
1970-04-08,34.50,34.40,29.91,28.78
1970-04-09,32.82,36.78,30.24,28.72
1970-04-10,32.23,36.00,30.27,29.73
1970-04-11,35.22,36.72,31.34,30.39
1970-04-12,37.58,37.71,32.76,30.34
1970-04-13,38.07,37.86,33.36,31.21
