date,day_t2m,day_utci,night_t2m,night_utci
2025-01-01,27.99,37.30,23.11,23.41
2025-01-02,27.92,35.04,22.48,22.12
2025-01-03,27.23,36.21,22.84,22.20
2025-01-04,27.98,34.29,24.31,22.54
2025-01-05,28.00,34.55,24.44,22.73
2025-01-06,27.87,35.79,25.17,22.03
2025-01-07,28.16,35.47,23.82,24.15
2025-01-08,26.96,35.01,24.56,24.79
2025-01-09,27.05,36.01,22.88,24.71
2025-01-10,27.94,36.88,23.94,25.26
2025-01-11,27.53,36.36,24.24,25.67
2025-01-12,26.45,36.04,23.71,26.65
2025-01-13,26.67,35.86,23.22,25.63
2025-01-14,25.42,35.82,22.96,26.29
2025-01-15,25.96,34.57,23.89,26.52
2025-01-16,27.43,36.60,23.68,25.89
2025-01-17,27.30,36.00,23.07,26.60
2025-01-18,26.24,34.61,22.22,26.61
2025-01-19,24.08,31.62,22.90,24.90
2025-01-20,26.55,36.54,24.09,26.10
2025-01-21,27.33,35.28,22.04,21.57
2025-01-22,27.31,35.00,22.77,26.48
2025-01-23,26.96,35.37,24.07,26.55
2025-01-24,27.97,35.39,23.82,25.78
2025-01-25,27.52,35.93,24.18,26.03
2025-01-26,28.78,36.72,23.85,24.54
2025-01-27,28.30,35.64,23.41,25.31
2025-01-28,27.45,34.03,24.65,23.48
2025-01-29,27.90,35.32,24.02,24.61
2025-01-30,27.43,36.69,24.91,27.33
2025-01-31,27.66,35.32,26.40,25.29
2025-02-01,27.89,35.38,26.36,25.69
2025-02-02,29.37,36.40,27.32,25.10
2025-02-03,29.49,35.20,27.15,24.78
2025-02-04,30.14,36.47,27.40,24.01
2025-02-05,28.88,35.86,23.95,23.59
2025-02-06,29.63,35.31,25.02,25.09
2025-02-07,29.69,36.69,24.36,21.82
2025-02-08,29.13,36.53,25.24,24.55
2025-02-09,28.69,37.76,25.00,25.21
2025-02-10,29.18,36.21,25.69,22.00
2025-02-11,29.84,36.16,27.09,23.29
2025-02-12,30.61,35.99,27.30,23.97
2025-02-13,30.51,36.25,28.00,23.63
2025-02-14,30.68,34.95,24.83,23.53
2025-02-15,30.59,37.35,27.67,23.81
2025-02-16,30.60,37.45,28.38,24.63
2025-02-17,30.72,36.66,28.35,24.28
