date,day_t2m,day_utci,night_t2m,night_utci
2017-01-01,25.50,26.82,21.36,15.60
2017-01-02,25.88,28.27,21.77,16.09
2017-01-03,26.10,28.38,22.66,15.64
2017-01-04,26.03,28.74,21.88,15.24
2017-01-05,26.01,28.13,22.05,15.28
2017-01-06,26.03,28.34,21.78,15.52
2017-01-07,25.80,28.62,21.53,14.83
2017-01-08,25.67,27.62,20.90,15.05
2017-01-09,24.30,29.33,21.69,16.28
2017-01-10,23.98,27.47,22.37,16.39
2017-01-11,23.62,27.10,21.55,17.78
2017-01-12,24.66,28.38,21.30,16.40
2017-01-13,22.80,25.49,20.07,16.17
2017-01-14,23.86,24.77,19.16,13.51
2017-01-15,24.70,25.25,20.00,15.18
2017-01-16,25.11,27.45,20.78,14.59
2017-01-17,24.78,26.84,20.49,12.63
2017-01-18,24.88,24.96,19.34,11.11
2017-01-19,24.31,24.58,19.43,14.43
2017-01-20,25.48,25.88,21.26,16.04
2017-01-21,22.22,24.66,19.63,16.90
2017-01-22,25.44,25.59,21.72,17.15
2017-01-23,25.52,24.63,20.46,12.53
2017-01-24,25.31,24.76,21.64,14.68
2017-01-25,25.28,23.02,21.86,16.68
2017-01-26,22.65,25.91,20.02,17.98
2017-01-27,23.36,25.55,20.78,17.67
2017-01-28,24.12,27.11,21.43,17.28
2017-01-29,24.08,26.34,21.91,18.29
2017-01-30,26.06,27.19,22.32,15.69
2017-01-31,27.94,28.75,22.92,15.94
2017-02-01,26.82,26.94,22.01,13.70
2017-02-02,26.23,25.68,21.16,14.04
2017-02-03,25.62,26.77,21.21,14.17
2017-02-04,24.83,25.48,20.85,13.70
2017-02-05,26.64,28.29,21.72,13.89
2017-02-06,26.58,28.65,22.71,17.13
2017-02-07,26.81,28.76,23.39,15.20
2017-02-08,27.56,27.96,23.18,14.39
2017-02-09,26.98,28.41,23.62,14.64
2017-02-10,27.58,28.76,22.86,14.52
2017-02-11,26.70,27.82,22.18,14.07
2017-02-12,25.40,25.66,20.83,12.94
2017-02-13,24.83,24.14,20.14,15.97
2017-02-14,24.39,24.10,21.03,16.43
2017-02-15,25.90,24.93,22.55,15.48
2017-02-16,25.21,24.17,21.23,11.52
2017-02-17,24.76,23.76,21.47,12.74
2017-02-18,25.62,24.62,21.48,13.22
2017-02-19,27.31,27.83,24.73,15.30
2017-02-20,27.75,30.47,25.42,17.88
2017-02-21,28.13,30.01,24.40,18.43
2017-02-22,28.90,29.74,25.62,18.30
2017-02-23,28.58,27.63,24.78,17.16
2017-02-24,28.32,26.46,24.41,16.60
2017-02-25,28.66,26.72,25.58,17.22
2017-02-26,27.76,28.11,23.55,17.19
2017-02-27,26.61,25.40,21.43,16.46
2017-02-28,28.14,25.70,22.80,14.40
2017-03-01,27.28,25.20,22.02,15.56
2017-03-02,26.54,26.14,23.63,17.67
2017-03-03,26.82,27.85,23.27,20.77
2017-03-04,27.20,28.29,23.92,21.05
2017-03-05,28.01,30.05,24.60,21.31
2017-03-06,24.32,31.08,23.28,21.33
2017-03-07,26.65,30.31,24.58,21.16
2017-03-08,26.52,29.64,23.42,21.75
2017-03-09,26.05,30.41,24.28,20.68
2017-03-10,26.37,31.00,23.17,20.12
2017-03-11,26.45,30.51,23.41,20.52
2017-03-12,26.75,30.32,24.03,21.15
2017-03-13,28.54,29.56,24.07,22.14
2017-03-14,25.43,28.84,23.50,20.85
2017-03-15,25.13,26.47,22.76,18.85
2017-03-16,26.85,28.70,23.35,21.86
2017-03-17,27.49,29.00,24.35,22.40
2017-03-18,26.80,30.34,24.71,22.75
2017-03-19,29.61,30.87,25.68,22.25
2017-03-20,28.01,30.28,25.21,22.52
2017-03-21,26.45,28.00,24.87,22.77
2017-03-22,26.26,28.02,23.94,21.63
2017-03-23,28.63,29.25,24.91,21.67
2017-03-24,28.91,28.36,25.19,21.55
2017-03-25,29.65,28.35,25.27,22.15
2017-03-26,29.87,28.82,26.59,21.82
2017-03-27,28.93,27.44,24.57,22.50
2017-03-28,28.97,28.60,25.20,22.27
2017-03-29,29.32,28.24,25.55,22.43
2017-03-30,29.73,29.03,26.19,22.15
2017-03-31,29.62,27.79,25.56,22.92
2017-04-01,30.26,29.76,26.11,23.83
2017-04-02,30.22,29.85,25.79,24.20
2017-04-03,30.52,30.80,27.70,24.22
2017-04-04,28.97,30.50,26.04,24.48
2017-04-05,29.64,30.61,25.92,25.21
2017-04-06,28.31,31.18,25.00,23.56
2017-04-07,28.23,30.76,27.42,24.80
2017-04-08,30.22,30.22,26.26,24.74
2017-04-09,30.50,30.64,27.81,23.79
2017-04-10,29.17,30.02,27.19,24.45
2017-04-11,29.33,30.66,26.74,23.28
2017-04-12,29.05,30.49,26.71,24.62
2017-04-13,29.88,30.23,26.25,24.84
2017-04-14,29.37,32.34,26.38,23.32
2017-04-15,30.79,31.94,27.84,24.47
2017-04-16,30.43,31.91,24.27,23.28
