date,day_t2m,day_utci,night_t2m,night_utci
2010-01-01,13.68,22.61,5.03,0.36
2010-01-02,10.80,21.32,5.33,3.78
2010-01-03,8.50,15.65,5.14,5.01
2010-01-04,10.53,20.82,6.05,0.49
2010-01-05,11.15,22.04,8.24,3.68
2010-01-06,11.02,21.98,5.46,1.57
2010-01-07,12.95,23.37,6.97,1.98
2010-01-08,12.17,22.86,5.95,4.14
2010-01-09,13.02,23.07,5.67,3.67
2010-01-10,13.44,22.91,4.37,2.19
2010-01-11,12.23,23.30,4.87,0.59
2010-01-12,10.12,21.03,4.05,3.99
2010-01-13,4.21,11.76,3.30,-0.39
2010-01-14,9.47,22.28,5.33,0.08
2010-01-15,13.02,24.03,6.29,1.10
2010-01-16,14.80,22.66,8.76,-0.43
2010-01-17,11.89,23.20,4.93,-0.43
2010-01-18,14.50,23.28,5.77,1.84
2010-01-19,13.32,23.71,6.59,3.94
2010-01-20,12.95,21.89,5.92,1.81
2010-01-21,14.09,22.79,6.24,2.50
2010-01-22,11.56,20.65,5.10,0.66
2010-01-23,14.02,22.72,6.82,3.31
2010-01-24,13.17,22.61,5.95,4.07
2010-01-25,14.89,22.60,9.07,4.93
2010-01-26,13.71,21.54,9.29,4.96
2010-01-27,14.53,21.67,9.89,6.75
2010-01-28,14.97,21.81,11.55,4.42
2010-01-29,13.22,19.05,6.43,-1.65
2010-01-30,14.12,21.54,9.44,3.91
2010-01-31,14.50,21.43,9.57,5.63
2010-02-01,12.70,20.14,6.61,1.28
2010-02-02,12.62,19.94,8.87,2.01
2010-02-03,13.57,21.01,9.03,1.88
2010-02-04,14.79,18.90,9.99,2.03
2010-02-05,16.00,20.52,10.26,3.87
2010-02-06,17.84,22.63,10.48,4.67
2010-02-07,15.03,20.70,9.67,7.27
2010-02-08,10.31,9.06,6.21,0.79
2010-02-09,6.90,13.36,4.40,-1.74
2010-02-10,10.49,20.09,6.72,1.38
2010-02-11,14.57,22.78,7.54,3.44
2010-02-12,12.44,19.36,5.63,0.92
2010-02-13,12.41,22.63,10.00,3.95
2010-02-14,12.25,21.64,8.46,3.80
2010-02-15,11.82,18.45,8.01,3.88
2010-02-16,12.79,21.20,7.52,-1.42
2010-02-17,12.67,22.16,9.46,1.29
2010-02-18,15.22,21.03,10.75,5.17
2010-02-19,17.21,23.31,11.40,5.10
2010-02-20,18.55,23.35,14.95,6.33
2010-02-21,19.86,23.42,16.09,8.49
2010-02-22,17.97,24.91,14.46,9.99
2010-02-23,14.27,21.45,9.63,6.09
2010-02-24,16.64,21.99,12.52,7.39
2010-02-25,18.18,22.93,13.55,9.08
2010-02-26,17.61,20.82,13.75,7.29
2010-02-27,19.93,23.29,15.47,7.78
2010-02-28,21.14,25.48,17.34,12.27
2010-03-01,17.73,23.45,12.69,6.80
2010-03-02,20.36,23.76,14.63,7.43
2010-03-03,19.13,23.22,12.23,7.36
2010-03-04,14.72,20.86,12.51,9.63
2010-03-05,18.10,23.82,13.90,7.81
2010-03-06,19.49,24.51,12.39,7.28
2010-03-07,16.42,24.08,13.06,6.91
2010-03-08,18.34,23.63,13.05,7.17
2010-03-09,20.63,25.03,16.10,9.22
2010-03-10,19.53,24.47,16.00,9.73
2010-03-11,21.10,25.69,16.55,9.94
2010-03-12,20.64,25.28,16.63,9.47
2010-03-13,20.95,23.59,14.84,10.45
2010-03-14,21.09,23.39,18.03,9.48
2010-03-15,22.54,26.27,17.88,11.34
2010-03-16,22.74,26.23,17.71,11.14
2010-03-17,22.31,26.43,18.66,12.04
2010-03-18,23.03,27.11,19.37,13.51
2010-03-19,24.31,27.01,19.77,14.76
2010-03-20,25.53,28.68,21.00,16.08
2010-03-21,26.09,27.87,21.39,14.73
2010-03-22,25.83,28.30,21.75,15.27
2010-03-23,26.91,28.23,21.89,15.41
2010-03-24,26.79,28.04,22.96,14.50
2010-03-25,25.41,28.75,21.58,15.83
2010-03-26,24.88,25.82,20.57,14.64
2010-03-27,24.84,26.80,21.12,15.23
2010-03-28,25.00,24.78,20.23,16.18
2010-03-29,26.08,26.40,21.17,14.42
2010-03-30,23.53,27.54,16.69,13.76
2010-03-31,23.68,27.11,19.54,15.53
2010-04-01,23.82,24.91,19.60,14.17
2010-04-02,23.99,27.34,20.00,12.64
2010-04-03,24.70,26.97,19.92,13.53
2010-04-04,24.97,26.35,18.93,14.77
2010-04-05,24.96,26.53,19.79,16.23
2010-04-06,24.54,25.28,19.63,14.94
2010-04-07,27.65,27.89,21.68,15.67
2010-04-08,28.15,30.59,24.09,16.25
2010-04-09,28.50,28.64,21.56,18.01
2010-04-10,27.89,27.55,23.54,16.13
2010-04-11,28.92,29.15,24.23,17.75
2010-04-12,25.73,29.30,18.78,16.82
2010-04-13,27.15,29.04,23.74,18.11
2010-04-14,28.69,28.71,23.70,16.71
2010-04-15,29.78,30.05,25.75,19.81
2010-04-16,29.96,29.21,26.11,20.56
2010-04-17,30.27,29.98,25.81,18.56
2010-04-18,26.93,31.39,20.86,16.29
2010-04-19,27.97,30.81,21.16,20.84
2010-04-20,28.29,30.09,20.88,18.23
2010-04-21,24.32,29.87,18.31,18.24
2010-04-22,25.32,28.99,19.73,19.68
2010-04-23,25.51,27.11,19.74,17.04
2010-04-24,23.67,26.82,17.13,18.75
2010-04-25,25.95,26.63,22.46,16.70
2010-04-26,27.94,27.71,23.84,19.28
2010-04-27,27.59,29.42,22.45,21.99
2010-04-28,27.88,30.41,21.59,21.32
2010-04-29,27.51,28.56,22.22,20.56
2010-04-30,27.02,31.13,21.76,22.06
2010-05-01,26.82,30.11,22.37,21.63
2010-05-02,26.55,29.03,23.08,22.94
2010-05-03,26.83,28.13,22.81,23.77
2010-05-04,27.36,29.67,24.15,24.17
2010-05-05,26.68,31.66,20.06,20.90
2010-05-06,24.39,30.13,21.19,23.83
2010-05-07,21.43,28.10,18.07,21.62
2010-05-08,25.08,27.07,20.41,21.40
2010-05-09,26.60,26.79,21.74,23.45
2010-05-10,27.40,27.30,23.06,21.97
2010-05-11,26.77,28.02,23.03,22.78
2010-05-12,27.97,27.58,23.28,21.91
2010-05-13,29.15,31.07,23.53,21.21
2010-05-14,27.34,30.69,23.12,23.30
2010-05-15,28.33,29.26,24.12,21.87
2010-05-16,30.49,30.56,24.17,22.85
2010-05-17,28.01,31.54,24.33,23.37
2010-05-18,27.76,30.78,20.06,18.77
2010-05-19,27.48,29.94,22.85,22.26
2010-05-20,27.40,28.88,24.09,22.61
2010-05-21,30.03,30.85,25.88,22.93
2010-05-22,30.79,32.23,25.19,24.93
2010-05-23,29.11,32.06,24.61,24.46
2010-05-24,31.62,30.68,27.67,24.02
2010-05-25,31.11,30.60,29.05,23.29
2010-05-26,31.82,32.53,29.07,24.37
2010-05-27,31.30,34.45,25.76,23.77
2010-05-28,24.28,27.13,19.49,18.25
2010-05-29,26.19,30.26,21.31,23.74
2010-05-30,26.04,28.60,22.80,23.94
2010-05-31,28.59,28.34,24.80,24.43
2010-06-01,29.96,29.13,27.11,24.94
2010-06-02,29.50,30.35,26.43,25.02
2010-06-03,29.07,30.79,22.88,25.66
2010-06-04,27.13,30.27,22.31,25.09
2010-06-05,24.86,30.00,21.22,23.95
2010-06-06,26.83,27.51,21.51,21.67
2010-06-07,22.13,27.24,16.59,15.90
2010-06-08,17.58,20.65,18.07,19.44
2010-06-09,24.69,28.44,19.35,23.55
2010-06-10,25.76,28.95,21.11,23.49
2010-06-11,27.03,29.39,23.42,23.59
2010-06-12,27.67,30.65,23.29,22.30
2010-06-13,26.50,30.93,20.79,22.49
2010-06-14,25.24,30.84,22.36,24.94
2010-06-15,27.06,30.41,21.68,25.45
2010-06-16,26.10,30.38,22.64,24.36
2010-06-17,26.12,29.12,23.71,24.76
2010-06-18,28.25,29.97,26.27,25.67
2010-06-19,29.35,30.43,27.31,25.35
2010-06-20,29.02,31.45,26.74,26.06
2010-06-21,28.53,31.57,24.71,26.37
2010-06-22,28.45,31.96,24.02,27.43
2010-06-23,28.13,30.39,24.74,24.53
2010-06-24,29.13,31.02,22.06,26.27
2010-06-25,25.64,31.06,22.35,26.04
2010-06-26,26.80,30.19,23.18,27.43
2010-06-27,27.25,30.02,22.13,26.70
2010-06-28,26.17,29.43,23.61,26.75
2010-06-29,26.02,30.67,23.08,27.30
2010-06-30,26.27,30.71,23.65,26.79
2010-07-01,23.65,31.77,20.49,24.81
2010-07-02,25.69,31.28,22.68,26.31
2010-07-03,25.37,30.21,22.90,26.21
2010-07-04,24.02,33.10,19.66,23.39
2010-07-05,21.68,28.40,19.74,19.26
2010-07-06,20.71,25.08,21.58,22.82
2010-07-07,25.21,30.85,22.16,25.86
2010-07-08,25.15,31.72,22.58,26.11
2010-07-09,26.68,29.83,23.03,24.08
2010-07-10,25.48,30.57,23.49,24.52
2010-07-11,25.67,31.05,23.68,23.58
2010-07-12,25.08,28.95,19.77,21.74
2010-07-13,26.13,30.56,21.51,25.67
2010-07-14,26.11,30.24,24.27,26.54
2010-07-15,25.91,31.09,22.97,25.25
2010-07-16,26.72,31.96,23.14,25.13
2010-07-17,24.02,29.86,21.94,23.49
2010-07-18,26.12,31.45,22.94,24.89
2010-07-19,25.17,32.48,21.02,23.20
2010-07-20,22.49,28.56,21.65,24.46
2010-07-21,26.06,30.68,21.26,23.81
2010-07-22,23.42,30.20,20.59,24.68
2010-07-23,25.80,30.65,22.61,26.81
2010-07-24,25.85,30.62,23.02,24.31
2010-07-25,25.91,30.54,22.04,24.01
2010-07-26,25.23,31.49,22.33,22.72
2010-07-27,21.96,27.07,20.76,22.21
2010-07-28,25.25,31.61,22.88,23.34
2010-07-29,26.90,32.74,23.31,22.49
2010-07-30,25.46,30.03,21.51,24.10
2010-07-31,22.77,29.29,20.89,22.63
2010-08-01,23.23,31.41,21.67,21.67
2010-08-02,25.79,31.18,23.14,25.43
2010-08-03,25.53,30.82,22.46,24.83
2010-08-04,26.38,31.71,21.79,22.88
2010-08-05,24.90,30.41,21.33,23.16
2010-08-06,24.67,32.34,22.37,26.60
2010-08-07,25.19,31.39,22.49,24.28
2010-08-08,25.14,29.80,21.55,24.64
2010-08-09,25.63,30.35,22.40,24.16
2010-08-10,26.09,29.70,21.91,22.99
2010-08-11,25.43,30.49,20.76,22.48
2010-08-12,22.89,26.85,21.21,24.59
2010-08-13,25.82,31.44,21.96,23.98
2010-08-14,23.26,29.27,21.51,22.94
2010-08-15,26.04,30.30,22.10,23.55
2010-08-16,25.30,30.36,21.47,23.87
2010-08-17,23.66,30.76,22.39,23.40
2010-08-18,25.02,30.00,21.71,22.42
2010-08-19,22.82,26.94,21.43,22.88
2010-08-20,24.80,30.37,21.75,24.15
2010-08-21,23.62,30.54,21.21,22.31
2010-08-22,25.29,30.26,21.27,23.27
2010-08-23,24.51,29.59,21.14,22.98
2010-08-24,23.02,30.06,20.49,21.68
2010-08-25,24.33,30.51,20.35,21.80
2010-08-26,25.15,28.79,21.06,23.46
2010-08-27,25.51,31.69,21.29,24.81
2010-08-28,25.05,29.36,22.12,22.07
2010-08-29,25.40,28.97,22.33,24.32
2010-08-30,26.78,32.10,21.96,23.13
2010-08-31,26.40,30.56,21.58,23.05
2010-09-01,24.91,30.76,22.41,22.49
2010-09-02,24.55,29.90,20.80,22.69
2010-09-03,24.30,30.09,21.17,23.15
2010-09-04,24.53,31.11,20.64,21.06
2010-09-05,24.45,30.39,20.65,23.01
2010-09-06,24.96,31.32,21.61,22.83
2010-09-07,24.67,30.32,21.16,22.59
2010-09-08,22.60,31.48,19.63,21.74
2010-09-09,24.32,30.13,20.54,21.55
2010-09-10,23.53,29.46,19.65,22.75
2010-09-11,24.87,30.51,19.45,20.30
2010-09-12,20.27,24.10,19.37,19.76
2010-09-13,19.09,18.40,17.66,19.09
2010-09-14,22.10,29.45,18.13,19.18
2010-09-15,23.28,29.59,18.13,19.56
2010-09-16,23.74,28.71,19.84,21.09
2010-09-17,23.23,28.29,19.80,20.24
2010-09-18,20.85,25.41,18.52,18.85
2010-09-19,18.98,24.27,17.98,18.41
2010-09-20,22.74,27.17,19.46,20.63
2010-09-21,24.30,28.80,19.91,21.02
2010-09-22,23.11,27.49,18.58,19.89
2010-09-23,22.46,26.44,17.91,16.98
2010-09-24,23.69,27.86,18.59,19.37
2010-09-25,23.79,27.41,19.05,18.57
2010-09-26,24.35,27.62,18.56,18.88
2010-09-27,24.24,26.90,19.10,17.38
2010-09-28,24.90,27.02,19.54,17.36
2010-09-29,24.87,27.38,19.19,17.50
2010-09-30,24.70,27.69,19.34,17.63
2010-10-01,25.01,27.90,20.50,17.17
2010-10-02,24.95,27.69,19.41,19.49
2010-10-03,22.73,27.66,18.97,17.71
2010-10-04,22.80,28.19,18.00,16.11
2010-10-05,22.71,27.91,18.26,17.39
2010-10-06,23.86,28.18,17.06,16.53
2010-10-07,22.95,28.17,17.81,18.75
2010-10-08,22.85,26.81,17.59,16.84
