Date,Daily maximum UTCI,Daily minimum UTCI,Daily maximum T2M,Daily minimum T2M
2000-01-01,28.2108,2.6156,18.4420,6.6806
2000-01-02,27.7277,1.1361,19.9169,6.6115
2000-01-03,24.8470,0.2824,18.7363,6.6407
2000-01-04,26.8009,0.1153,17.9450,6.6704
2000-01-05,25.8437,-0.6525,17.1081,6.2762
2000-01-06,21.4160,-1.2873,19.0269,5.6641
2000-01-07,26.1900,-1.1341,18.1079,5.6035
2000-01-08,27.8150,2.7037,18.4860,6.2357
2000-01-09,24.8135,5.4619,20.1728,9.6772
2000-01-10,23.6450,7.7603,19.1704,11.5030
2000-01-11,26.1591,5.1698,23.2113,11.9062
2000-01-12,23.8924,3.7915,21.8879,13.6939
2000-01-13,26.1395,4.6829,18.9690,10.0525
2000-01-14,25.4417,-3.0985,19.0420,5.9773
2000-01-15,20.6148,-4.1156,16.8203,5.0412
2000-01-16,16.0175,-5.3693,16.4078,5.8125
2000-01-17,18.7819,-6.3826,18.1932,6.4648
2000-01-18,19.9496,-2.5591,21.2720,7.9928
2000-01-19,21.1127,-3.3409,22.0697,10.1861
2000-01-20,21.3287,-1.4080,22.1929,8.4819
2000-01-21,25.4023,4.3767,22.4715,10.5737
2000-01-22,22.4764,3.9007,21.5603,8.8289
2000-01-23,27.9012,3.7687,22.2188,8.9494
2000-01-24,27.4622,2.3468,23.1994,9.1668
2000-01-25,24.7016,4.7107,19.2242,11.0124
2000-01-26,23.9112,4.1772,20.4324,11.2708
2000-01-27,20.9356,0.3994,18.9773,9.6452
2000-01-28,19.2997,-3.1783,19.8779,9.5847
2000-01-29,19.4127,-4.6953,21.4435,10.1449
2000-01-30,26.9807,1.9507,22.7522,9.9447
2000-01-31,21.2419,0.2844,22.3497,12.1782
2000-02-01,27.7730,0.8594,20.9088,11.0954
2000-02-02,25.0678,4.5512,19.6281,10.7112
2000-02-03,29.5477,4.8930,21.4996,10.2076
2000-02-04,23.8533,5.5369,21.6887,11.2844
2000-02-05,17.9131,8.8421,15.8539,12.4239
2000-02-06,24.0212,2.7729,17.1216,8.8681
2000-02-07,23.5273,1.9818,18.4315,8.2831
2000-02-08,25.0724,1.6260,18.5006,8.2832
2000-02-09,26.4793,0.8321,19.9914,7.9214
2000-02-10,22.5453,4.1865,18.4970,9.8424
2000-02-11,24.5336,2.9591,17.7968,9.0556
2000-02-12,24.0751,1.7443,17.6544,7.9295
2000-02-13,20.0878,-0.5721,17.9702,8.3271
2000-02-14,22.2494,-1.0946,19.5209,8.6613
2000-02-15,24.2410,0.2031,20.5935,8.3427
2000-02-16,27.0127,-0.9507,21.7238,8.1656
2000-02-17,28.0393,1.2820,22.7002,8.4622
2000-02-18,26.6870,-0.1977,21.5343,8.0503
2000-02-19,26.9150,-1.1941,22.2509,7.9341
2000-02-20,25.2309,1.4500,21.7661,8.6357
2000-02-21,25.3847,2.2935,22.1088,9.8772
2000-02-22,24.4942,0.9954,22.4540,8.5800
2000-02-23,23.7278,-0.6447,22.8528,8.5508
2000-02-24,21.2291,0.2863,22.0050,9.8123
2000-02-25,22.6373,-0.1456,22.5479,8.8231
2000-02-26,25.7882,-0.4678,23.5191,8.4230
2000-02-27,28.2458,0.8622,25.4173,8.9401
2000-02-28,28.1235,2.2428,26.9541,10.2492
2000-02-29,30.9730,5.3635,28.1788,13.3277
2000-03-01,32.2507,7.6623,26.5276,13.1088
2000-03-02,31.6149,6.4696,27.7121,12.8580
2000-03-03,33.3333,5.3184,28.6155,12.5653
2000-03-04,31.7068,6.6807,29.5982,14.8383
2000-03-05,28.7630,6.9406,25.4685,13.9944
2000-03-06,31.3824,4.9095,25.5274,14.1154
2000-03-07,31.2672,4.7744,27.2311,13.2550
2000-03-08,25.9577,3.6389,26.1560,12.8564
2000-03-09,25.4520,2.4020,26.9895,11.9156
2000-03-10,32.0856,3.7744,30.2937,11.7873
2000-03-11,35.0028,7.1585,30.3949,15.5628
2000-03-12,33.9556,8.1113,30.3302,15.3579
2000-03-13,31.1583,9.6585,26.8992,14.7406
2000-03-14,30.3853,7.3643,27.0934,14.0417
2000-03-15,28.4111,6.2631,28.2957,13.9078
2000-03-16,32.8132,6.5021,30.9305,13.9671
2000-03-17,34.7181,7.1989,31.1381,15.3416
2000-03-18,32.1011,7.4083,29.3241,13.9512
2000-03-19,30.5084,6.1881,28.4226,12.8387
2000-03-20,30.8747,4.9898,28.9030,13.8474
2000-03-21,29.9818,6.5671,29.4045,13.5110
2000-03-22,33.3140,7.1846,29.2399,14.6161
2000-03-23,32.3659,7.7645,26.6136,13.8896
2000-03-24,30.6007,8.7050,26.9016,14.4915
