year,strong_dayeq,very_strong_dayeq,extreme_dayeq,tropical_night_dayeq,strong_t2m_dayeq,very_strong_t2m_dayeq,extreme_t2m_dayeq,extreme_40_dayeq,tropical_night_20_dayeq
1950,100.5833,35.7083,3.6667,89.375,53.9583,21.125,0.0,27.4583,145.125
1951,114.9583,48.3333,0.75,104.0,74.5,12.0,0.0,28.4167,151.125
1952,112.125,39.7083,2.125,100.9583,62.2917,13.6667,0.0,25.25,153.125
1953,106.25,33.0417,0.1667,86.5417,46.9167,8.8333,0.0,20.7917,152.4583
1954,116.4583,42.6667,6.5417,105.7083,70.75,24.0,0.0,28.875,154.4167
1955,119.0833,50.2083,5.375,111.2083,77.0,26.3333,0.125,35.5417,156.5
1956,113.1667,40.875,4.9583,106.375,58.7083,23.6667,0.0,29.625,152.9167
1957,119.75,52.3333,3.5417,110.625,80.5833,23.6667,0.0,33.75,153.6667
1958,125.5417,52.8333,6.9583,117.875,82.2083,23.7083,0.1667,35.5833,157.2917
1959,111.875,42.2917,7.25,112.7917,62.7083,27.8333,0.0,32.25,149.0833
1960,120.9583,53.25,2.25,115.7917,81.375,19.9583,0.0,36.1667,154.8333
1961,110.3333,36.1667,0.375,108.5,59.875,13.375,0.0,20.875,145.875
1962,114.7917,45.3333,2.2917,104.2917,79.5833,15.0417,0.0,25.75,145.9167
1963,121.6667,53.5,2.125,119.375,88.4167,19.4583,0.0,34.75,166.625
1964,118.1667,49.6667,4.0,111.9583,79.5417,21.2917,0.0,33.625,150.25
1965,123.7083,53.4583,1.2083,109.0,88.5,19.6667,0.0,34.3333,159.6667
1966,123.0417,54.25,3.5417,107.7917,90.75,16.625,0.0,36.2917,160.625
1967,109.5417,40.2917,1.7917,105.375,76.5,16.0,0.0,25.75,153.125
1968,112.25,52.0833,0.2083,109.8333,87.2917,15.625,0.0,31.7917,151.6667
1969,119.25,56.9583,1.2917,114.6667,93.4583,21.2917,0.0,36.3333,159.25
1970,111.9583,42.9583,2.1667,112.8333,72.125,17.625,0.0,26.1667,144.125
1971,107.8333,42.9167,0.0,109.625,63.25,11.6667,0.0,24.625,140.8333
1972,114.7083,53.6667,1.0417,109.9167,89.2917,15.9167,0.0,33.6667,146.375
1973,107.8333,41.5833,2.2083,107.1667,66.5833,20.0833,0.0,27.75,147.2083
1974,120.7083,60.5833,0.375,121.4583,100.9167,17.6667,0.0,38.7917,148.4583
1975,104.2917,38.0,0.875,109.2083,66.2917,17.875,0.0,24.625,143.4583
1976,111.375,39.75,0.125,105.625,67.2917,8.625,0.0,19.5417,155.0417
1977,115.5417,48.125,1.0833,110.875,70.625,14.7917,0.0,31.2917,158.875
1978,105.7917,37.4583,0.125,105.7917,60.2083,12.2083,0.0,21.1667,148.9167
1979,106.6667,42.5417,1.4167,96.3333,70.0833,14.1667,0.0,24.2917,149.6667
1980,108.9167,42.7083,0.375,104.9167,72.125,15.3333,0.0,28.4583,148.0417
1981,106.8333,38.5417,0.7083,101.25,71.0,16.5833,0.0,24.6667,144.125
1982,109.5833,45.625,0.1667,104.5417,72.6667,7.875,0.0,26.5,150.7917
1983,102.8333,33.75,0.6667,100.75,52.4167,10.9167,0.0,20.75,135.7917
1984,100.4167,39.7083,1.5417,92.625,65.0,15.875,0.0,25.0833,137.5
1985,116.1667,46.0417,1.9167,109.375,75.4583,14.7083,0.0,28.8333,146.5
1986,113.2917,50.2917,2.625,111.8333,85.5833,17.0,0.0,33.1667,149.5417
1987,129.1667,64.375,0.7917,120.3333,110.5833,19.6667,0.0,44.3333,155.5833
1988,119.25,40.75,2.125,109.875,69.625,15.5833,0.0,25.375,147.2083
1989,106.875,37.7917,0.5,101.8333,65.2917,11.5,0.0,20.9583,144.5833
1990,110.7083,32.7917,0.375,103.0417,59.375,10.6667,0.0,20.125,148.0417
1991,115.2083,48.8333,1.3333,104.125,75.0833,14.75,0.0,30.0833,145.875
1992,106.875,36.0,0.875,100.8333,65.3333,14.375,0.0,22.625,144.2917
1993,117.7917,45.625,0.5417,115.9583,83.0833,14.2917,0.0,25.5833,154.2083
1994,103.5833,36.875,2.5833,103.375,64.5,14.4583,0.0,22.6667,150.2083
1995,116.3333,50.2083,1.7917,112.375,86.4167,17.0,0.0,34.5833,145.5833
1996,109.0,42.5,1.7917,111.2083,75.0417,16.5417,0.0,24.75,149.0833
1997,103.0833,29.5833,0.0417,102.0,53.8333,6.9167,0.0,12.9167,149.75
1998,116.125,45.5417,2.9167,114.8333,76.8333,18.4583,0.0,31.1667,144.6667
1999,112.9583,41.7917,0.125,111.0833,79.875,13.4167,0.0,22.25,148.0833
2000,114.0,45.9583,0.875,110.6667,82.875,17.8333,0.0,31.0,146.0
2001,112.375,42.0417,0.7917,113.6667,74.9167,10.0,0.0,24.2917,148.7083
2002,114.9167,46.4167,1.625,109.8333,90.4167,18.0417,0.0,31.3333,149.875
