year,strong_dayeq,very_strong_dayeq,extreme_dayeq,tropical_night_dayeq,strong_t2m_dayeq,very_strong_t2m_dayeq,extreme_t2m_dayeq,extreme_40_dayeq,tropical_night_20_dayeq
1950,68.75,27.2917,1.3333,61.75,50.75,16.1667,0.0,19.7917,109.5833
1951,89.375,36.9167,0.2083,80.625,67.3333,12.9167,0.0,23.875,120.1667
1952,83.7917,27.5,0.9167,68.6667,54.5,14.6667,0.0,18.625,120.9583
1953,74.7917,18.9583,0.0833,53.1667,40.5833,7.4167,0.0,10.9583,116.1667
1954,88.0,34.7083,3.5,83.4583,60.4583,19.75,0.0,25.0833,124.2917
1955,83.7917,31.5833,1.1667,74.6667,62.5417,14.25,0.0,21.2917,123.5833
1956,75.5833,29.2083,3.5833,69.4583,54.125,15.8333,0.0,21.9583,122.125
1957,86.0833,34.0417,0.6667,85.125,60.9583,11.6667,0.0,20.8333,126.0833
1958,87.125,36.6667,3.5,87.7917,64.6667,20.25,0.0,27.0417,128.5
1959,82.0833,31.0833,0.6667,84.125,51.5,13.125,0.0,20.0833,130.0833
1960,84.8333,29.5417,0.5417,78.4583,54.0,13.0833,0.0,17.1667,121.4167
1961,79.2083,24.25,0.0,80.7917,50.875,7.75,0.0,15.7083,121.2917
1962,83.0417,26.9583,0.4167,81.0833,54.7917,11.5,0.0,18.125,121.3333
1963,89.0833,33.375,1.0417,87.25,66.1667,12.5,0.0,20.1667,135.625
1964,91.4167,37.5,0.5833,84.125,70.0833,17.5417,0.0,24.0833,128.0833
1965,90.2917,33.6667,0.1667,79.5833,71.7083,10.5,0.0,18.5417,126.8333
1966,84.7917,28.5833,1.25,69.2917,59.0833,9.4167,0.0,15.9583,127.2917
1967,80.125,27.9167,0.2917,73.375,58.875,10.25,0.0,16.125,119.6667
1968,91.4583,35.7917,1.2917,88.5,76.7083,16.8333,0.0,23.5833,124.2083
1969,97.25,44.9167,1.4583,95.1667,92.3333,15.7917,0.0,25.875,139.5833
1970,86.0833,32.5833,2.625,83.9583,62.3333,16.4167,0.0,23.7917,125.125
1971,80.125,26.5417,0.0,75.5,46.3333,6.5,0.0,14.0417,123.8333
1972,90.375,31.7917,0.75,87.0,75.0417,10.9167,0.0,16.9583,126.875
1973,84.4167,28.6667,1.9167,83.0833,58.9583,14.7083,0.0,19.625,125.0417
1974,89.0417,32.125,0.0417,93.3333,63.5,8.4583,0.0,18.25,127.125
1975,73.0833,26.7083,0.25,75.1667,48.7083,9.0,0.0,17.5,117.625
1976,75.4583,22.1667,0.0,69.375,45.9167,7.2083,0.0,13.5,125.0
1977,80.5,22.6667,0.0417,73.1667,47.0,6.0833,0.0,13.7083,132.0833
1978,75.0,25.0833,1.0,77.5833,53.8333,13.9167,0.0,17.5417,120.5833
1979,86.7083,33.3333,1.8333,75.9167,67.7083,14.9583,0.0,21.0833,128.5417
1980,91.1667,40.9583,1.1667,94.2083,83.4583,19.875,0.0,24.9167,126.75
1981,83.9583,33.9583,0.9583,87.2083,75.125,20.5,0.0,23.2917,125.0
1982,83.2083,27.4167,0.0,83.375,60.9167,4.9167,0.0,13.7917,125.0833
1983,79.8333,30.8333,0.3333,84.7917,53.4167,11.75,0.0,19.7083,117.2083
1984,84.875,32.5833,1.7917,82.6667,69.7083,15.9167,0.0,19.8333,125.2917
1985,90.2083,30.5,0.75,88.0417,70.5417,11.1667,0.0,18.4583,128.875
1986,88.5833,34.5,1.5,86.0,69.8333,13.1667,0.0,20.6667,127.4583
1987,105.125,45.75,0.2083,102.2083,90.625,10.8333,0.0,27.875,130.5
1988,89.9167,34.5417,3.7083,94.125,73.5,20.0833,0.0,23.9167,130.8333
1989,85.7917,30.5833,1.3333,82.1667,66.25,12.0417,0.0,18.5417,123.25
1990,76.0,23.625,0.0,76.2917,47.75,7.4167,0.0,15.2917,120.4167
1991,85.9167,31.0833,1.9583,77.7083,64.8333,13.625,0.0,22.0,121.875
1992,78.5833,28.2083,2.4167,74.5833,58.25,15.25,0.0,19.375,125.4167
1993,88.5833,34.0417,1.4167,87.875,68.9583,16.2917,0.0,20.9167,127.75
1994,80.9583,26.4583,3.625,78.7083,57.4583,14.0,0.0,17.0417,124.2083
1995,81.2917,32.0417,2.875,85.25,66.5833,17.1667,0.0,21.375,121.25
1996,75.9583,24.9583,0.375,75.7917,55.5417,7.8333,0.0,14.125,125.2917
1997,73.8333,20.375,0.1667,73.8333,47.9583,4.8333,0.0,12.3333,124.0417
1998,95.0,38.875,3.2917,96.4167,76.4167,17.2083,0.0,25.6667,128.4583
1999,93.0833,36.3333,0.5833,98.2917,82.5833,17.6667,0.0,22.9167,130.9167
2000,84.25,36.9167,0.1667,92.0833,75.0,14.1667,0.0,21.9167,128.9167
2001,89.5417,30.3333,1.5,89.2917,64.7917,11.5,0.0,16.8333,132.3333
2002,100.7083,43.9583,3.375,105.4583,101.7917,21.25,0.0,29.125,135.125
2003,84.25,30.5,0.7083,94.375,68.0833,15.1667,0.0,19.1667,129.625
2004,95.7083,38.375,0.375,95.8333,81.0,17.0,0.0,24.8333,128.9583
2005,93.5833,35.0833,0.625,91.875,76.3333,15.4583,0.0,19.7083,129.5417
2006,92.9167,30.375,1.8333,90.0417,67.5833,15.2917,0.0,19.375,134.875
2007,92.2917,34.6667,0.4167,96.6667,76.0833,17.0833,0.0,21.9583,127.7083
2008,90.1667,30.9583,0.0,93.75,68.7083,7.1667,0.0,14.625,136.0417
2009,98.875,41.0417,2.375,104.0833,91.25,21.6667,0.0,28.1667,136.9167
2010,99.7083,46.0833,5.9583,105.125,94.7083,27.7917,0.0,32.3333,139.2917
2011,91.5417,33.125,1.8333,89.9583,73.375,14.9583,0.0417,20.4167,130.9583
2012,83.375,32.875,0.5417,85.9167,72.9583,15.5,0.0,20.75,122.3333
2013,80.25,28.9167,0.5833,86.2083,59.9583,12.7917,0.0,16.3333,126.75
2014,90.7917,34.625,1.2083,91.2917,77.125,15.7917,0.0,20.1667,129.9583
2015,88.9583,37.25,0.3333,101.4583,77.7083,16.2083,0.0,23.125,134.7083
2016,92.8333,35.6667,3.25,101.0417,75.3333,19.0417,0.375,24.2917,133.375
2017,90.4583,37.625,1.0833,104.125,78.2083,18.0833,0.0,24.8333,130.25
2018,91.0,34.375,3.25,98.0417,83.25,22.875,0.0,25.7083,137.4583
2019,87.4167,35.6667,2.75,95.9167,71.375,21.7917,0.0,26.125,131.125
2020,95.125,37.0417,0.625,99.5417,73.0,13.9583,0.0,22.2083,127.125
2021,92.5833,32.75,0.0,101.7083,67.875,9.8333,0.0,18.2083,133.6667
2022,88.5833,36.5417,2.125,102.6667,78.4167,25.875,0.0,25.4167,130.625
2023,85.5833,21.5833,0.0,93.125,53.0833,6.1667,0.0,9.625,135.0833
2024,93.2083,37.2083,3.375,102.5417,79.0833,18.4583,0.0833,23.2083,133.875
2025,81.625,26.875,1.4583,95.2917,55.25,15.7917,0.0,17.9167,131.25
