year,strong_dayeq,very_strong_dayeq,extreme_dayeq,tropical_night_dayeq,strong_t2m_dayeq,very_strong_t2m_dayeq,extreme_t2m_dayeq,extreme_40_dayeq,tropical_night_20_dayeq
1950,54.4167,5.2083,0.0,12.0833,15.4583,0.0,0.0,1.3333,115.5
1951,52.4167,2.4167,0.0,11.1667,15.6667,0.0,0.0,0.125,114.5
1952,58.0,4.0417,0.0,12.875,21.5833,0.0,0.0,0.5,112.75
1953,56.2917,5.625,0.0,13.0,22.875,0.0,0.0,0.5833,102.875
1954,45.75,6.2083,0.0,17.125,16.5833,0.0417,0.0,1.625,114.375
1955,41.9583,4.0417,0.0,14.75,14.0,0.0,0.0,0.4583,112.9167
1956,36.7917,5.9167,0.0,15.7917,19.5417,0.0,0.0,0.7917,103.0417
1957,49.9167,8.75,0.0,19.8333,17.0417,0.0,0.0,1.7083,136.875
1958,54.6667,6.2083,0.0,22.2083,15.0,0.0,0.0,0.4583,147.75
1959,50.5,9.3333,0.0,21.625,23.5833,0.0,0.0,2.125,134.1667
1960,48.7917,7.7083,0.0,19.7083,19.1667,0.0417,0.0,1.0417,137.2917
1961,38.125,3.2917,0.0,14.5417,10.1667,0.0,0.0,0.0,121.625
1962,36.4583,0.1667,0.0,8.625,2.0,0.0,0.0,0.0,122.1667
1963,37.5833,0.4583,0.0,9.5417,3.75,0.0,0.0,0.0,112.2083
1964,50.7083,5.7083,0.0,16.7083,21.4167,0.0,0.0,0.4583,104.3333
1965,43.375,0.4167,0.0,10.4583,5.375,0.0,0.0,0.0,102.25
1966,46.3333,7.25,0.0,17.5,22.75,0.0,0.0,0.4583,115.7917
1967,42.2083,1.75,0.0,12.9583,8.375,0.0,0.0,0.1667,121.5833
1968,43.4583,0.4167,0.0,12.7917,2.8333,0.0,0.0,0.0,132.7917
1969,48.0417,2.3333,0.0,18.7917,10.0833,0.0,0.0,0.3333,143.25
1970,43.25,2.6667,0.0,15.0417,8.9167,0.0,0.0,0.375,133.9583
1971,39.75,0.2917,0.0,12.125,5.2917,0.0,0.0,0.0,122.0
1972,47.2083,0.375,0.0,12.4583,6.375,0.0,0.0,0.0,132.875
1973,48.0,5.0,0.0,19.7917,13.5833,0.0,0.0,0.625,136.7083
1974,38.0833,2.0,0.0,17.4583,11.5833,0.0,0.0,0.0,122.5
1975,42.9167,6.2083,0.0,16.0,15.2917,0.0,0.0,0.9583,125.9167
1976,48.125,0.625,0.0,16.875,10.625,0.0,0.0,0.0,133.5417
1977,47.875,0.5417,0.0,13.5833,5.375,0.0,0.0,0.0,142.2917
1978,42.375,1.9167,0.0,16.4583,8.2083,0.0,0.0,0.0,137.9167
1979,54.0,2.6667,0.0,20.0833,13.0,0.0,0.0,0.0,144.4167
1980,46.4167,3.7917,0.0,13.0,10.2083,0.0,0.0,0.25,133.375
1981,43.7917,0.9583,0.0,12.4167,5.375,0.0,0.0,0.0,131.875
1982,48.75,0.4167,0.0,17.3333,6.3333,0.0,0.0,0.0,135.8333
1983,51.5833,7.4167,0.0,24.7917,18.9167,0.0,0.0,0.625,142.125
1984,39.375,1.625,0.0,13.0,9.75,0.0,0.0,0.0,131.5833
1985,48.4167,1.7917,0.0,17.5833,10.75,0.0,0.0,0.0,130.6667
1986,53.1667,5.5,0.0,20.3333,14.8333,0.0,0.0,0.125,139.5
1987,54.1667,4.6667,0.0,22.2917,14.5833,0.0,0.0,0.0,148.5833
1988,52.9167,2.2917,0.0,17.5833,8.75,0.0,0.0,0.125,140.75
1989,46.2083,2.6667,0.0,15.9583,12.9167,0.0,0.0,0.0,136.0417
1990,38.8333,3.0417,0.0,15.6667,9.375,0.0,0.0,0.125,142.6667
1991,50.7917,3.4583,0.0,15.5833,10.7917,0.0,0.0,0.0833,141.8333
1992,49.375,2.9583,0.0,11.2917,10.5417,0.0,0.0,0.0,133.125
1993,43.4583,4.8333,0.0,18.0833,12.125,0.0,0.0,0.3333,139.375
1994,45.2917,3.1667,0.0,14.4167,11.1667,0.0,0.0,0.3333,137.9167
1995,51.125,4.0833,0.0,18.0,12.875,0.0,0.0,0.0417,147.625
1996,46.2917,3.25,0.0,16.625,12.5833,0.0,0.0,0.0833,138.1667
1997,49.5,0.6667,0.0,10.9583,6.1667,0.0,0.0,0.0,152.5417
1998,56.25,6.125,0.0,26.0833,16.75,0.0,0.0,0.625,155.7083
1999,36.5,0.2917,0.0,9.2917,7.25,0.0,0.0,0.0,135.2083
2000,40.0417,0.7917,0.0,8.5833,4.9583,0.0,0.0,0.0,135.875
2001,42.75,0.5,0.0,14.625,6.7917,0.0,0.0,0.0,147.4583
2002,43.7917,1.6667,0.0,18.8333,12.2083,0.0,0.0,0.0,146.9167
2003,51.3333,3.4167,0.0,25.625,16.5417,0.0,0.0,0.0833,151.75
2004,42.7083,1.9583,0.0,12.9583,10.25,0.0,0.0,0.0,139.6667
2005,49.0833,3.1667,0.0,18.125,13.1667,0.0,0.0,0.0,147.6667
2006,42.0833,1.5417,0.0,15.2083,8.8333,0.0,0.0,0.0,148.5417
2007,46.5,1.125,0.0,16.5417,11.2917,0.0,0.0,0.0,147.4583
2008,40.4167,0.4167,0.0,9.9583,7.2917,0.0,0.0,0.0,143.625
2009,47.4583,2.0,0.0,16.125,13.0,0.0,0.0,0.0,156.625
2010,49.625,5.75,0.0,21.875,16.75,0.0,0.0,0.375,161.125
2011,41.8333,0.625,0.0,11.3333,7.2083,0.0,0.0,0.0,148.3333
2012,46.8333,2.5,0.0,21.1667,14.7083,0.0,0.0,0.0417,152.9583
2013,42.0833,3.75,0.0,20.4583,13.1667,0.0,0.0,0.1667,156.875
2014,49.1667,3.875,0.0,28.2917,18.2917,0.0,0.0,0.5,163.0
2015,47.9583,1.625,0.0,25.5833,9.3333,0.0,0.0,0.0417,166.5
2016,52.7917,8.125,0.0,36.9583,20.375,0.0,0.0,1.0,162.7917
2017,48.875,3.5833,0.0,28.3333,16.5,0.0,0.0,0.0833,163.2083
2018,46.5,1.0833,0.0,19.1667,5.9583,0.0,0.0,0.0,159.7917
2019,50.9583,3.3333,0.0,31.625,17.4167,0.0,0.0,0.0,169.7917
2020,50.6667,1.0417,0.0,26.2083,12.4583,0.0,0.0,0.0,167.875
2021,43.6667,0.375,0.0,20.25,7.7917,0.0,0.0,0.0,165.7917
2022,43.4167,0.7083,0.0,16.8333,8.75,0.0,0.0,0.0,156.6667
2023,50.7917,1.0417,0.0,22.2917,7.75,0.0,0.0,0.0,163.5833
2024,55.25,8.7083,0.0,34.5833,20.9583,0.0,0.0,1.9583,177.5
2025,36.8333,0.5833,0.0,15.4167,6.1667,0.0,0.0,0.0,159.0417
