year,strong_dayeq,very_strong_dayeq,extreme_dayeq,tropical_night_dayeq,strong_t2m_dayeq,very_strong_t2m_dayeq,extreme_t2m_dayeq,extreme_40_dayeq,tropical_night_20_dayeq
1950,126.375,41.375,0.9167,139.7083,33.625,0.0,0.0,22.7917,197.5833
1951,119.875,43.125,0.3333,138.1667,37.5,0.0,0.0,23.9167,197.625
1952,129.25,53.9167,1.0,145.0833,48.0417,0.125,0.0,31.125,198.25
1953,115.6667,44.2917,1.7083,127.3333,42.375,0.0,0.0,25.5833,197.7083
1954,104.5417,36.25,2.375,132.25,24.3333,0.0,0.0,18.75,197.2917
1955,104.0417,33.125,0.4583,126.375,20.0,0.0,0.0,15.7917,197.5417
1956,100.3333,34.375,2.625,121.9167,29.7917,0.875,0.0,20.6667,197.9583
1957,105.7083,38.0,0.125,141.375,30.6667,0.0,0.0,20.9167,197.625
1958,115.1667,43.875,2.3333,151.375,35.7083,0.0,0.0,24.125,197.7083
1959,108.9583,40.75,0.625,139.8333,31.5833,0.0,0.0,24.0,197.7083
1960,108.125,42.125,1.625,135.25,35.0417,0.0,0.0,24.25,198.0833
1961,101.875,33.0,0.0,135.1667,21.5417,0.0,0.0,13.7917,197.7083
1962,98.0417,31.625,0.0,130.9167,22.625,0.0,0.0,12.6667,197.7083
1963,104.1667,36.8333,1.0417,137.6667,32.6667,0.0417,0.0,20.7083,197.625
1964,109.6667,38.4583,3.3333,131.9167,37.6667,1.4167,0.0,21.7917,198.0
1965,101.7917,33.8333,1.3333,128.875,33.25,0.2917,0.0,16.1667,197.5417
1966,103.8333,31.75,1.8333,126.8333,27.4167,0.4167,0.0,15.875,197.5833
1967,98.875,28.4583,1.0417,130.5833,28.4167,0.0,0.0,14.8333,196.5
1968,103.625,31.1667,0.25,134.7917,35.2083,0.0,0.0,15.7083,198.25
1969,110.3333,36.9583,0.0417,141.5,34.4583,0.0,0.0,18.75,196.8333
1970,109.6667,36.0,0.5833,145.125,23.75,0.0,0.0,16.7917,197.4167
1971,103.6667,33.625,0.2083,132.75,23.625,0.0,0.0,15.2083,197.6667
1972,111.9167,40.75,1.0833,138.875,34.6667,0.0,0.0,21.25,198.1667
1973,117.3333,41.2917,1.0,143.0833,35.1667,0.0,0.0,20.25,197.6667
1974,110.6667,37.8333,0.0,133.25,30.4167,0.0,0.0,18.2083,197.4583
1975,106.6667,36.0,1.3333,141.3333,32.3333,0.0,0.0,18.875,197.2917
1976,109.5833,38.0417,0.5833,137.2917,27.9167,0.0417,0.0,18.5417,197.8333
1977,112.3333,36.9583,0.125,143.4167,30.8333,0.0,0.0,18.9583,197.0833
1978,109.4167,33.4583,0.5417,147.375,29.375,0.0,0.0,15.25,197.375
1979,113.7083,39.2917,0.0417,149.5833,35.5417,0.0,0.0,21.2083,197.7083
1980,114.4167,39.3333,1.625,134.75,40.4167,0.25,0.0,20.7083,198.2083
1981,106.9167,35.25,0.5,135.0833,30.0,0.0,0.0,18.0417,197.125
1982,114.25,42.625,0.375,146.7083,32.375,0.0,0.0,22.25,197.7083
1983,113.9167,42.3333,0.8333,146.9167,35.4167,0.0417,0.0,22.25,197.7083
1984,106.0417,34.4583,0.625,141.5833,30.7083,0.0,0.0,17.375,198.2083
1985,109.2917,39.2917,0.2083,137.7917,31.4583,0.0,0.0,18.7917,197.7083
1986,113.75,43.625,0.5,146.375,40.0,0.0,0.0,23.8333,197.7083
1987,114.0417,42.5417,0.125,148.125,33.2917,0.0,0.0,21.75,197.7083
1988,118.625,40.875,0.8333,146.625,30.2917,0.0,0.0,21.875,198.25
1989,106.6667,34.0833,0.4167,133.5417,27.5,0.0,0.0,16.6667,196.125
1990,108.3333,33.3333,0.0417,155.5417,27.0417,0.0,0.0,13.5,195.9167
1991,113.9583,36.2917,0.2083,145.0417,27.5417,0.0,0.0,16.5417,197.7083
1992,110.0,40.5,0.1667,134.7917,33.6667,0.0,0.0,21.0,197.7083
1993,111.2083,39.25,0.4167,145.6667,31.125,0.0,0.0,19.4167,197.5
1994,109.2917,38.875,0.3333,140.5833,34.0833,0.0,0.0,21.1667,197.5417
1995,113.75,36.0833,0.0,141.9583,24.9167,0.0,0.0,14.2917,197.7083
1996,108.9583,31.75,0.3333,138.6667,24.8333,0.0,0.0,15.4583,198.25
1997,116.6667,36.5833,0.375,151.6667,34.0417,0.0,0.0,15.7917,197.5
1998,118.625,40.125,1.2917,168.1667,35.125,0.0,0.0,19.0833,197.7083
1999,109.0,39.0833,0.0,144.6667,37.5,0.0,0.0,19.75,197.6667
2000,112.5,33.1667,0.25,151.0,29.5833,0.0,0.0,17.0417,198.2083
2001,112.0,41.0833,0.4583,151.25,40.875,0.0,0.0,20.4167,197.7083
2002,113.6667,41.75,0.4167,143.2917,41.125,0.0,0.0,19.2917,197.7083
2003,114.0,38.4167,1.0417,152.0,33.25,0.0,0.0,18.2083,197.7083
2004,106.5,35.6667,0.0,146.7083,31.4167,0.0,0.0,15.875,198.25
2005,111.9167,39.375,0.125,148.9167,30.8333,0.0,0.0,18.9583,197.7083
2006,111.125,37.1667,0.0,148.0417,34.1667,0.0,0.0,17.0417,197.4583
2007,110.3333,29.6667,0.9583,144.2083,24.4167,0.0,0.0,14.4167,197.7083
2008,113.9167,33.7083,0.25,150.75,30.0,0.0,0.0,17.7917,198.1667
2009,115.75,44.2917,0.0417,152.2083,46.1667,0.0,0.0,24.5833,197.6667
2010,116.5,36.875,0.0833,158.0,28.75,0.0,0.0,16.625,197.7083
2011,110.5833,38.75,0.0,151.4583,34.1667,0.0,0.0,18.8333,197.7083
2012,118.5,45.375,1.8333,155.6667,42.3333,0.0,0.0,25.0417,198.0833
2013,109.5417,33.9583,0.9167,153.6667,33.5417,0.0833,0.0,15.4583,197.7083
2014,108.625,39.2083,1.0417,157.1667,43.125,0.0,0.0,22.2083,197.7083
2015,115.5,39.4167,0.25,165.5833,36.0,0.0,0.0,17.75,197.7083
2016,121.7917,37.875,0.0,164.8333,36.5417,0.0,0.0,16.0833,198.25
2017,117.2083,42.0,0.9583,162.5417,40.75,0.0,0.0,21.2917,197.7083
2018,116.7917,35.5,0.0,159.1667,35.0,0.0,0.0,14.9583,197.7083
2019,115.1667,37.4583,0.2083,171.5833,37.2083,0.0,0.0,20.0833,197.7083
2020,117.75,34.1667,0.0,173.75,27.625,0.0,0.0,13.3333,198.25
2021,115.0417,34.9167,0.0,168.8333,28.8333,0.0,0.0,13.2917,197.7083
2022,114.5,32.75,0.0,171.2917,27.875,0.0,0.0,14.4583,197.7083
2023,119.1667,39.375,0.125,170.625,37.3333,0.0,0.0,19.1667,197.7083
2024,123.25,36.6667,0.0833,185.6667,38.625,0.0,0.0,15.7917,198.25
2025,111.3333,36.1667,0.0,170.7917,36.2083,0.0,0.0,17.0833,197.7083
