year,strong_dayeq,very_strong_dayeq,extreme_dayeq,tropical_night_dayeq,strong_t2m_dayeq,very_strong_t2m_dayeq,extreme_t2m_dayeq,extreme_40_dayeq,tropical_night_20_dayeq
1950,12.0,0.0,0.0,1.9583,0.25,0.0,0.0,0.0,101.4583
1951,12.5,0.0,0.0,2.2917,0.25,0.0,0.0,0.0,99.1667
1952,13.9167,0.0,0.0,1.8333,0.125,0.0,0.0,0.0,97.25
1953,13.375,0.0,0.0,3.4167,0.0,0.0,0.0,0.0,89.125
1954,15.875,0.0,0.0,14.0417,3.375,0.0,0.0,0.0,108.0
1955,16.5,0.0,0.0,11.75,3.125,0.0,0.0,0.0,103.8333
1956,18.0,0.0,0.0,13.7917,2.7083,0.0,0.0,0.0,108.875
1957,29.5417,0.0417,0.0,21.125,16.5,1.4167,0.0,0.0,106.2917
1958,20.0417,0.0,0.0,16.0,1.0417,0.0,0.0,0.0,108.5417
1959,15.75,0.0,0.0,13.5833,2.0,0.0,0.0,0.0,107.3333
1960,28.2917,0.0,0.0,21.9583,13.7083,0.7917,0.0,0.0,106.1667
1961,19.0,0.0,0.0,16.2083,4.0,0.0,0.0,0.0,105.375
1962,16.875,0.0,0.0,14.875,2.6667,0.0,0.0,0.0,100.5417
1963,13.125,0.0,0.0,15.0833,2.1667,0.0,0.0,0.0,102.2083
1964,16.6667,0.0,0.0,10.2083,7.9167,0.0,0.0,0.0,110.1667
1965,15.9583,0.0,0.0,6.0417,1.875,0.0,0.0,0.0,97.0
1966,15.2083,0.0,0.0,5.7917,6.0,0.0833,0.0,0.0,96.0833
1967,13.8333,0.0,0.0,9.5,0.4167,0.0,0.0,0.0,93.8333
1968,16.125,0.0,0.0,11.5417,1.625,0.0,0.0,0.0,99.0833
1969,19.0,0.0,0.0,15.4167,0.7917,0.0,0.0,0.0,102.125
1970,17.75,0.0,0.0,13.4167,0.5,0.0,0.0,0.0,108.2917
1971,6.75,0.0,0.0,6.2083,0.3333,0.0,0.0,0.0,100.2917
1972,20.625,0.0,0.0,19.1667,1.0833,0.0,0.0,0.0,107.7917
1973,22.5417,0.0,0.0,19.0,7.4583,0.2083,0.0,0.0,115.4167
1974,15.9583,0.0,0.0,16.0833,0.7083,0.0,0.0,0.0,110.8333
1975,17.8333,0.0,0.0,17.4583,4.9167,0.0,0.0,0.0,111.25
1976,13.5833,0.0,0.0,14.5417,4.4167,0.0,0.0,0.0,105.7083
1977,15.5417,0.0,0.0,17.625,1.6667,0.0,0.0,0.0,102.875
1978,21.25,0.0,0.0,23.875,1.75,0.0,0.0,0.0,106.8333
1979,28.0833,0.0,0.0,27.7917,10.7917,0.0,0.0,0.0,106.375
1980,19.9583,0.0,0.0,20.1667,4.125,0.0,0.0,0.0,106.7083
1981,14.5417,0.0,0.0,19.9583,0.875,0.0,0.0,0.0,100.375
1982,20.4167,0.0,0.0,21.7917,2.9167,0.0,0.0,0.0,97.875
1983,20.5833,0.0,0.0,21.2917,2.25,0.0,0.0,0.0,102.2917
1984,13.5417,0.0,0.0,18.6667,3.875,0.0,0.0,0.0,112.625
1985,17.5,0.0,0.0,16.4583,1.75,0.0,0.0,0.0,108.9167
1986,16.5417,0.0,0.0,20.0833,3.75,0.0,0.0,0.0,101.1667
1987,22.7083,0.0,0.0,24.5417,5.75,0.0,0.0,0.0,103.6667
1988,23.0,0.0,0.0,22.3333,4.3333,0.0,0.0,0.0,109.9583
1989,19.0833,0.0,0.0,20.625,7.7917,0.0833,0.0,0.0,107.2083
1990,14.3333,0.0,0.0,18.7917,0.25,0.0,0.0,0.0,99.875
1991,14.0,0.0,0.0,20.9167,1.2917,0.0,0.0,0.0,107.25
1992,20.2917,0.0,0.0,20.4583,4.5833,0.125,0.0,0.0,106.75
1993,11.7083,0.0,0.0,19.1667,1.125,0.0,0.0,0.0,105.7917
1994,22.75,0.0,0.0,29.0417,3.875,0.0,0.0,0.0,107.6667
1995,18.4583,0.0,0.0,25.2083,6.0,0.0,0.0,0.0,112.625
1996,20.625,0.0,0.0,22.9583,5.875,0.0,0.0,0.0,109.6667
1997,13.9167,0.0,0.0,22.375,1.4583,0.0,0.0,0.0,94.9583
1998,19.3333,0.0,0.0,22.0417,2.75,0.0,0.0,0.0,111.4167
1999,16.125,0.0,0.0,18.625,1.9583,0.0,0.0,0.0,113.3333
2000,13.5417,0.0,0.0,16.75,2.2917,0.0,0.0,0.0,108.4583
2001,17.2917,0.0,0.0,22.1667,1.8333,0.0,0.0,0.0,109.4167
2002,13.7083,0.0,0.0,20.375,0.375,0.0,0.0,0.0,104.9167
2003,12.9167,0.0,0.0,21.9583,0.5,0.0,0.0,0.0,106.25
2004,12.25,0.0,0.0,19.7083,1.0417,0.0,0.0,0.0,105.375
2005,19.875,0.0,0.0,28.0417,2.125,0.0,0.0,0.0,105.875
2006,23.4583,0.0,0.0,27.7917,4.2917,0.0,0.0,0.0,107.9167
2007,25.0,0.0,0.0,25.125,5.8333,0.0,0.0,0.0,110.625
2008,15.75,0.0,0.0,18.6667,2.25,0.0,0.0,0.0,106.75
2009,22.8333,0.0,0.0,30.3333,4.1667,0.0,0.0,0.0,111.125
2010,21.75,0.0,0.0,24.4167,3.0833,0.0,0.0,0.0,121.4167
