year,strong_dayeq,very_strong_dayeq,extreme_dayeq,tropical_night_dayeq,strong_t2m_dayeq,very_strong_t2m_dayeq,extreme_t2m_dayeq,extreme_40_dayeq,tropical_night_20_dayeq
1950,89.75,40.5,10.875,78.625,65.3333,26.8333,0.0,29.4583,109.0833
1951,99.625,45.0833,7.2083,81.5833,68.9583,25.2917,0.0,31.2917,111.4167
1952,92.75,38.375,3.6667,86.2917,62.125,11.5417,0.0,23.2917,115.875
1953,88.1667,29.0,3.6667,72.9583,47.0,13.8333,0.0,19.625,113.875
1954,95.1667,45.875,10.1667,91.8333,77.4167,26.2917,0.3333,33.2083,113.4583
1955,93.2083,43.2083,7.5833,84.625,76.625,23.9583,0.1667,32.125,121.0
1956,93.7083,41.5,9.75,90.4167,78.25,24.0833,0.2083,31.625,121.9583
1957,91.0,40.7917,6.875,83.0,69.3333,20.9167,0.0,29.125,116.7917
1958,92.625,44.5417,5.375,93.7917,67.5417,22.8333,0.0,32.4167,122.5
1959,98.2083,45.875,7.5417,95.2917,69.875,21.625,0.0,31.5833,125.3333
1960,99.6667,41.625,7.0833,91.0,68.5,19.7083,0.0,29.125,117.125
1961,91.0,37.4167,1.0,92.125,65.2083,15.9167,0.0,24.75,118.0833
1962,94.375,42.9167,4.0,87.8333,68.9167,18.7917,0.0,30.2917,115.125
1963,103.7917,46.1667,6.875,89.0417,79.25,24.0,0.0,34.3333,128.875
1964,95.3333,41.0417,3.875,82.5417,62.9167,21.5833,0.0,28.2083,119.0833
1965,98.9583,47.7083,4.6667,82.8333,80.7917,20.0417,0.0,31.9583,120.2083
1966,97.5833,42.2083,6.8333,80.7083,67.625,17.75,0.0,25.9167,119.5417
1967,87.7917,35.7083,4.4167,87.625,62.7917,18.0833,0.0,23.875,113.75
1968,98.5833,44.625,2.3333,89.5417,70.0417,14.2917,0.0,29.4583,117.2917
1969,100.0417,40.7083,3.4583,86.9167,70.9167,14.0,0.0,26.5833,133.4583
1970,96.4167,41.5833,2.7917,94.2083,64.875,11.7917,0.0,26.5833,119.5417
1971,87.5,35.8333,0.0,87.9583,51.0,4.6667,0.0,18.9583,121.5833
1972,95.0833,42.6667,5.2083,81.4167,75.75,18.7917,0.0,26.5417,117.5
1973,99.625,45.25,5.5417,95.375,69.8333,18.25,0.0417,30.75,121.0417
1974,100.625,53.375,2.5,98.3333,83.6667,20.4583,0.0,37.625,123.5417
1975,86.25,36.3333,2.5833,92.0,62.125,15.375,0.0,24.7917,119.25
1976,85.9583,34.5,0.9583,81.5833,56.4583,10.5417,0.0,22.7917,118.5833
1977,94.625,31.0833,2.0833,83.5,47.4167,8.875,0.0,18.5,126.1667
1978,91.9167,36.7083,6.9167,88.5833,57.25,16.5417,0.0,24.375,112.875
1979,101.375,50.5417,2.8333,85.0833,85.3333,15.0417,0.0,30.3333,121.375
1980,96.4583,44.6667,2.4583,89.625,75.4167,19.75,0.0,28.5,117.7083
1981,93.25,43.0417,3.7083,88.4583,74.6667,19.2917,0.0,28.2917,114.375
1982,93.4167,42.2083,1.0417,82.5833,65.5,11.8333,0.0,22.9583,117.75
