year,strong_dayeq,very_strong_dayeq,extreme_dayeq,tropical_night_dayeq,strong_t2m_dayeq,very_strong_t2m_dayeq,extreme_t2m_dayeq,extreme_40_dayeq,tropical_night_20_dayeq
1950,66.0833,4.6667,0.0,45.7917,3.5,0.0,0.0,0.1667,128.3333
1951,66.3333,7.2083,0.0,48.9167,2.6667,0.0,0.0,0.4583,127.9167
1952,67.2917,8.3333,0.0,54.7083,0.875,0.0,0.0,0.8333,123.7083
1953,65.125,9.0,0.0,43.4583,3.5833,0.0,0.0,2.125,122.9167
1954,66.625,6.1667,0.0,62.2917,4.125,0.0,0.0,0.1667,137.4583
1955,71.75,10.75,0.0,60.625,6.9583,0.0,0.0,0.7917,133.0417
1956,68.2917,9.375,0.0,56.75,5.5833,0.0,0.0,1.7083,133.75
1957,75.0833,13.875,0.0,73.625,15.9167,1.375,0.0,3.6667,123.5833
1958,68.7083,10.9167,0.0,73.8333,7.125,0.0,0.0,1.5417,132.5417
1959,56.2917,8.375,0.0,64.7083,6.5417,0.0,0.0,0.8333,128.6667
1960,78.0417,16.4167,0.0,85.0417,17.5417,2.125,0.0,5.875,134.2917
1961,67.9583,8.9167,0.0,76.125,6.4167,0.0,0.0,1.7083,128.0417
1962,73.9167,11.7083,0.0,72.5417,12.7083,0.0,0.0,2.125,128.125
1963,67.5,7.8333,0.0,70.25,7.5,0.125,0.0,1.9167,135.2917
1964,70.5,9.2083,0.0,62.25,9.0,0.0,0.0,1.0833,134.8333
1965,65.2917,6.2083,0.0,51.6667,4.4167,0.0,0.0,0.625,120.7083
1966,66.7917,8.25,0.0,50.875,8.7083,0.0,0.0,0.7083,132.3333
1967,63.0833,7.125,0.0,61.4167,5.5417,0.0,0.0,0.5417,120.6667
1968,68.1667,6.6667,0.0,66.9167,5.5833,0.0,0.0,0.4583,127.4583
1969,76.2083,9.25,0.0,72.75,8.1667,0.0,0.0,1.1667,131.4167
1970,71.9583,9.0,0.0,74.25,7.9167,0.0,0.0,1.5417,131.75
1971,62.5,5.7917,0.0,67.0,5.0833,0.0,0.0,0.2917,129.25
1972,68.75,7.5,0.0,65.4583,4.0417,0.0,0.0,1.1667,127.8333
1973,71.625,13.8333,0.0,75.1667,13.5833,0.0417,0.0,2.375,131.75
1974,69.4583,7.8333,0.0,64.9583,5.5,0.0,0.0,1.0,133.1667
1975,70.7083,10.6667,0.0,69.4167,8.5833,0.0,0.0,1.5833,133.0
1976,74.0833,7.0417,0.0,64.7917,7.3333,0.0,0.0,0.4167,132.2083
1977,64.5833,9.5,0.0,60.0,5.4583,0.0,0.0,2.0833,129.0
1978,76.7917,12.9583,0.0,75.6667,9.3333,0.0,0.0,2.2917,127.5417
1979,84.25,15.5833,0.0,80.4167,21.0417,0.0,0.0,3.6667,130.7917
1980,73.7917,10.875,0.0,69.5417,6.125,0.0,0.0,1.7917,127.75
1981,75.2083,9.125,0.0,73.8333,5.9583,0.0,0.0,1.2083,127.75
1982,72.9583,9.0,0.0,68.25,6.1667,0.0,0.0,1.375,128.0
1983,65.4583,10.0,0.0,72.7083,9.1667,0.0,0.0,1.3333,127.2917
