year,strong_dayeq,very_strong_dayeq,extreme_dayeq,tropical_night_dayeq,strong_t2m_dayeq,very_strong_t2m_dayeq,extreme_t2m_dayeq,extreme_40_dayeq,tropical_night_20_dayeq
1950,1.5417,0.0,0.0,0.2083,0.0,0.0,0.0,0.0,28.4583
1951,1.7083,0.0,0.0,0.2083,0.0,0.0,0.0,0.0,31.375
1952,3.0,0.0,0.0,0.4583,0.125,0.0,0.0,0.0,39.7083
1953,1.7917,0.0,0.0,0.125,0.0,0.0,0.0,0.0,29.6667
1954,4.0417,0.0,0.0,2.4583,0.2083,0.0,0.0,0.0,51.2917
1955,1.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,39.5417
1956,4.1667,0.0,0.0,2.7917,1.1667,0.0,0.0,0.0,45.2917
1957,1.9583,0.0,0.0,2.3333,0.0417,0.0,0.0,0.0,54.25
1958,3.4167,0.0,0.0,2.0833,0.0,0.0,0.0,0.0,71.6667
1959,2.8333,0.0,0.0,2.7083,0.2083,0.0,0.0,0.0,58.0417
1960,0.9583,0.0,0.0,1.2917,0.0,0.0,0.0,0.0,52.5417
1961,2.0833,0.0,0.0,2.9583,0.1667,0.0,0.0,0.0,52.5833
1962,1.625,0.0,0.0,1.75,0.0,0.0,0.0,0.0,50.4583
1963,1.625,0.0,0.0,1.5833,0.0,0.0,0.0,0.0,44.0833
1964,4.2917,0.0,0.0,2.2083,0.4167,0.0,0.0,0.0,47.9583
1965,0.875,0.0,0.0,1.2917,0.0,0.0,0.0,0.0,30.4583
1966,1.75,0.0,0.0,1.75,0.0,0.0,0.0,0.0,40.2917
1967,1.9583,0.0,0.0,2.5417,0.0,0.0,0.0,0.0,55.5833
1968,1.0833,0.0,0.0,1.0417,0.0,0.0,0.0,0.0,53.5
1969,1.7917,0.0,0.0,2.1667,0.0,0.0,0.0,0.0,74.6667
1970,2.3333,0.0,0.0,1.1667,0.0,0.0,0.0,0.0,66.75
1971,1.0,0.0,0.0,1.6667,0.0,0.0,0.0,0.0,49.0417
1972,2.0417,0.0,0.0,2.9583,0.0,0.0,0.0,0.0,67.7917
1973,4.5417,0.0,0.0,3.0833,0.0417,0.0,0.0,0.0,73.0417
1974,1.6667,0.0,0.0,2.375,0.125,0.0,0.0,0.0,57.625
1975,3.6667,0.0,0.0,2.2083,0.4167,0.0,0.0,0.0,56.6667
1976,1.5417,0.0,0.0,2.875,0.0,0.0,0.0,0.0,54.75
1977,1.5417,0.0,0.0,1.4167,0.0,0.0,0.0,0.0,60.3333
1978,2.2917,0.0,0.0,1.5833,0.0,0.0,0.0,0.0,71.2083
1979,6.25,0.0,0.0,3.5417,0.0,0.0,0.0,0.0,70.125
1980,3.125,0.0,0.0,2.0417,0.0,0.0,0.0,0.0,72.8333
1981,2.5417,0.0,0.0,1.4167,0.0,0.0,0.0,0.0,63.125
1982,2.5833,0.0,0.0,2.0833,0.125,0.0,0.0,0.0,71.2083
1983,12.125,0.0,0.0,3.9583,1.5,0.0,0.0,0.0,92.7917
1984,2.875,0.0,0.0,0.9167,0.0,0.0,0.0,0.0,61.4583
1985,2.6667,0.0,0.0,1.5,0.0417,0.0,0.0,0.0,65.8333
1986,4.5,0.0,0.0,1.9167,0.4167,0.0,0.0,0.0,72.625
1987,3.1667,0.0,0.0,1.9167,0.0,0.0,0.0,0.0,82.25
1988,4.375,0.0,0.0,0.9167,0.0417,0.0,0.0,0.0,79.75
1989,4.5417,0.0,0.0,2.2917,0.5417,0.0,0.0,0.0,76.75
1990,1.375,0.0,0.0,0.9583,0.0,0.0,0.0,0.0,77.5
1991,3.7083,0.0,0.0,1.625,0.0417,0.0,0.0,0.0,77.7917
1992,6.5,0.0,0.0,3.375,0.5,0.0,0.0,0.0,71.0417
1993,3.625,0.0,0.0,1.4167,0.0417,0.0,0.0,0.0,74.125
1994,3.125,0.0,0.0,1.0833,0.0417,0.0,0.0,0.0,70.7917
1995,2.3333,0.0,0.0,2.125,0.0,0.0,0.0,0.0,71.4583
1996,4.7083,0.0,0.0,0.9583,0.0833,0.0,0.0,0.0,69.375
1997,1.7083,0.0,0.0,1.0833,0.0,0.0,0.0,0.0,75.4583
1998,6.9583,0.0,0.0,3.1667,0.2083,0.0,0.0,0.0,99.0833
1999,3.375,0.0,0.0,1.4583,0.25,0.0,0.0,0.0,70.0833
2000,2.5417,0.0,0.0,0.75,0.0,0.0,0.0,0.0,61.75
2001,2.7083,0.0,0.0,1.0,0.0,0.0,0.0,0.0,70.0833
2002,1.5,0.0,0.0,0.9167,0.0,0.0,0.0,0.0,76.125
2003,3.7917,0.0,0.0,1.6667,0.0,0.0,0.0,0.0,81.3333
2004,2.6667,0.0,0.0,2.7917,0.8333,0.0,0.0,0.0,83.5417
2005,3.4167,0.0,0.0,1.7083,0.0,0.0,0.0,0.0,91.2083
2006,2.5,0.0,0.0,2.3333,0.0,0.0,0.0,0.0,81.5833
2007,3.0833,0.0,0.0,2.2083,0.75,0.0,0.0,0.0,95.7083
2008,2.0417,0.0,0.0,1.375,0.0,0.0,0.0,0.0,82.875
2009,3.8333,0.0,0.0,3.5,0.125,0.0,0.0,0.0,110.5
2010,8.0833,0.0,0.0,4.7083,0.875,0.0,0.0,0.0,118.0
2011,2.0417,0.0,0.0,2.2083,0.0,0.0,0.0,0.0,108.0
2012,5.1667,0.0,0.0,3.8333,1.8333,0.0,0.0,0.0,118.6667
2013,3.8333,0.0,0.0,1.875,0.0,0.0,0.0,0.0,114.5833
2014,2.875,0.0,0.0,3.25,0.0,0.0,0.0,0.0,123.0417
2015,3.5833,0.0,0.0,3.8333,0.0,0.0,0.0,0.0,122.4167
2016,7.875,0.0,0.0,8.125,1.625,0.0,0.0,0.0,129.875
2017,4.4583,0.0,0.0,5.2917,0.0,0.0,0.0,0.0,128.875
2018,2.2917,0.0,0.0,3.875,0.0,0.0,0.0,0.0,120.4583
2019,6.6667,0.0,0.0,7.75,0.5,0.0,0.0,0.0,132.5417
2020,2.5417,0.0,0.0,5.25,0.0,0.0,0.0,0.0,125.5
2021,2.0417,0.0,0.0,3.125,0.1667,0.0,0.0,0.0,114.0
2022,2.4583,0.0,0.0,3.375,0.0,0.0,0.0,0.0,105.5
2023,3.875,0.0,0.0,3.9583,0.0,0.0,0.0,0.0,129.0
2024,9.4167,0.0,0.0,6.9583,1.2083,0.0,0.0,0.0,132.9583
2025,2.0,0.0,0.0,3.0417,0.0,0.0,0.0,0.0,108.2917
