year,strong_dayeq,very_strong_dayeq,extreme_dayeq,tropical_night_dayeq,strong_t2m_dayeq,very_strong_t2m_dayeq,extreme_t2m_dayeq,extreme_40_dayeq,tropical_night_20_dayeq
1950,82.4583,1.5833,0.0,0.0,0.0,0.0,0.0,0.0,28.125
1951,89.9167,3.75,0.0,0.125,0.4167,0.0,0.0,0.375,37.7083
1952,87.5833,1.125,0.0,0.0,0.0417,0.0,0.0,0.0,35.5417
1953,96.2083,1.875,0.0,0.0,0.0417,0.0,0.0,0.0,35.1667
1954,69.7083,0.6667,0.0,0.5833,0.1667,0.0,0.0,0.0,56.4167
1955,67.0417,0.4167,0.0,1.5833,0.6667,0.0,0.0,0.0,55.125
1956,65.0833,1.625,0.0,2.0,2.9583,0.0,0.0,0.25,53.1667
1957,79.125,0.375,0.0,0.8333,0.0,0.0,0.0,0.0,83.8333
1958,81.9167,1.875,0.0,2.0417,1.0833,0.0,0.0,0.25,98.9583
1959,82.8333,5.2083,0.0,2.5833,6.0833,0.0,0.0,0.9167,85.5
1960,71.2917,0.0,0.0,1.125,0.75,0.0,0.0,0.0,74.625
1961,76.875,0.9167,0.0,2.3333,0.9167,0.0,0.0,0.0833,77.125
1962,76.4583,0.5833,0.0,1.8333,0.2083,0.0,0.0,0.0,76.8333
1963,77.4167,0.0,0.0,1.875,0.0417,0.0,0.0,0.0,65.4583
1964,73.8333,2.625,0.0,2.9167,2.4583,0.0,0.0,0.2083,61.5833
1965,70.5,0.0,0.0,0.7083,0.375,0.0,0.0,0.0,42.2083
1966,77.7083,0.0417,0.0,1.5417,0.375,0.0,0.0,0.0,59.1667
1967,72.625,0.625,0.0,2.7083,0.5,0.0,0.0,0.0,77.2917
1968,76.1667,0.4583,0.0,1.2917,0.0833,0.0,0.0,0.0,76.8333
1969,79.75,0.75,0.0,2.375,0.9167,0.0,0.0,0.0,105.875
1970,77.25,0.3333,0.0,1.875,0.8333,0.0,0.0,0.0,90.0417
1971,73.375,0.1667,0.0,1.4167,0.3333,0.0,0.0,0.0,63.0417
1972,86.25,1.2917,0.0,2.2083,2.1667,0.0,0.0,0.0833,88.625
1973,80.2917,2.4167,0.0,2.25,2.375,0.0,0.0,0.4167,91.625
1974,75.9167,0.2083,0.0,1.75,0.625,0.0,0.0,0.0,66.5833
1975,69.7917,0.2083,0.0,1.5417,1.7083,0.0,0.0,0.0,70.2083
1976,81.7917,0.7083,0.0,1.5417,1.2083,0.0,0.0,0.0417,73.2917
1977,83.0417,0.125,0.0,1.9583,0.5,0.0,0.0,0.0,90.0
1978,75.9583,1.0417,0.0,2.0417,1.375,0.0,0.0,0.0,92.4167
1979,90.9167,0.75,0.0,2.25,2.1667,0.0,0.0,0.0,97.625
1980,85.5,2.25,0.0,1.4167,1.875,0.0,0.0,0.0833,91.875
1981,80.3333,1.25,0.0,1.25,0.8333,0.0,0.0,0.0,83.9167
1982,89.4167,1.375,0.0,1.125,3.5833,0.0,0.0,0.0833,94.25
1983,90.6667,6.625,0.0,1.25,4.7917,0.0,0.0,1.0833,111.9583
1984,71.0833,0.0417,0.0,0.5417,0.2083,0.0,0.0,0.0,76.75
1985,76.0,0.6667,0.0,0.7917,0.5,0.0,0.0,0.0,82.75
1986,85.6667,0.2083,0.0,0.9167,1.7917,0.0,0.0,0.0,99.375
1987,97.3333,3.6667,0.0,2.125,2.9167,0.0,0.0,0.5833,120.75
1988,87.75,1.875,0.0,1.0,0.75,0.0,0.0,0.0417,104.7917
1989,78.9583,0.5833,0.0,1.4167,2.2083,0.0,0.0,0.0,94.7083
1990,79.5417,1.8333,0.0,0.4583,0.0417,0.0,0.0,0.0,93.75
1991,87.3333,2.125,0.0,1.2083,1.7917,0.0,0.0,0.0,110.0
1992,78.75,3.6667,0.0,1.625,4.5,0.0,0.0,0.3333,90.3333
1993,79.125,1.5833,0.0,0.5417,0.6667,0.0,0.0,0.0,99.8333
1994,79.3333,0.0833,0.0,0.7917,1.125,0.0,0.0,0.0,99.1667
1995,84.75,1.75,0.0,2.9583,0.9167,0.0,0.0,0.2083,99.3333
1996,79.2917,1.125,0.0,1.4167,1.8333,0.0,0.0,0.0,95.7083
1997,90.375,1.6667,0.0,1.0417,2.125,0.0,0.0,0.1667,114.7917
1998,89.0833,8.4167,0.0,3.3333,4.8333,0.0,0.0,0.6667,125.9583
1999,73.25,0.375,0.0,0.5833,1.0833,0.0,0.0,0.0,78.3333
2000,80.4167,0.0833,0.0,0.4167,0.2917,0.0,0.0,0.0,86.0417
2001,76.7083,0.0417,0.0,0.375,0.2083,0.0,0.0,0.0,93.7083
2002,85.125,1.25,0.0,1.0,1.25,0.0,0.0,0.25,108.5
2003,84.75,0.25,0.0,1.5833,0.8333,0.0,0.0,0.0,112.75
2004,75.5833,3.2917,0.0,1.7917,4.625,0.0,0.0,0.2917,124.375
2005,81.0417,1.9167,0.0,2.0833,2.125,0.0,0.0,0.0833,129.4167
2006,82.625,0.6667,0.0,1.0417,0.5417,0.0,0.0,0.0,123.2083
2007,81.3333,3.4167,0.0,2.3333,4.25,0.0,0.0,0.0,130.9583
2008,80.75,0.125,0.0,0.5417,0.4583,0.0,0.0,0.0,122.625
2009,83.0417,0.6667,0.0,1.875,3.7917,0.0,0.0,0.0,151.25
2010,78.4167,4.9167,0.0,3.75,5.2083,0.0,0.0,0.1667,154.25
2011,81.0,0.4167,0.0,1.4583,2.0,0.0,0.0,0.0,145.6667
2012,84.25,1.0417,0.0,1.8333,3.75,0.0,0.0,0.0,150.2917
2013,79.5417,2.5,0.0,2.5417,1.9167,0.0,0.0,0.0833,147.5
2014,80.7917,3.9583,0.0,3.4583,5.0833,0.0,0.0,1.0417,167.9167
2015,87.1667,0.4583,0.0,4.625,1.1667,0.0,0.0,0.0,168.0417
2016,85.375,9.2083,0.0,10.7083,5.7083,0.0,0.0,0.75,160.5417
2017,83.875,0.5,0.0,2.9167,0.0,0.0,0.0,0.0,163.25
2018,85.1667,2.0417,0.0,5.0833,0.75,0.0,0.0,0.0417,154.9167
2019,94.0833,4.25,0.0,7.5,5.8333,0.0,0.0,0.5,170.7083
2020,94.375,7.9583,0.0,9.75,3.125,0.0,0.0,0.6667,169.75
2021,77.7917,0.5417,0.0,3.9167,1.2083,0.0,0.0,0.0,162.0
2022,81.4583,0.7917,0.0,3.5417,0.5417,0.0,0.0,0.0833,148.6667
2023,92.375,1.6667,0.0,4.5833,0.6667,0.0,0.0,0.0,162.8333
2024,95.5833,5.0833,0.0,8.625,5.4167,0.0,0.0,0.1667,171.125
2025,82.5417,0.7917,0.0,3.0417,0.2917,0.0,0.0,0.0,139.5833
