year,strong_dayeq,very_strong_dayeq,extreme_dayeq,tropical_night_dayeq,strong_t2m_dayeq,very_strong_t2m_dayeq,extreme_t2m_dayeq,extreme_40_dayeq,tropical_night_20_dayeq
1950,1.0417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9167
1951,2.5417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3333
1952,2.2083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.5417
1953,2.1667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
1954,3.5,0.0,0.0,0.9167,0.0,0.0,0.0,0.0,30.2083
1955,1.4583,0.0,0.0,0.7917,0.0,0.0,0.0,0.0,22.25
1956,3.875,0.0,0.0,1.2917,0.0833,0.0,0.0,0.0,27.75
1957,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,31.9167
1958,3.7083,0.0,0.0,1.0417,0.0,0.0,0.0,0.0,41.9167
1959,1.75,0.0,0.0,1.7917,0.0,0.0,0.0,0.0,40.4583
1960,0.4167,0.0,0.0,0.7917,0.0,0.0,0.0,0.0,35.9167
1961,0.375,0.0,0.0,1.6667,0.0,0.0,0.0,0.0,32.5
1962,0.7917,0.0,0.0,0.4583,0.0,0.0,0.0,0.0,24.0833
1963,1.4583,0.0,0.0,0.75,0.0,0.0,0.0,0.0,23.4583
1964,5.0833,0.0,0.0,1.7083,0.0417,0.0,0.0,0.0,32.75
1965,0.625,0.0,0.0,0.2083,0.0,0.0,0.0,0.0,14.625
1966,2.7083,0.0,0.0,0.5833,0.0,0.0,0.0,0.0,23.875
1967,1.75,0.0,0.0,1.5,0.0,0.0,0.0,0.0,29.1667
1968,1.5833,0.0,0.0,0.75,0.0,0.0,0.0,0.0,27.3333
1969,1.8333,0.0,0.0,1.625,0.0,0.0,0.0,0.0,47.8333
1970,2.7083,0.0,0.0,0.5,0.0,0.0,0.0,0.0,36.1667
1971,0.625,0.0,0.0,0.4583,0.0,0.0,0.0,0.0,24.0833
1972,3.4583,0.0,0.0,1.0,0.0,0.0,0.0,0.0,38.125
1973,5.5417,0.0,0.0,1.4167,0.0,0.0,0.0,0.0,45.8333
1974,0.4583,0.0,0.0,1.0417,0.0,0.0,0.0,0.0,33.0417
1975,3.25,0.0,0.0,1.2917,0.0,0.0,0.0,0.0,33.2083
1976,1.625,0.0,0.0,0.9583,0.0,0.0,0.0,0.0,32.1667
1977,1.625,0.0,0.0,0.6667,0.0,0.0,0.0,0.0,34.9583
1978,2.25,0.0,0.0,0.7917,0.0,0.0,0.0,0.0,34.0417
1979,3.1667,0.0,0.0,1.75,0.0,0.0,0.0,0.0,41.9167
1980,4.1667,0.0,0.0,0.5833,0.0,0.0,0.0,0.0,35.8333
1981,1.75,0.0,0.0,0.2083,0.0,0.0,0.0,0.0,28.7917
1982,1.5,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,37.5833
1983,7.7083,0.0,0.0,1.2083,0.0417,0.0,0.0,0.0,51.8333
1984,3.125,0.0,0.0,0.2917,0.0,0.0,0.0,0.0,31.4167
1985,3.125,0.0,0.0,0.375,0.0,0.0,0.0,0.0,37.7083
1986,4.7083,0.0,0.0,0.7083,0.0417,0.0,0.0,0.0,40.25
1987,2.25,0.0,0.0,0.75,0.0,0.0,0.0,0.0,49.6667
