year,strong_dayeq,very_strong_dayeq,extreme_dayeq,tropical_night_dayeq,strong_t2m_dayeq,very_strong_t2m_dayeq,extreme_t2m_dayeq,extreme_40_dayeq,tropical_night_20_dayeq
1950,1.4583,0.0,0.0,1.625,0.0,0.0,0.0,0.0,18.2917
1951,1.25,0.0,0.0,1.7917,0.0,0.0,0.0,0.0,19.6667
1952,0.375,0.0,0.0,0.5833,0.0,0.0,0.0,0.0,12.7083
1953,1.4167,0.0,0.0,0.75,0.0,0.0,0.0,0.0,11.0833
1954,4.9167,0.0,0.0,4.4583,0.5,0.0,0.0,0.0,28.375
1955,2.0417,0.0,0.0,2.3333,0.0833,0.0,0.0,0.0,20.75
1956,3.875,0.0,0.0,3.5417,0.4167,0.0,0.0,0.0,29.8333
1957,0.9583,0.0,0.0,1.2917,0.0,0.0,0.0,0.0,20.4167
1958,3.4167,0.0,0.0,2.625,0.25,0.0,0.0,0.0,26.875
1959,1.5,0.0,0.0,2.125,0.0,0.0,0.0,0.0,28.5833
1960,2.4583,0.0,0.0,2.875,0.5833,0.0,0.0,0.0,28.9583
1961,0.25,0.0,0.0,0.875,0.0,0.0,0.0,0.0,28.0
1962,0.75,0.0,0.0,1.6667,0.0,0.0,0.0,0.0,25.6667
1963,0.6667,0.0,0.0,1.1667,0.0,0.0,0.0,0.0,25.0833
1964,1.0833,0.0,0.0,0.7083,0.0,0.0,0.0,0.0,17.0417
1965,0.7083,0.0,0.0,2.4167,0.0,0.0,0.0,0.0,16.875
1966,2.1667,0.0,0.0,1.2917,0.375,0.0,0.0,0.0,18.4583
1967,1.0417,0.0,0.0,1.2083,0.0,0.0,0.0,0.0,24.875
1968,0.125,0.0,0.0,0.75,0.0,0.0,0.0,0.0,21.125
1969,0.625,0.0,0.0,1.1667,0.0,0.0,0.0,0.0,29.125
1970,1.0,0.0,0.0,1.1667,0.0,0.0,0.0,0.0,31.1667
1971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7083
1972,1.625,0.0,0.0,2.0,0.0,0.0,0.0,0.0,25.7083
1973,0.5,0.0,0.0,1.4583,0.0417,0.0,0.0,0.0,33.0833
1974,0.6667,0.0,0.0,0.7083,0.0,0.0,0.0,0.0,23.125
1975,0.0417,0.0,0.0,0.75,0.0,0.0,0.0,0.0,20.75
1976,0.2083,0.0,0.0,1.4167,0.0,0.0,0.0,0.0,19.2917
1977,0.4583,0.0,0.0,0.375,0.0,0.0,0.0,0.0,19.125
1978,1.2083,0.0,0.0,2.75,0.0833,0.0,0.0,0.0,33.1667
1979,1.0833,0.0,0.0,0.625,0.0,0.0,0.0,0.0,23.0417
1980,0.2917,0.0,0.0,0.2917,0.0,0.0,0.0,0.0,27.1667
1981,0.4167,0.0,0.0,0.5417,0.0,0.0,0.0,0.0,24.25
1982,0.2083,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,24.8333
1983,0.4167,0.0,0.0,0.4167,0.0,0.0,0.0,0.0,27.5417
1984,2.2083,0.0,0.0,2.375,0.3333,0.0,0.0,0.0,35.5417
1985,0.2083,0.0,0.0,1.2917,0.0,0.0,0.0,0.0,27.9583
1986,0.5417,0.0,0.0,0.9583,0.0,0.0,0.0,0.0,26.1667
1987,1.4167,0.0,0.0,2.1667,0.1667,0.0,0.0,0.0,30.0833
1988,1.2917,0.0,0.0,1.375,0.0417,0.0,0.0,0.0,34.75
1989,0.1667,0.0,0.0,0.4583,0.0,0.0,0.0,0.0,20.4167
1990,0.125,0.0,0.0,0.5833,0.0,0.0,0.0,0.0,28.6667
1991,0.2917,0.0,0.0,0.2917,0.0,0.0,0.0,0.0,25.1667
1992,0.1667,0.0,0.0,0.4167,0.0,0.0,0.0,0.0,21.2917
1993,0.2083,0.0,0.0,1.1667,0.0,0.0,0.0,0.0,28.2083
1994,0.625,0.0,0.0,1.5833,0.0833,0.0,0.0,0.0,35.8333
1995,1.9583,0.0,0.0,3.5833,0.6667,0.0,0.0,0.0,29.9167
1996,0.4583,0.0,0.0,0.125,0.0,0.0,0.0,0.0,24.9167
1997,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.25
1998,1.3333,0.0,0.0,1.25,0.0417,0.0,0.0,0.0,36.9167
1999,0.4167,0.0,0.0,0.375,0.0,0.0,0.0,0.0,30.9583
2000,0.1667,0.0,0.0,0.25,0.0,0.0,0.0,0.0,29.0833
2001,0.125,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,28.75
2002,0.375,0.0,0.0,1.25,0.0,0.0,0.0,0.0,29.875
2003,0.4583,0.0,0.0,1.4167,0.0417,0.0,0.0,0.0,30.9583
2004,0.4167,0.0,0.0,1.4167,0.125,0.0,0.0,0.0,27.625
2005,0.4167,0.0,0.0,0.4583,0.0,0.0,0.0,0.0,26.5417
2006,0.2917,0.0,0.0,0.375,0.0,0.0,0.0,0.0,28.9583
2007,0.7083,0.0,0.0,0.5833,0.0417,0.0,0.0,0.0,32.3333
2008,0.2083,0.0,0.0,0.0833,0.0,0.0,0.0,0.0,24.625
2009,0.2083,0.0,0.0,1.125,0.0,0.0,0.0,0.0,29.75
2010,0.9167,0.0,0.0,1.4583,0.0,0.0,0.0,0.0,41.7917
2011,0.125,0.0,0.0,0.3333,0.0,0.0,0.0,0.0,31.3333
2012,0.2917,0.0,0.0,2.8333,0.0833,0.0,0.0,0.0,37.375
2013,0.25,0.0,0.0,1.375,0.0833,0.0,0.0,0.0,35.0833
2014,0.0,0.0,0.0,1.375,0.0,0.0,0.0,0.0,30.5417
