ts_utc,city,year,variable,status,size_bytes,duration_sec,note
2026-05-19T09:25:24Z,delhi,1951,utci,ok,855416,7.55,
2026-05-19T09:25:24Z,delhi,1952,utci,ok,857834,7.57,
2026-05-19T09:25:24Z,delhi,1951,t2m,ok,866794,7.68,
2026-05-19T09:25:32Z,delhi,1952,t2m,ok,869612,14.99,
2026-05-19T09:26:37Z,ahmedabad,1951,utci,ok,856718,7.38,
2026-05-19T09:26:37Z,ahmedabad,1952,utci,ok,859338,7.42,
2026-05-19T09:26:37Z,ahmedabad,1952,t2m,ok,870264,7.46,
2026-05-19T09:26:42Z,ahmedabad,1953,utci,ok,857428,13.15,
2026-05-19T09:26:43Z,ahmedabad,1953,t2m,ok,868158,13.62,
2026-05-19T09:26:44Z,ahmedabad,1951,t2m,ok,867918,14.54,
2026-05-19T09:26:49Z,ahmedabad,1954,t2m,ok,868032,12.28,
2026-05-19T09:26:50Z,ahmedabad,1950,utci,ok,857450,20.55,
2026-05-19T09:26:50Z,ahmedabad,1956,t2m,ok,870584,7.44,
2026-05-19T09:26:55Z,ahmedabad,1954,utci,ok,857126,17.97,
2026-05-19T09:26:56Z,ahmedabad,1950,t2m,ok,867930,26.74,
2026-05-19T09:26:56Z,ahmedabad,1957,t2m,ok,868184,7.28,
2026-05-19T09:27:01Z,ahmedabad,1955,t2m,ok,867890,24.11,
2026-05-19T09:27:02Z,ahmedabad,1958,utci,ok,857194,7.13,
2026-05-19T09:27:02Z,ahmedabad,1956,utci,ok,859520,18.04,
2026-05-19T09:27:08Z,ahmedabad,1957,utci,ok,857272,18.06,
2026-05-19T09:27:08Z,ahmedabad,1955,utci,ok,856510,25.80,
2026-05-19T09:27:10Z,ahmedabad,1959,t2m,ok,867958,13.88,
2026-05-19T09:27:13Z,ahmedabad,1958,t2m,ok,867936,22.56,
2026-05-19T09:27:14Z,ahmedabad,1960,utci,ok,859536,11.88,
2026-05-19T09:27:14Z,ahmedabad,1960,t2m,ok,870522,13.02,
2026-05-19T09:27:22Z,ahmedabad,1963,t2m,ok,868056,8.73,
2026-05-19T09:27:22Z,ahmedabad,1959,utci,ok,856578,26.20,
2026-05-19T09:27:25Z,ahmedabad,1961,t2m,ok,867788,22.82,
2026-05-19T09:27:26Z,ahmedabad,1963,utci,ok,857476,12.23,
2026-05-19T09:27:26Z,ahmedabad,1962,t2m,ok,867576,17.75,
2026-05-19T09:27:27Z,ahmedabad,1961,utci,ok,856754,18.77,
2026-05-19T09:27:32Z,ahmedabad,1964,t2m,ok,870408,18.07,
2026-05-19T09:27:32Z,ahmedabad,1962,utci,ok,856720,22.30,
2026-05-19T09:27:35Z,ahmedabad,1966,utci,ok,856694,8.72,
2026-05-19T09:27:38Z,ahmedabad,1964,utci,ok,858314,16.20,
2026-05-19T09:27:39Z,ahmedabad,1966,t2m,ok,867964,12.85,
2026-05-19T09:27:39Z,ahmedabad,1967,utci,ok,856878,7.40,
2026-05-19T09:27:44Z,ahmedabad,1965,t2m,ok,868094,21.48,
2026-05-19T09:27:44Z,ahmedabad,1967,t2m,ok,867980,17.72,
2026-05-19T09:27:45Z,ahmedabad,1969,t2m,ok,867804,7.44,
2026-05-19T09:27:50Z,ahmedabad,1968,t2m,ok,870342,17.41,
2026-05-19T09:27:50Z,ahmedabad,1965,utci,ok,857282,25.30,
2026-05-19T09:27:51Z,ahmedabad,1970,t2m,ok,867684,12.00,
2026-05-19T09:27:55Z,ahmedabad,1968,utci,ok,858628,20.55,
2026-05-19T09:27:56Z,ahmedabad,1969,utci,ok,856788,17.00,
2026-05-19T09:27:57Z,ahmedabad,1970,utci,ok,856298,13.53,
2026-05-19T09:28:03Z,ahmedabad,1971,utci,ok,856354,17.52,
2026-05-19T09:28:03Z,ahmedabad,1974,t2m,ok,867866,7.49,
2026-05-19T09:28:04Z,ahmedabad,1971,t2m,ok,867782,19.50,
2026-05-19T09:28:07Z,ahmedabad,1972,utci,ok,858978,17.07,
2026-05-19T09:28:08Z,ahmedabad,1972,t2m,ok,870470,18.48,
2026-05-19T09:28:13Z,ahmedabad,1973,t2m,ok,868032,21.90,
2026-05-19T09:28:16Z,ahmedabad,1976,utci,ok,859428,9.24,
2026-05-19T09:28:19Z,ahmedabad,1973,utci,ok,856954,23.59,
2026-05-19T09:28:20Z,ahmedabad,1975,utci,ok,856124,16.79,
2026-05-19T09:28:21Z,ahmedabad,1977,utci,ok,857218,7.36,
2026-05-19T09:28:25Z,ahmedabad,1975,t2m,ok,868340,21.85,
2026-05-19T09:28:26Z,ahmedabad,1978,utci,ok,856490,7.16,
2026-05-19T09:28:29Z,ahmedabad,1978,t2m,ok,867622,12.94,
