Date,Daily maximum UTCI,Daily minimum UTCI,Daily maximum T2M,Daily minimum T2M
2000-01-01,27.0543,7.1950,24.8385,13.0466
2000-01-02,28.6544,7.0931,24.6376,12.7854
2000-01-03,28.6671,6.5593,25.2246,13.0567
2000-01-04,28.1596,5.7858,24.1559,11.6919
2000-01-05,27.3325,5.0285,24.4402,11.0027
2000-01-06,26.3400,4.6786,23.4702,9.9962
2000-01-07,24.8344,3.8223,22.9087,9.5340
2000-01-08,26.7968,4.1265,23.3141,9.5775
2000-01-09,28.0857,4.9557,24.5572,9.7218
2000-01-10,29.9318,4.2281,26.7954,10.8417
2000-01-11,32.1759,9.3730,27.9652,12.6660
2000-01-12,33.7496,8.9305,28.4758,13.4509
2000-01-13,33.7410,10.0818,29.1253,14.5276
2000-01-14,32.7393,12.3284,29.6416,15.7021
2000-01-15,33.8507,13.4508,28.1875,16.1441
2000-01-16,33.0826,12.2702,27.1774,16.5851
2000-01-17,28.8004,6.0736,24.9159,11.6117
2000-01-18,25.3764,4.9933,23.8364,11.0690
2000-01-19,26.4115,4.3464,24.8510,11.1930
2000-01-20,30.2549,4.1459,28.0445,11.4824
2000-01-21,33.4082,11.4301,28.0692,14.5985
2000-01-22,33.4460,13.7240,27.6482,15.6415
2000-01-23,33.3790,13.5469,27.8809,17.7490
2000-01-24,30.2472,10.3461,26.8712,15.8464
2000-01-25,30.0002,9.3307,26.4469,15.5324
2000-01-26,28.3438,8.0955,27.0164,13.6105
2000-01-27,31.5417,6.6466,28.1374,14.5106
2000-01-28,32.5832,10.8727,28.7978,16.0939
2000-01-29,28.7162,7.3251,24.8009,13.0999
2000-01-30,30.1819,6.6199,25.5452,12.7397
2000-01-31,31.6122,10.1001,26.1368,14.3637
2000-02-01,31.3597,9.6496,26.8014,13.1666
2000-02-02,30.7280,12.7830,27.6164,16.7898
2000-02-03,32.4678,17.3045,28.5563,19.1519
2000-02-04,33.1758,18.4894,27.2180,19.7531
2000-02-05,30.9936,18.5431,25.7732,19.7176
2000-02-06,33.1074,16.5310,25.4542,19.2195
2000-02-07,27.7005,14.6150,23.6229,16.6425
2000-02-08,30.6640,14.4917,25.0605,17.0850
2000-02-09,31.5128,13.9698,24.1692,16.9702
2000-02-10,31.4503,13.7490,25.3175,16.7840
2000-02-11,32.2010,12.9708,27.4023,16.9019
2000-02-12,24.1652,16.1713,22.3751,18.7185
2000-02-13,28.0063,14.6928,23.4351,18.8907
2000-02-14,20.0350,10.6995,23.2511,16.0780
2000-02-15,27.6511,8.1682,24.7674,13.2705
2000-02-16,28.0142,6.8367,24.8527,12.9878
2000-02-17,32.6600,9.6800,26.8291,14.8894
2000-02-18,29.1432,7.5883,26.1476,14.2671
2000-02-19,30.9715,8.0530,25.7333,13.0847
2000-02-20,31.7378,6.8793,26.6860,13.1181
2000-02-21,25.8045,11.0555,22.6411,15.6387
2000-02-22,29.8602,10.5243,25.5848,15.8476
