Date,Daily maximum UTCI,Daily minimum UTCI,Daily maximum T2M,Daily minimum T2M
2000-01-01,34.4013,16.7176,30.7945,18.0088
2000-01-02,34.4806,14.7832,29.9899,17.7561
2000-01-03,33.7902,15.0839,29.7266,18.1989
2000-01-04,33.6465,15.1971,30.2575,18.2321
2000-01-05,33.4261,13.1112,30.6941,17.3986
2000-01-06,32.0842,12.5735,28.7456,16.0529
2000-01-07,32.8422,11.2436,29.6756,15.6532
2000-01-08,33.6061,10.2881,30.8984,15.3978
2000-01-09,34.5117,13.4382,31.5045,17.0073
2000-01-10,34.7060,16.0580,31.6736,17.8885
2000-01-11,32.7468,18.4365,30.5392,19.3096
2000-01-12,30.2546,15.3800,27.3997,18.1864
2000-01-13,31.0519,14.2447,28.6624,17.8279
2000-01-14,31.3669,12.8478,28.8506,16.9272
2000-01-15,27.6174,9.9525,28.3652,14.9758
2000-01-16,32.0366,9.2083,29.5110,14.5426
2000-01-17,37.1473,15.3496,32.8848,19.1643
2000-01-18,37.3947,17.5559,34.4868,20.4211
2000-01-19,34.2522,16.0496,32.9701,19.2108
2000-01-20,32.8803,15.4118,30.8355,18.6966
2000-01-21,31.3340,16.6236,27.9305,17.5501
2000-01-22,31.6313,16.2186,28.4548,17.8148
2000-01-23,32.2790,15.2031,28.2016,19.3174
2000-01-24,32.9441,14.5436,29.6950,18.5821
2000-01-25,34.6336,15.0361,31.6256,17.8371
2000-01-26,34.8050,14.8903,32.7371,17.7554
2000-01-27,33.3183,13.7005,30.9147,17.6864
2000-01-28,35.8050,13.7296,31.7479,19.7247
2000-01-29,33.8453,15.5304,31.1781,19.3324
2000-01-30,33.9646,15.9244,32.9300,18.9037
2000-01-31,31.4983,16.4366,30.7774,18.2592
2000-02-01,30.3849,18.9417,26.9948,17.4928
2000-02-02,30.6501,19.3335,27.0879,19.0662
2000-02-03,30.8824,15.5107,27.2376,19.2418
2000-02-04,30.5442,15.0683,28.5793,18.6861
2000-02-05,29.6174,18.0892,27.0395,17.6904
2000-02-06,32.0253,16.7527,26.8917,17.5530
2000-02-07,31.4203,15.0852,27.9862,18.7191
2000-02-08,30.2132,12.0454,28.2018,17.0342
2000-02-09,31.6594,11.1912,29.3430,16.9487
2000-02-10,31.7949,14.5916,29.6085,17.8231
2000-02-11,29.1372,14.8137,26.8847,16.4677
2000-02-12,30.6203,11.4255,27.2306,17.1995
2000-02-13,30.5121,10.8400,28.5873,16.2520
2000-02-14,33.8717,13.3957,30.6692,19.0655
2000-02-15,36.4476,16.5049,33.1212,20.9820
2000-02-16,32.7596,13.0159,32.1365,17.9283
2000-02-17,28.8372,12.1260,30.5635,17.0483
2000-02-18,31.9694,11.5956,30.5855,16.6507
2000-02-19,30.8158,13.8897,28.5710,18.0122
2000-02-20,29.4340,17.5609,25.9655,18.2183
2000-02-21,31.1779,17.5791,27.0045,18.3073
2000-02-22,32.4081,18.9959,28.5262,18.9222
2000-02-23,31.7834,19.0934,29.0488,18.9767
2000-02-24,34.0011,20.5252,29.8944,20.3302
2000-02-25,33.9486,19.9393,30.0158,20.0452
2000-02-26,33.2343,16.5275,31.5870,20.5127
2000-02-27,35.6404,16.1561,33.1429,19.7467
2000-02-28,36.4192,17.1960,33.9247,20.7589
2000-02-29,36.7943,15.8241,35.7061,20.4272
2000-03-01,34.7141,18.3484,34.3069,19.8642
2000-03-02,33.6411,19.5435,32.8915,19.7623
2000-03-03,32.5904,19.5070,31.2765,19.8837
2000-03-04,32.7516,19.2216,30.8365,20.4802
2000-03-05,30.6449,17.1150,29.5935,19.3152
2000-03-06,30.2267,17.0652,29.0703,19.4704
2000-03-07,28.2164,15.5639,27.2018,19.3082
2000-03-08,31.1806,15.0062,30.5642,19.2169
2000-03-09,32.5506,15.3353,31.3411,19.4370
2000-03-10,32.4643,18.1274,30.9755,19.4347
2000-03-11,32.0232,18.7960,30.8539,19.4589
2000-03-12,32.4002,20.8204,30.2638,20.4115
2000-03-13,29.9301,20.8647,28.3147,20.0384
2000-03-14,32.2675,19.1336,29.5484,20.2081
2000-03-15,32.4393,19.1725,30.4344,20.3051
2000-03-16,31.6828,18.9242,29.9402,19.8216
2000-03-17,31.1330,17.8738,31.0743,20.5627
2000-03-18,33.0288,19.6798,31.2401,20.9596
2000-03-19,34.1899,16.1674,34.0418,19.7549
2000-03-20,34.9313,15.3983,35.2624,19.2965
2000-03-21,34.1622,17.6409,34.6918,20.8567
2000-03-22,33.5719,19.4588,32.2848,19.5620
2000-03-23,35.6222,15.8149,34.8789,20.2201
2000-03-24,38.3516,15.2967,36.1164,21.1543
2000-03-25,36.7571,18.0862,38.1291,22.3802
2000-03-26,37.1466,20.7582,36.6046,22.2709
2000-03-27,36.7865,20.1974,36.9485,21.4509
2000-03-28,39.2158,20.5040,39.0393,23.2069
2000-03-29,37.5307,25.0335,34.7528,23.0623
2000-03-30,35.8142,24.8864,34.7474,23.2987
2000-03-31,36.6580,22.1051,34.4871,24.1577
2000-04-01,38.8282,21.2829,38.5597,24.0877
2000-04-02,37.7021,21.7950,36.8590,23.8934
2000-04-03,34.0273,22.9176,31.8929,24.3158
2000-04-04,33.5184,26.1457,32.4908,25.7851
2000-04-05,35.6699,25.5267,32.8952,25.8268
2000-04-06,36.1479,26.0815,33.7989,25.3192
2000-04-07,36.6243,26.7821,33.9706,26.1659
2000-04-08,35.7919,26.7656,33.4572,25.7377
2000-04-09,37.1891,26.5533,34.7342,24.7587
2000-04-10,36.6061,25.5401,33.8454,24.2245
2000-04-11,36.3161,24.7032,34.5385,24.0183
2000-04-12,35.2398,26.1938,32.0292,24.6599
2000-04-13,33.2469,24.8428,31.9516,25.8139
2000-04-14,34.3123,25.6111,31.4105,26.0427
2000-04-15,35.2417,24.4810,32.2735,25.2573
2000-04-16,35.5121,24.4090,32.6289,25.2887
2000-04-17,35.8004,23.8694,31.7284,25.2829
2000-04-18,35.3483,25.4420,33.2588,25.5736
2000-04-19,36.0909,26.0865,34.1527,25.1529
2000-04-20,36.8716,25.2550,35.5916,25.4435
2000-04-21,36.1636,24.8632,34.4840,26.2249
2000-04-22,34.7628,25.8698,31.6041,25.5581
2000-04-23,35.5210,25.3529,32.6033,25.7156
2000-04-24,35.2535,25.8256,33.0705,25.4529
2000-04-25,34.4110,26.4951,32.4552,25.5957
2000-04-26,34.6431,26.0168,32.4904,26.5610
2000-04-27,34.3801,25.1935,33.2321,25.5937
2000-04-28,35.1382,26.0739,32.7789,24.5816
2000-04-29,35.3435,25.5856,33.1235,24.6721
2000-04-30,35.3318,24.9542,34.0439,25.4583
2000-05-01,35.7794,24.9964,33.3164,24.0616
2000-05-02,35.2017,25.3887,32.9152,24.1041
2000-05-03,34.8562,25.2003,31.8815,25.8839
2000-05-04,36.5395,26.1179,32.3646,26.6117
2000-05-05,36.9685,26.8830,34.4077,26.7517
2000-05-06,35.3521,27.1589,31.9984,26.9567
2000-05-07,34.5977,25.9053,32.4473,26.2880
2000-05-08,33.9507,26.0729,31.4837,26.1985
2000-05-09,36.0117,26.4678,32.6504,26.6265
2000-05-10,34.8307,26.1367,31.2574,26.6150
2000-05-11,33.6978,26.3420,32.0946,26.8327
2000-05-12,33.3676,26.6665,31.5713,26.6303
2000-05-13,33.7141,26.9267,32.8128,26.6603
2000-05-14,33.8840,23.7561,32.3741,26.5441
2000-05-15,31.9001,23.5435,32.2279,26.5950
2000-05-16,31.1139,22.8648,31.8444,26.0919
2000-05-17,31.3795,22.4250,30.0330,25.4613
2000-05-18,31.9960,24.5116,28.3040,26.0399
2000-05-19,32.1623,26.0926,32.0624,27.1886
2000-05-20,33.0945,25.9112,31.8812,26.9115
2000-05-21,34.1897,27.9779,32.1419,26.8504
2000-05-22,34.2617,28.0311,31.7341,27.0424
2000-05-23,35.6435,28.0643,32.2568,27.1418
2000-05-24,33.4564,27.1661,32.0992,26.9721
