hour,utci_2000,utci_2024,t2m_2000,t2m_2024
0,28.461,30.263,31.554,32.179
1,27.746,29.657,30.672,31.443
2,27.293,29.367,30.139,31.267
3,27.078,29.114,29.214,30.363
4,26.96,28.88,29.013,30.182
5,27.002,28.818,29.017,30.802
6,27.487,29.174,28.974,30.65
7,29.671,31.554,30.18,31.182
8,32.296,34.452,30.82,31.36
9,35.109,36.939,31.124,31.654
10,37.654,38.9,34.153,33.398
11,39.581,40.587,34.833,35.279
12,41.029,41.324,35.222,35.834
13,42.1,42.413,37.547,37.415
14,43.231,43.227,38.255,37.551
15,43.611,43.388,38.177,37.87
16,43.205,42.696,38.557,37.979
17,41.459,40.854,38.578,37.856
18,37.984,38.216,38.057,37.453
19,33.693,34.425,34.849,35.809
20,31.471,32.417,33.267,34.101
21,30.983,31.824,32.924,33.518
22,30.251,31.577,31.871,32.307
23,29.269,31.281,31.614,32.2
