hour,utci_2000,utci_2024,t2m_2000,t2m_2024
0,26.939,28.618,31.631,32.358
1,26.358,28.161,30.701,31.601
2,25.714,27.704,30.361,31.586
3,24.991,27.323,29.01,30.469
4,24.177,26.828,28.741,30.396
5,23.476,26.412,28.751,30.953
6,24.172,27.237,28.539,30.908
7,27.531,30.528,29.714,32.057
8,31.165,33.9,30.597,32.45
9,34.135,36.955,30.945,32.817
10,36.805,39.18,34.334,35.092
11,38.88,40.931,35.211,36.652
12,40.51,42.195,35.5,36.902
13,41.666,43.042,37.62,38.359
14,42.529,43.137,38.203,38.654
15,42.445,43.09,38.094,38.329
16,41.267,41.86,37.923,37.929
17,39.319,39.665,37.445,37.266
18,35.988,36.681,37.033,36.888
19,31.776,33.505,34.35,34.811
20,29.46,31.421,33.367,33.78
21,28.671,30.583,33.239,33.607
22,28.045,29.913,31.894,32.299
23,27.425,29.376,31.564,32.215
