hour,utci_2000,utci_2024,t2m_2000,t2m_2024
0,20.855,21.214,23.573,27.025
1,20.791,20.897,22.603,25.385
2,20.46,20.62,22.21,24.94
3,20.245,20.258,21.611,23.796
4,20.013,20.053,21.551,23.431
5,19.903,19.737,21.637,24.36
6,20.268,20.48,21.751,24.384
7,25.861,26.968,24.049,26.074
8,29.702,31.389,24.661,26.66
9,32.68,34.298,24.987,27.363
10,34.661,36.47,29.543,29.859
11,35.707,37.722,29.896,32.863
12,35.922,38.128,30.06,33.471
13,36.341,38.872,32.226,35.129
14,36.773,39.535,32.69,35.629
15,36.284,39.44,31.398,35.086
16,35.251,38.317,31.263,35.127
17,32.443,35.866,30.506,34.854
18,27.651,30.879,29.824,34.118
19,23.096,25.6,26.225,32.531
20,22.08,24.24,25.86,30.487
21,21.829,23.139,25.759,30.021
22,21.628,22.222,24.218,28.429
23,21.062,21.534,23.786,27.771
