hour,utci_2000,utci_2024,t2m_2000,t2m_2024
0,29.237,30.365,29.308,30.264
1,29.064,30.156,28.88,29.87
2,28.85,29.901,28.828,29.724
3,28.611,29.741,28.668,29.48
4,28.263,29.611,28.626,29.409
5,27.933,29.376,28.666,29.621
6,29.105,30.35,28.769,29.643
7,33.131,33.478,30.465,30.607
8,36.033,36.161,31.055,30.915
9,38.631,38.137,31.455,31.141
10,40.663,39.695,33.826,32.528
11,42.118,40.835,34.015,33.193
12,42.467,41.254,33.909,33.32
13,42.949,41.263,34.366,33.635
14,42.577,40.578,34.091,33.449
15,41.284,39.154,32.504,32.281
16,39.087,37.362,32.212,32.139
17,35.958,35.375,31.729,31.963
18,32.652,32.808,31.591,31.836
19,30.153,31.002,30.275,31.285
20,29.898,30.881,30.131,30.771
21,29.77,30.726,30.134,30.774
22,29.425,30.621,29.456,30.536
23,29.233,30.535,29.294,30.375
