hour,utci_2000,utci_2024,t2m_2000,t2m_2024
0,23.193,23.951,24.42,25.523
1,23.028,23.974,24.081,25.0
2,22.88,23.864,23.432,24.971
3,22.738,23.706,23.739,24.445
4,22.675,23.493,23.783,24.423
5,23.16,23.859,23.843,24.796
6,25.434,25.786,23.904,24.856
7,27.534,27.859,24.967,26.126
8,28.892,29.513,27.032,26.24
9,30.005,31.015,27.083,26.35
10,30.919,31.764,27.864,27.815
11,31.561,32.212,27.833,28.402
12,31.311,32.031,27.742,28.283
13,31.628,32.081,27.883,28.898
14,31.684,32.277,27.763,28.965
15,31.182,31.772,27.174,27.914
16,29.909,30.39,27.292,27.847
17,28.29,29.12,27.374,27.904
18,26.091,27.042,27.26,27.919
19,24.383,25.197,26.439,27.231
20,24.039,24.849,25.059,26.309
21,23.619,24.532,24.936,26.222
22,23.399,24.272,24.552,25.516
23,23.188,23.994,24.432,25.523
