hour,utci_2000,utci_2024,t2m_2000,t2m_2024
0,28.313,29.715,29.677,32.723
1,28.0,29.127,28.96,31.849
2,27.815,28.696,28.742,31.669
3,27.658,28.185,28.007,31.126
4,27.525,27.687,27.998,30.973
5,27.274,27.229,28.148,31.723
6,29.205,29.595,28.243,32.063
7,32.315,33.713,29.948,33.396
8,35.042,37.246,30.808,33.969
9,37.233,40.152,31.153,34.592
10,38.915,42.203,33.703,36.694
11,39.979,43.641,34.258,38.544
12,40.371,44.188,34.226,38.853
13,40.843,44.913,35.513,40.328
14,41.68,45.192,35.958,40.489
15,41.544,44.686,35.322,39.68
16,40.501,43.731,35.243,39.482
17,38.906,41.801,35.071,39.145
18,36.228,38.972,34.682,38.855
19,32.359,34.678,32.125,36.783
20,30.447,32.687,31.278,35.031
21,29.793,31.924,31.106,34.739
22,29.191,31.319,29.849,33.259
23,28.704,30.509,29.665,32.848
