hour,utci_2000,utci_2024,t2m_2000,t2m_2024
0,28.309,29.951,27.024,27.819
1,27.873,29.764,26.686,27.472
2,27.633,29.53,26.34,27.311
3,27.452,29.343,26.285,27.095
4,27.194,29.277,26.226,27.119
5,27.623,29.658,26.271,28.148
6,29.31,31.256,26.247,28.296
7,31.056,32.794,27.698,29.074
8,32.701,34.005,28.616,29.236
9,34.147,35.279,28.635,29.435
10,35.316,36.133,29.716,30.555
11,36.123,36.348,30.09,31.455
12,36.843,36.823,30.33,31.739
13,36.721,37.242,30.668,32.234
14,36.084,36.749,30.746,32.441
15,35.164,36.493,29.51,31.537
16,33.313,35.139,29.096,31.337
17,31.422,33.65,28.98,31.164
18,30.033,31.891,29.08,30.949
19,29.411,31.16,28.253,30.17
20,29.192,30.887,27.552,29.042
21,28.923,30.559,27.565,28.739
22,28.639,30.298,27.138,28.29
23,28.367,29.995,26.995,28.019
