hour,utci_2000,utci_2024,t2m_2000,t2m_2024
0,17.924,18.485,20.881,22.31
1,17.689,18.216,20.125,21.564
2,17.655,17.933,19.881,21.221
3,17.439,17.707,19.425,20.768
4,17.269,17.478,19.246,20.414
5,17.188,17.322,19.136,21.337
6,17.307,17.625,19.156,21.222
7,23.408,24.666,21.976,23.447
8,28.266,29.252,23.305,24.798
9,30.658,31.138,24.114,25.451
10,31.17,31.804,27.538,26.862
11,30.871,31.878,27.548,29.591
12,30.217,31.807,27.421,30.085
13,29.806,32.062,28.44,30.643
14,29.849,32.137,28.06,30.917
15,28.988,31.976,26.207,29.766
16,28.005,31.051,26.029,29.724
17,26.589,29.496,25.661,29.351
18,23.383,25.845,25.118,28.578
19,19.978,21.932,22.741,27.876
20,19.446,21.034,22.407,25.02
21,18.939,20.204,22.217,24.363
22,18.489,19.385,21.047,23.058
23,17.851,18.767,20.817,22.641
