hour,utci_2000,utci_2024,t2m_2000,t2m_2024
0,28.236,28.834,26.129,27.668
1,28.097,28.696,25.312,27.189
2,27.753,28.586,25.091,27.028
3,27.455,28.31,24.392,26.469
4,27.298,28.159,24.389,26.339
5,27.232,28.046,24.581,26.971
6,27.096,27.908,24.662,26.962
7,28.846,29.565,26.363,27.448
8,31.913,32.731,25.987,27.611
9,34.314,34.859,25.931,27.742
10,35.649,36.351,29.805,29.909
11,36.519,37.128,30.397,31.45
12,37.04,37.035,30.632,31.753
13,36.861,37.007,31.884,32.737
14,36.431,36.678,32.118,33.081
15,35.544,35.947,30.755,31.868
16,34.296,34.626,30.544,31.74
17,32.408,32.623,30.292,31.544
18,29.34,30.247,30.21,31.286
19,27.938,29.343,27.244,30.319
20,27.933,29.461,27.282,28.742
21,28.15,29.491,27.465,28.483
22,28.151,29.417,26.337,27.7
23,27.992,29.363,26.179,27.678
