hour,utci_2000,utci_2024,t2m_2000,t2m_2024
0,25.267,27.125,21.338,23.538
1,25.031,26.785,20.762,23.081
2,24.785,26.406,20.678,22.907
3,24.638,25.995,20.403,22.288
4,24.351,25.739,20.337,22.131
5,24.076,25.36,20.25,23.322
6,24.065,25.441,20.268,23.383
7,28.407,30.321,22.363,24.984
8,32.166,34.351,22.99,26.03
9,34.197,36.478,23.471,27.006
10,35.008,37.288,26.745,28.616
11,35.236,37.491,26.734,31.433
12,34.993,37.265,26.608,32.03
13,35.297,37.043,27.127,32.607
14,34.888,36.741,26.405,32.715
15,33.659,36.33,24.851,31.605
16,32.196,35.505,24.66,30.876
17,30.695,34.291,24.518,29.987
18,28.629,32.098,24.361,28.871
19,26.417,29.103,21.948,27.833
20,26.046,28.476,21.961,25.157
21,25.752,28.064,22.014,24.811
22,25.469,27.745,21.213,24.129
23,25.187,27.264,21.279,23.931
