hour,utci_2000,utci_2024,t2m_2000,t2m_2024
0,18.492,18.299,20.321,22.331
1,18.248,18.118,19.498,21.419
2,17.99,18.008,19.279,21.076
3,17.753,18.081,18.852,20.477
4,17.441,17.938,18.775,20.298
5,17.326,17.689,18.737,21.322
6,17.477,17.975,18.768,21.272
7,23.667,24.41,21.644,23.033
8,27.836,28.141,22.781,24.225
9,29.718,29.801,23.294,25.075
10,30.403,30.205,27.249,26.614
11,30.33,30.126,27.351,29.581
12,30.016,29.82,27.037,29.999
13,29.48,30.003,28.407,30.774
14,29.631,30.733,28.026,30.881
15,29.364,30.927,26.278,29.894
16,28.53,30.296,26.052,29.594
17,26.917,28.919,25.741,29.107
18,24.184,25.391,25.263,28.156
19,20.565,19.963,22.304,26.668
20,19.902,19.529,21.972,24.612
21,19.477,18.953,21.892,24.137
22,19.092,18.905,20.553,23.297
23,18.634,18.916,20.285,22.911
