hour,utci_2000,utci_2024,t2m_2000,t2m_2024
0,19.641,21.691,20.007,22.245
1,19.499,21.605,19.553,21.742
2,19.431,21.322,19.636,21.692
3,19.309,21.218,19.0,21.178
4,19.133,21.159,19.151,21.242
5,18.975,20.899,19.376,21.368
6,20.571,22.36,19.615,21.461
7,23.78,25.048,21.313,22.446
8,26.038,27.651,21.871,22.952
9,27.491,29.382,21.933,23.377
10,28.06,30.197,23.449,24.83
11,28.458,30.605,23.25,25.314
12,29.217,30.87,22.949,25.414
13,28.892,30.518,23.628,26.083
14,28.745,30.222,23.552,25.839
15,28.132,30.091,22.797,25.487
16,27.176,28.94,22.538,25.069
17,25.567,27.729,22.376,24.796
18,24.19,26.164,22.349,24.58
19,22.169,24.07,20.977,23.519
20,20.698,22.656,20.63,22.928
21,20.365,22.17,20.706,22.842
22,20.121,21.936,20.028,22.198
23,19.935,21.698,19.919,22.24
